ZIP_Code,Actual_Rent,Predicted_Rent,Rent_Difference,Population,Bachelors_Pct,Median_Income,Spatial_Mismatch_Index,Mismatch_Tier,Unemployment_Rate_Pct,Predicted_Unemployment_Pct,Job_Density_Ratio,Transit_Pct,Drive_Alone_Pct,Mean_Commute_Time,Long_Commute_Share_Pct,Short_Commute_Share_Pct,Dominant_Sector,Transport_Verdict,Skills_Predicted_Score,Skills_Actual_Score,Skills_Prediction_Error,Skills_Severity,Skills_Gap_LessThan_HS,housing_score,spatial_score,skills_score,composite_score,color_label
32003,1935,2040,-105,29766,49.6,116611,26.3,Low,2.85,3.91,0.503,0.1,90.4,31.7178704800072,46.03,19.57,Health Care,MONITOR â€” moderate mismatch,0.22991566,0.238527985,0.008612322,Moderate,-0.118149268,72.22222222222223,70.37037037037038,64.81481481481481,69.13580246913581,green
32009,919,951,-32,4045,17.5,72792,17.6,Low,1.56,3.54,0.06,0.0,98.9,35.2974481658692,61.35,6.27,Construction,UPGRADE TRANSIT â€” no transit infrastructure,0.108580634,0.123649436,0.015068802,Low,-0.044223669,40.74074074074075,85.18518518518519,40.74074074074075,55.555555555555564,yellow
32011,1120,1193,-73,15421,15.2,76677,30.3,Low,4.25,4.08,0.207,0.0,90.7,37.3011772400261,68.02,12.08,Retail,UPGRADE TRANSIT â€” no transit infrastructure,0.118959986,0.104496825,0.014463161,Low,-0.027223014,51.851851851851855,59.25925925925926,44.44444444444444,51.85185185185185,yellow
32033,1752,1687,65,4556,20.3,86185,14.2,Low,2.08,3.39,0.217,0.0,89.0,24.4259140474663,30.85,31.3,Manufacturing,UPGRADE TRANSIT â€” no transit infrastructure,0.14884275,0.155618151,0.006775399,Low,-0.101943288,12.962962962962962,92.5925925925926,75.92592592592592,60.49382716049382,yellow
32034,1605,1741,-136,41029,53.0,98583,28.3,Low,6.4,4.0,0.736,0.0,92.8,29.3284602516546,37.69,31.51,Food/Hospitality,"UPGRADE TRANSIT â€” no transit, high unemployment",0.25621498,0.259001297,0.00278632,Moderate,-0.091423596,81.48148148148148,64.81481481481481,88.88888888888889,78.39506172839506,green
32040,1189,1120,69,8978,17.9,84095,9.6,Low,1.33,3.19,0.127,0.0,97.2,34.5576502067623,53.83,17.78,Retail,UPGRADE TRANSIT â€” no transit infrastructure,0.12326011,0.114947836,0.008312274,Low,-0.100908158,11.111111111111114,94.44444444444444,68.51851851851852,58.02469135802469,yellow
32043,1545,1488,57,34562,29.1,84145,31.1,Low,3.36,4.12,0.653,0.33,88.4,37.1785740269188,59.69,19.01,Education,MONITOR â€” moderate mismatch,0.07381741,0.057107635,0.016709774,Low,-0.057107635,14.81481481481481,55.55555555555556,38.888888888888886,36.41975308641975,yellow
32046,917,1009,-92,10593,12.4,71563,34.0,Medium,3.05,4.24,0.186,0.0,96.0,39.9971806815396,66.22,10.0,Construction,UPGRADE TRANSIT â€” no transit infrastructure,0.09581408,0.122982886,0.027168807,Low,-0.00993232,61.11111111111111,46.29629629629629,12.962962962962962,40.12345679012345,yellow
32063,1385,1168,217,14611,22.9,75683,49.9,Medium,5.95,4.93,0.669,0.0,81.0,29.1100087796312,47.92,37.73,Health Care,"UPGRADE TRANSIT â€” no transit, high unemployment",0.06478889,0.078661808,0.013872916,Low,-0.001675935,0.0,24.074074074074076,50.0,24.691358024691358,red
32065,1743,1725,18,41578,24.8,97455,27.1,Low,3.66,3.95,0.238,0.0,89.8,34.1300079515566,58.02,13.87,Retail,UPGRADE TRANSIT â€” no transit infrastructure,0.10656063,0.087903674,0.018656958,Low,-0.080965318,22.222222222222214,66.66666666666667,35.18518518518519,41.358024691358025,yellow
