"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","26","62","109","224","1654","4425","5568","3483","1211","135"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","121","400","2662","3988","940","1127","473","181","1776","317"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","217","156","235","1726","6279","6656","3493","2672","5230","525"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","217","116","137","27","164","83","104","105","48","0"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","88","29","15","52","117","161","431","407","333","36"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","122","96","65","48","146","90","72","232","88","100"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","22","11","4","21","152","102","369","824","2497","1609"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","1234","311","477","646","1314","1302","804","1109","864","233"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","61","37","21","5","29","179","18","94","185","23"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","701","109","299","601","929","1507","2082","2752","3892","1451"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","274","188","131","578","229","630","82","2834","2877","940"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","2007","1271","878","886","756","521","325","1975","5102","1265"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","2048","1675","924","1152","686","926","750","1781","1890","241"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","120","55","60","449","512","1615","1207","3742","8094","2153"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","0","21","100","267","214","1187","1143","1668","1360","208"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","1492","954","1548","2585","4500","4143","2343","3807","7747","883"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","1563","320","511","657","1662","2033","1031","2658","2762","422"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","134","61","64","529","1269","3109","7515","11214","9821","784"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59955","ZIP Code 78615","country:us/state:tx/zip:78615","78615","32","21","19","47","33","85","31","174","119","25"
"publicpolygonfeature:5:59956","ZIP Code 78616","country:us/state:tx/zip:78616","78616","177","2","156","38","309","666","442","703","776","154"
"publicpolygonfeature:5:59958","ZIP Code 78617","country:us/state:tx/zip:78617","78617","28","42","63","135","696","1149","1231","2723","2318","1058"
"publicpolygonfeature:5:59959","ZIP Code 78620","country:us/state:tx/zip:78620","78620","5","7","13","140","496","960","1526","1797","2736","984"
"publicpolygonfeature:5:59961","ZIP Code 78619","country:us/state:tx/zip:78619","78619","0","0","10","20","158","115","123","837","1071","131"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","488","160","312","355","1140","1371","1555","2883","2008","764"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","79","7","0","0","14","23","32","0","7","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","625","364","263","724","501","1347","2285","2825","6069","2862"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","51","11","11","47","1945","2893","1899","2697","7188","3114"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","11","48","0","0","17","149","187","157","236","182"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","63","0","33","20","56","190","59","62","127","45"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","14","0","22","62","142","374","2783","5371","5008","1011"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","361","0","32","14","197","922","724","6477","4717","2889"
"publicpolygonfeature:5:59979","ZIP Code 78659","country:us/state:tx/zip:78659","78659","45","0","65","77","20","179","104","273","445","136"
"publicpolygonfeature:5:59981","ZIP Code 78640","country:us/state:tx/zip:78640","78640","196","220","241","252","373","1121","2978","9035","9743","3976"
"publicpolygonfeature:5:59982","ZIP Code 78665","country:us/state:tx/zip:78665","78665","0","53","37","6","309","473","3251","8186","10134","3149"
"publicpolygonfeature:5:59983","ZIP Code 78641","country:us/state:tx/zip:78641","78641","190","101","188","315","971","2672","3388","8146","14666","5681"
"publicpolygonfeature:5:59984","ZIP Code 78642","country:us/state:tx/zip:78642","78642","166","15","0","50","132","428","589","1506","3858","2219"
"publicpolygonfeature:5:59987","ZIP Code 78644","country:us/state:tx/zip:78644","78644","583","432","413","439","662","1278","1109","1829","1101","329"
"publicpolygonfeature:5:59988","ZIP Code 78645","country:us/state:tx/zip:78645","78645","16","53","123","130","853","995","1001","2260","1890","663"
"publicpolygonfeature:5:59990","ZIP Code 78648","country:us/state:tx/zip:78648","78648","429","147","357","510","617","345","322","315","384","83"
"publicpolygonfeature:5:59991","ZIP Code 78650","country:us/state:tx/zip:78650","78650","43","8","55","24","141","162","183","110","147","13"
"publicpolygonfeature:5:59992","ZIP Code 78652","country:us/state:tx/zip:78652","78652","13","0","8","110","394","347","28","227","749","94"
"publicpolygonfeature:5:59993","ZIP Code 78653","country:us/state:tx/zip:78653","78653","143","25","30","23","434","703","416","3590","6451","3591"
"publicpolygonfeature:5:59995","ZIP Code 78654","country:us/state:tx/zip:78654","78654","51","196","148","752","1386","1630","1604","2863","1238","222"
"publicpolygonfeature:5:59996","ZIP Code 78655","country:us/state:tx/zip:78655","78655","218","27","30","66","194","150","273","252","209","14"
"publicpolygonfeature:5:59997","ZIP Code 78660","country:us/state:tx/zip:78660","78660","103","103","200","229","1081","4086","6588","13089","17737","4315"
"publicpolygonfeature:5:59998","ZIP Code 78661","country:us/state:tx/zip:78661","78661","17","0","17","18","35","30","53","18","53","0"
"publicpolygonfeature:5:59999","ZIP Code 78662","country:us/state:tx/zip:78662","78662","24","19","47","103","246","116","501","180","146","72"
"publicpolygonfeature:5:60002","ZIP Code 78664","country:us/state:tx/zip:78664","78664","75","83","240","311","2248","4971","5798","5297","4947","527"
"publicpolygonfeature:5:60003","ZIP Code 78666","country:us/state:tx/zip:78666","78666","818","788","1459","1603","3857","5744","4686","6548","8593","2484"
"publicpolygonfeature:5:60004","ZIP Code 78669","country:us/state:tx/zip:78669","78669","64","21","89","221","356","548","1207","1733","1661","283"
"publicpolygonfeature:5:60005","ZIP Code 78676","country:us/state:tx/zip:78676","78676","140","232","226","131","605","1434","921","1835","1787","265"
"publicpolygonfeature:5:60007","ZIP Code 78681","country:us/state:tx/zip:78681","78681","41","118","189","400","2182","3506","4286","6266","3211","582"
"publicpolygonfeature:5:60008","ZIP Code 78717","country:us/state:tx/zip:78717","78717","74","0","23","0","228","708","2461","5070","5521","1276"
"publicpolygonfeature:5:60009","ZIP Code 78719","country:us/state:tx/zip:78719","78719","0","0","38","55","34","95","163","143","123","6"
"publicpolygonfeature:5:60010","ZIP Code 78721","country:us/state:tx/zip:78721","78721","264","167","638","1146","361","207","74","580","1377","527"
"publicpolygonfeature:5:60011","ZIP Code 78722","country:us/state:tx/zip:78722","78722","277","815","862","228","149","116","52","38","717","244"
"publicpolygonfeature:5:60012","ZIP Code 78723","country:us/state:tx/zip:78723","78723","43","193","1901","4390","1994","1318","562","2029","4227","1087"
"publicpolygonfeature:5:60013","ZIP Code 78724","country:us/state:tx/zip:78724","78724","26","15","150","261","1210","1220","634","2539","2984","1780"
"publicpolygonfeature:5:60014","ZIP Code 78725","country:us/state:tx/zip:78725","78725","13","0","19","82","446","426","416","707","2031","258"
"publicpolygonfeature:5:60015","ZIP Code 78726","country:us/state:tx/zip:78726","78726","19","0","33","56","60","440","2160","2427","1192","198"
"publicpolygonfeature:5:60016","ZIP Code 78727","country:us/state:tx/zip:78727","78727","9","0","77","500","1415","3982","3854","3151","1889","200"
"publicpolygonfeature:5:60017","ZIP Code 78728","country:us/state:tx/zip:78728","78728","111","9","0","136","539","3796","4157","1719","3043","618"
"publicpolygonfeature:5:60018","ZIP Code 78729","country:us/state:tx/zip:78729","78729","20","32","0","35","1611","4537","4174","2433","2556","68"
"publicpolygonfeature:5:60019","ZIP Code 78730","country:us/state:tx/zip:78730","78730","0","37","0","74","45","532","1820","1157","652","32"
"publicpolygonfeature:5:60020","ZIP Code 78731","country:us/state:tx/zip:78731","78731","70","123","1834","1610","4067","3321","2098","666","878","496"
"publicpolygonfeature:5:60021","ZIP Code 78732","country:us/state:tx/zip:78732","78732","0","27","43","217","351","112","1624","3432","2003","131"
"publicpolygonfeature:5:60022","ZIP Code 78733","country:us/state:tx/zip:78733","78733","0","36","76","25","165","759","1482","542","248","94"
"publicpolygonfeature:5:60023","ZIP Code 78734","country:us/state:tx/zip:78734","78734","78","43","204","291","974","2114","2017","2582","2533","115"
"publicpolygonfeature:5:60024","ZIP Code 78746","country:us/state:tx/zip:78746","78746","20","27","161","547","2071","4098","2194","1380","1197","153"
"publicpolygonfeature:5:60025","ZIP Code 78735","country:us/state:tx/zip:78735","78735","47","0","49","191","694","714","2178","2939","3213","203"
"publicpolygonfeature:5:60026","ZIP Code 78736","country:us/state:tx/zip:78736","78736","0","0","0","218","1162","592","689","687","1125","232"
"publicpolygonfeature:5:60027","ZIP Code 78737","country:us/state:tx/zip:78737","78737","38","3","48","17","642","1122","1054","2311","3216","955"
"publicpolygonfeature:5:60028","ZIP Code 78747","country:us/state:tx/zip:78747","78747","12","2","173","63","415","820","605","3268","2852","1306"
"publicpolygonfeature:5:60029","ZIP Code 78748","country:us/state:tx/zip:78748","78748","78","36","117","248","1517","4822","3106","7758","7529","1209"
"publicpolygonfeature:5:60030","ZIP Code 78738","country:us/state:tx/zip:78738","78738","79","0","43","8","181","554","1426","3179","5931","1132"
"publicpolygonfeature:5:60031","ZIP Code 78739","country:us/state:tx/zip:78739","78739","43","0","0","16","141","822","1847","2571","1517","223"
"publicpolygonfeature:5:60032","ZIP Code 78741","country:us/state:tx/zip:78741","78741","122","233","904","1666","3564","4730","3068","4098","6154","1414"
"publicpolygonfeature:5:60033","ZIP Code 78742","country:us/state:tx/zip:78742","78742","4","9","0","116","39","64","0","48","85","0"
"publicpolygonfeature:5:60034","ZIP Code 78744","country:us/state:tx/zip:78744","78744","39","80","163","285","3040","3142","1803","4405","6440","2471"
"publicpolygonfeature:5:60035","ZIP Code 78745","country:us/state:tx/zip:78745","78745","310","241","1894","3583","7713","5843","2396","3636","4797","1392"
"publicpolygonfeature:5:60036","ZIP Code 78750","country:us/state:tx/zip:78750","78750","0","0","97","152","3274","4300","2095","1699","628","37"
"publicpolygonfeature:5:60037","ZIP Code 78751","country:us/state:tx/zip:78751","78751","1108","864","702","1158","1466","1187","713","933","2108","243"
"publicpolygonfeature:5:60038","ZIP Code 78752","country:us/state:tx/zip:78752","78752","51","171","1208","1385","2273","2910","563","1231","1432","581"
"publicpolygonfeature:5:60039","ZIP Code 78753","country:us/state:tx/zip:78753","78753","41","45","819","2374","4502","3888","3352","4310","5577","730"
"publicpolygonfeature:5:60040","ZIP Code 78754","country:us/state:tx/zip:78754","78754","0","0","0","283","351","1165","1717","4043","4480","1884"
"publicpolygonfeature:5:60041","ZIP Code 78756","country:us/state:tx/zip:78756","78756","363","732","801","575","739","619","124","326","531","92"
"publicpolygonfeature:5:60042","ZIP Code 78759","country:us/state:tx/zip:78759","78759","45","7","151","1613","6081","7445","4498","1801","1726","77"
"publicpolygonfeature:5:60108","ZIP Code 78953","country:us/state:tx/zip:78953","78953","79","0","23","25","105","73","171","112","52","0"
"publicpolygonfeature:5:60111","ZIP Code 78957","country:us/state:tx/zip:78957","78957","883","159","112","347","445","705","569","853","689","50"
"publicpolygonfeature:5:6688042","ZIP Code 78674","country:us/state:tx/zip:78674","78674","3","0","0","0","0","9","0","0","32","0"
"publicpolygonfeature:22:928018","Austin-Round Rock-San Marcos, TX Area","country:us/state:tx/msa:austin-round_rock-san_marcos","12420","19543","12995","26393","44936","96609","141802","139080","218850","268360","74275"
