"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","5228","301","758","2220","1180","843","1012","1707","1916","149"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","2682","1773","2918","273","330","142","244","222","410","29"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","82","100","774","1333","4832","4490","4176","3058","829","279"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","0","0","17","36","1029","987","2590","2430","3103","90"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","4943","562","1450","1485","1575","808","894","1388","2814","443"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","4676","1743","3520","1804","1087","766","625","2058","2313","264"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","8069","1140","1715","1084","895","615","612","1547","5156","957"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","1954","2025","10072","1953","2130","1206","830","1000","782","104"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","3964","3687","2774","1881","959","1283","467","1136","1460","250"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","900","1187","4212","2633","2270","1410","504","278","1960","323"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","137","368","3864","2248","2308","470","338","864","930","385"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","176","96","450","1548","6063","5526","1783","1419","1022","185"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","52","162","1148","2840","3144","1324","318","418","135","284"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","33","191","458","3955","4134","1610","3050","4114","894","138"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","137","0","60","1488","1917","2498","3435","1895","1417","112"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","28","4","54","258","1550","695","754","421","494","204"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","256","251","1776","751","1575","882","595","212","181","21"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","31","39","360","2353","3373","1327","1114","1279","2506","493"
"publicpolygonfeature:5:57499","ZIP Code 80238","country:us/state:co/zip:80238","80238","156","0","114","16","160","71","276","4015","6636","984"
"publicpolygonfeature:5:57507","ZIP Code 80239","country:us/state:co/zip:80239","80239","60","59","277","1531","3392","1811","2232","2384","1805","392"
"publicpolygonfeature:5:57517","ZIP Code 80241","country:us/state:co/zip:80241","80241","18","53","27","76","648","2745","5530","2442","1203","452"
"publicpolygonfeature:5:57526","ZIP Code 80246","country:us/state:co/zip:80246","80246","66","50","1118","1036","2105","1035","907","1106","768","114"
"publicpolygonfeature:5:57994","ZIP Code 80015","country:us/state:co/zip:80015","80015","24","97","185","213","2294","8452","7508","3977","2338","816"
"publicpolygonfeature:5:57998","ZIP Code 80045","country:us/state:co/zip:80045","80045","0","0","0","0","10","26","14","271","512","86"
"publicpolygonfeature:5:58158","ZIP Code 80212","country:us/state:co/zip:80212","80212","3442","1065","1193","496","973","686","379","841","1376","284"
"publicpolygonfeature:5:58168","ZIP Code 80214","country:us/state:co/zip:80214","80214","1497","880","3363","1229","2081","1676","599","779","1233","475"
