"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","2424","515","1162","1347","2105","1105","2135","1661","936","218"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","913","638","509","878","830","388","290","381","261","0"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","1113","526","1758","1627","875","433","433","339","121","58"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","448","540","2025","1523","1417","2304","1314","811","1344","23"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","1038","653","1800","1993","1847","636","1042","596","136","74"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","821","577","1242","2207","1264","799","1384","776","159","62"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","4382","937","945","647","740","559","477","258","166","4"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","209","95","545","351","454","84","140","297","99","6"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","300","81","55","57","167","69","224","63","204","0"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","103","250","404","1102","997","3239","3503","1714","548","59"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","496","67","46","78","70","30","90","76","77","17"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","202","60","388","1039","2086","2657","5229","5000","4570","963"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","149","52","163","543","2776","2690","3705","2617","1968","369"
"publicpolygonfeature:5:47568","ZIP Code 46034","country:us/state:in/zip:46034","46034","281","0","135","205","868","568","439","650","252","132"
"publicpolygonfeature:5:47569","ZIP Code 46035","country:us/state:in/zip:46035","46035","222","10","76","30","36","33","100","15","13","0"
"publicpolygonfeature:5:47571","ZIP Code 46036","country:us/state:in/zip:46036","46036","1957","454","727","479","456","586","272","131","163","37"
"publicpolygonfeature:5:47572","ZIP Code 46037","country:us/state:in/zip:46037","46037","372","159","43","101","253","979","4233","6663","4437","698"
"publicpolygonfeature:5:47573","ZIP Code 46038","country:us/state:in/zip:46038","46038","133","79","94","179","904","2597","7044","4625","2145","258"
"publicpolygonfeature:5:47575","ZIP Code 46040","country:us/state:in/zip:46040","46040","396","126","211","401","498","264","454","943","1688","554"
"publicpolygonfeature:5:47577","ZIP Code 46044","country:us/state:in/zip:46044","46044","152","25","106","219","197","86","133","141","33","3"
"publicpolygonfeature:5:47578","ZIP Code 46045","country:us/state:in/zip:46045","46045","7","0","0","0","37","0","0","0","0","3"
