"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","198","310","2591","6394","11860","3646","1406","3154","948","235"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","250","1769","3780","3969","2196","1335","899","1000","636","210"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","280","474","6444","4727","7611","4159","965","418","588","208"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","155","1237","3238","2251","1105","708","273","394","65","31"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","39","129","875","3723","5143","2360","1142","861","610","339"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","60","76","569","1682","2794","8263","5908","3840","598","41"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","0","157","202","725","1454","6821","4779","1241","545","80"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","18","86","149","336","558","2492","7406","2796","3294","922"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","127","209","1400","3249","3389","1105","1222","1509","364","0"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","689","1972","7097","4225","3257","1809","733","2171","503","186"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","58","169","2952","6668","6547","2619","1325","634","902","129"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","59","458","6603","7554","4030","1351","1211","904","305","122"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","144","204","4936","5172","6829","2900","1708","2389","2024","113"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","9","146","204","792","4234","6621","6298","6401","5387","522"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","0","26","53","247","3311","5653","2802","272","116","64"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","55","0","73","764","1728","3812","8551","10037","1281","191"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","0","0","53","0","201","276","6584","1707","610","43"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","52","0","44","293","337","805","9325","3044","204","96"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","112","181","876","4411","10860","4194","3962","5220","2708","440"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","631","2061","5125","3514","3751","1448","773","1024","465","173"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","210","522","6575","3709","2474","1133","294","335","489","225"
"publicpolygonfeature:5:39827","ZIP Code 33165","country:us/state:fl/zip:33165","33165","79","359","6773","3173","4076","2644","465","131","73","53"
"publicpolygonfeature:5:39831","ZIP Code 33166","country:us/state:fl/zip:33166","33166","198","868","2687","1561","1523","1418","554","273","1307","977"
"publicpolygonfeature:5:39860","ZIP Code 33167","country:us/state:fl/zip:33167","33167","140","453","3018","1123","592","663","271","502","281","113"
"publicpolygonfeature:5:39890","ZIP Code 33168","country:us/state:fl/zip:33168","33168","109","892","3945","807","566","145","62","184","102","0"
"publicpolygonfeature:5:39895","ZIP Code 33169","country:us/state:fl/zip:33169","33169","84","621","4127","2274","3055","1711","1165","1191","833","158"
"publicpolygonfeature:5:41403","ZIP Code 33030","country:us/state:fl/zip:33030","33030","329","389","1820","975","2089","2005","1118","1725","772","199"
