"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","43","0","28","57","380","660","176","207","44","89"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","874","130","894","599","1054","1028","731","3577","2998","775"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","48","12","160","32","99","186","246","750","280","114"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","14","20","35","5","91","364","428","496","248","46"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","51","0","61","167","101","2254","2985","7011","2494","440"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","1315","797","3574","689","1353","721","849","689","1662","355"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","612","1441","2660","1308","996","704","330","530","1450","396"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","371","795","2412","1939","1580","562","247","774","855","71"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","853","941","2891","2324","2154","1092","914","703","654","63"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","99","171","2377","2109","2528","2935","1684","878","883","172"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","521","394","2980","2611","4977","4019","2615","1480","1061","386"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","218","150","1401","2522","2879","1829","682","761","167","93"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","80","55","1536","1630","1984","3088","2854","1967","1243","65"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","110","225","982","1568","3678","4073","3564","3157","861","122"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","56","27","945","2169","3357","4399","2876","1127","211","187"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","17","0","0","146","100","6","330","2282","1562","102"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","11","20","293","577","1813","4194","4030","1575","1227","223"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","80","134","395","1106","3073","5998","4755","2690","150","31"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","19","0","291","524","2387","4635","1958","2171","2140","1302"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","0","0","121","22","14","407","73","2227","808","27"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","10","0","91","41","994","3583","2486","3108","4450","195"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","36","67","920","1582","4905","7382","6005","3788","2237","365"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","540","24","161","668","448","1997","4147","5655","6212","1057"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","49","12","353","1326","1895","5319","5247","5655","2196","333"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","43","0","576","213","627","3152","2544","2037","1768","282"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","39","0","70","486","21","53","124","2015","4504","185"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","49","0","120","297","348","1692","7398","13104","2616","320"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","0","0","25","149","178","687","768","4811","919","309"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","0","0","0","0","0","1","11","13","22","54"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","0","0","6","0","0","21","0","0","0","17"
"publicpolygonfeature:5:43116","ZIP Code 32832","country:us/state:fl/zip:32832","32832","0","0","0","57","139","301","424","4369","7208","1789"
"publicpolygonfeature:5:43119","ZIP Code 32833","country:us/state:fl/zip:32833","32833","64","0","44","83","191","753","681","1369","578","229"
"publicpolygonfeature:5:43128","ZIP Code 32835","country:us/state:fl/zip:32835","32835","121","217","266","422","1134","5524","5305","5084","992","263"
"publicpolygonfeature:5:43161","ZIP Code 32836","country:us/state:fl/zip:32836","32836","44","79","24","203","207","1684","2908","2289","2804","458"
"publicpolygonfeature:5:43165","ZIP Code 32837","country:us/state:fl/zip:32837","32837","71","71","49","72","1369","4387","9113","4813","1199","231"
"publicpolygonfeature:5:43169","ZIP Code 32839","country:us/state:fl/zip:32839","32839","195","455","1304","2203","4067","4519","3501","4872","3388","204"
"publicpolygonfeature:5:43226","ZIP Code 32102","country:us/state:fl/zip:32102","32102","95","76","177","224","380","496","153","198","17","14"
"publicpolygonfeature:5:43249","ZIP Code 32159","country:us/state:fl/zip:32159","32159","0","0","307","419","548","4771","8637","3461","2111","482"
"publicpolygonfeature:5:43412","ZIP Code 32714","country:us/state:fl/zip:32714","32714","22","0","757","956","4939","5172","2146","1963","704","0"
"publicpolygonfeature:5:43419","ZIP Code 32701","country:us/state:fl/zip:32701","32701","136","5","573","1372","4617","2859","1260","811","372","104"
"publicpolygonfeature:5:43422","ZIP Code 32702","country:us/state:fl/zip:32702","32702","63","18","225","142","234","402","207","97","188","5"
"publicpolygonfeature:5:43444","ZIP Code 32703","country:us/state:fl/zip:32703","32703","593","471","1080","904","2565","5548","3755","2826","3709","1276"
"publicpolygonfeature:5:43445","ZIP Code 32707","country:us/state:fl/zip:32707","32707","10","86","649","1147","4145","5673","2200","1842","1352","294"
"publicpolygonfeature:5:43446","ZIP Code 32708","country:us/state:fl/zip:32708","32708","0","62","381","452","3485","6979","4251","2345","1838","336"
"publicpolygonfeature:5:43447","ZIP Code 32735","country:us/state:fl/zip:32735","32735","0","0","28","9","348","563","370","571","534","57"
"publicpolygonfeature:5:43448","ZIP Code 32709","country:us/state:fl/zip:32709","32709","46","0","0","9","38","195","108","215","59","19"
"publicpolygonfeature:5:43449","ZIP Code 32712","country:us/state:fl/zip:32712","32712","133","25","385","365","1297","4157","3187","5140","2091","701"
"publicpolygonfeature:5:43451","ZIP Code 32720","country:us/state:fl/zip:32720","32720","843","633","1702","1275","2350","2042","1379","1990","1739","556"
"publicpolygonfeature:5:43453","ZIP Code 32726","country:us/state:fl/zip:32726","32726","603","230","1664","843","1505","3144","1684","1307","562","387"
"publicpolygonfeature:5:43454","ZIP Code 32730","country:us/state:fl/zip:32730","32730","44","0","231","594","1192","421","390","43","114","0"
"publicpolygonfeature:5:43455","ZIP Code 32732","country:us/state:fl/zip:32732","32732","0","17","111","121","143","599","290","534","112","141"
