"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","332","285","566","403","408","126","39","26","15","31"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","70","99","1127","2828","3382","2068","1296","627","622","117"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","1042","321","449","162","634","364","125","270","21","0"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","107","61","0","36","51","0","48","0","55","0"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","719","649","2065","3054","999","800","691","573","627","153"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","412","234","423","401","1017","1073","509","127","84","0"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","275","235","649","608","155","218","352","76","10","23"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","15","0","37","21","0","0","0","17","16","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","417","258","701","593","1070","514","564","1088","327","197"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","993","52","705","1248","1259","159","221","62","202","106"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0","0","0","0","0","10","0","0","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","709","290","1948","3481","3867","2406","1964","1256","522","160"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","261","208","1210","1246","2728","781","669","394","188","20"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","2535","834","1406","1358","1466","663","3489","1318","714","201"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","35","9","6","28","64","128","47","56","6","0"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","122","0","30","115","298","54","40","95","185","70"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","1939","628","2276","3112","7343","2630","2183","1546","421","75"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","204","17","218","88","105","572","686","1492","183","30"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","70","0","12","0","64","0","0","0","0","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","82","47","216","204","88","93","114","19","20","4"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","323","272","388","319","429","172","84","94","8","0"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","479","209","1019","825","1096","948","1475","784","1743","141"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","2559","555","727","433","193","355","115","265","31","128"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","406","768","1431","1502","387","262","69","65","111","15"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","2422","760","2032","501","474","217","82","241","188","76"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","450","626","2304","2835","1197","422","108","23","219","25"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","1399","382","959","186","173","83","26","89","43","13"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","250","38","208","86","323","149","159","1176","20","64"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","1530","390","1113","1193","2021","895","951","1335","174","9"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","107","10","12","0","11","0","5","14","0","0"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039","6","0","0","0","0","0","7","0","0","0"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","60","10","8","32","29","57","24","28","11","0"
