"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","8163","726","1434","1698","937","1001","584","855","163","33"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","2909","2639","2133","1537","905","648","710","815","507","47"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","102","40","19","38","0","52","189","1938","2533","212"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","121","87","156","878","3369","4823","1314","295","978","45"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","249","377","1443","1949","2859","1589","688","871","1229","207"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","892","1803","1578","1680","924","776","517","1087","2771","231"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","20","17","41","266","899","1675","1497","268","169","0"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","3545","559","601","268","130","56","145","65","26","15"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","1229","1678","4811","2842","2652","991","446","935","672","177"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","317","24","89","730","352","724","204","321","83","124"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","12094","3168","3464","1668","1175","1032","706","645","512","95"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","85","0","17","0","38","0","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","460","341","535","241","60","200","111","337","329","62"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","11404","799","1166","1761","1224","742","426","686","542","21"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","8761","907","1238","2281","1895","1538","1195","676","707","41"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","5574","5837","2501","810","801","510","211","199","88","15"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","2613","2045","2251","1856","2313","1867","1380","956","615","45"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","638","1750","7013","4462","4799","2032","776","582","297","60"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","13792","614","925","1031","1363","857","626","460","122","11"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","11007","1074","1332","1814","2154","754","469","436","226","0"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","401","998","2570","2849","2689","543","661","331","313","82"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","272","194","335","218","253","104","207","368","153","0"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","4574","1765","2757","2378","2654","1143","866","892","710","321"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","356","99","484","742","1262","1005","600","814","374","9"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","279","203","83","25","109","127","30","152","0","0"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","1395","2252","3981","2090","1951","857","1135","974","1809","173"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","254","16","579","1069","319","349","66","55","66","35"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","558","1473","2003","1470","1171","751","329","439","420","91"
"publicpolygonfeature:5:63553","ZIP Code 94037","country:us/state:ca/zip:94037","94037","126","0","82","178","439","311","0","75","0","0"
"publicpolygonfeature:5:63554","ZIP Code 94038","country:us/state:ca/zip:94038","94038","17","42","166","271","314","166","63","0","0","0"
"publicpolygonfeature:5:63557","ZIP Code 94044","country:us/state:ca/zip:94044","94044","377","676","4022","3979","3026","1242","553","520","241","42"
"publicpolygonfeature:5:63558","ZIP Code 94060","country:us/state:ca/zip:94060","94060","102","30","13","94","216","19","101","0","59","0"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","864","1570","4760","2132","1791","1378","514","328","326","175"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","10883","1725","1371","1480","1449","1410","819","441","159","40"
"publicpolygonfeature:5:63561","ZIP Code 94062","country:us/state:ca/zip:94062","94062","2104","1360","2149","1144","1105","966","676","588","351","59"
"publicpolygonfeature:5:63562","ZIP Code 94122","country:us/state:ca/zip:94122","94122","11116","4423","2591","2547","2004","600","305","372","237","13"
"publicpolygonfeature:5:63563","ZIP Code 94070","country:us/state:ca/zip:94070","94070","900","2217","2461","1824","1666","1377","343","402","507","208"
"publicpolygonfeature:5:63564","ZIP Code 94074","country:us/state:ca/zip:94074","94074","0","0","16","0","7","0","12","0","0","0"
"publicpolygonfeature:5:63565","ZIP Code 94080","country:us/state:ca/zip:94080","94080","1631","2773","5758","3456","2892","1862","1619","1996","1176","491"
"publicpolygonfeature:5:63570","ZIP Code 94102","country:us/state:ca/zip:94102","94102","11496","594","585","1584","1521","1383","1326","1846","2809","485"
"publicpolygonfeature:5:63571","ZIP Code 94103","country:us/state:ca/zip:94103","94103","6196","726","349","776","866","941","1136","3236","5751","1632"
"publicpolygonfeature:5:63572","ZIP Code 94104","country:us/state:ca/zip:94104","94104","230","0","0","0","0","44","0","27","0","0"
"publicpolygonfeature:5:63573","ZIP Code 94105","country:us/state:ca/zip:94105","94105","374","21","161","86","231","502","972","2968","4373","315"
"publicpolygonfeature:5:63574","ZIP Code 94107","country:us/state:ca/zip:94107","94107","3372","477","439","535","815","2181","1676","4907","4813","390"
"publicpolygonfeature:5:63575","ZIP Code 94108","country:us/state:ca/zip:94108","94108","5286","398","372","500","569","401","199","156","62","7"
"publicpolygonfeature:5:63576","ZIP Code 94109","country:us/state:ca/zip:94109","94109","22154","1482","2095","3773","3259","2596","1084","1380","1391","276"
"publicpolygonfeature:5:63577","ZIP Code 94110","country:us/state:ca/zip:94110","94110","19247","1270","1563","1774","1735","1307","893","1573","919","477"
"publicpolygonfeature:5:63578","ZIP Code 94123","country:us/state:ca/zip:94123","94123","9572","833","809","1261","892","579","426","364","368","25"
"publicpolygonfeature:5:63579","ZIP Code 94124","country:us/state:ca/zip:94124","94124","3035","1285","806","740","1017","996","986","1147","1667","21"
"publicpolygonfeature:5:63580","ZIP Code 94127","country:us/state:ca/zip:94127","94127","4044","1051","1189","639","173","114","146","286","11","20"
"publicpolygonfeature:5:63581","ZIP Code 94128","country:us/state:ca/zip:94128","94128","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63582","ZIP Code 94129","country:us/state:ca/zip:94129","94129","526","122","382","175","153","23","18","18","11","0"
"publicpolygonfeature:5:63583","ZIP Code 94130","country:us/state:ca/zip:94130","94130","81","168","101","184","72","62","10","0","0","62"
"publicpolygonfeature:5:63584","ZIP Code 94131","country:us/state:ca/zip:94131","94131","3940","730","1742","2890","3043","619","381","371","187","17"
"publicpolygonfeature:5:63585","ZIP Code 94132","country:us/state:ca/zip:94132","94132","1797","3697","3120","655","1213","388","319","347","355","148"
"publicpolygonfeature:5:63586","ZIP Code 94303","country:us/state:ca/zip:94303","94303","659","1431","5889","2412","1212","780","590","1990","843","85"
"publicpolygonfeature:5:63590","ZIP Code 94401","country:us/state:ca/zip:94401","94401","1292","1614","2982","2341","1471","1896","916","612","574","120"
"publicpolygonfeature:5:63592","ZIP Code 94402","country:us/state:ca/zip:94402","94402","2123","1602","1991","1311","1310","595","629","363","702","138"
"publicpolygonfeature:5:63593","ZIP Code 94403","country:us/state:ca/zip:94403","94403","619","2228","4853","2191","2554","1920","670","1210","1373","181"
"publicpolygonfeature:5:63594","ZIP Code 94404","country:us/state:ca/zip:94404","94404","143","67","333","3059","6282","2582","1023","586","1115","160"
"publicpolygonfeature:5:63595","ZIP Code 94501","country:us/state:ca/zip:94501","94501","10266","1567","1841","4300","3789","1655","913","1366","1130","473"
"publicpolygonfeature:5:63596","ZIP Code 94502","country:us/state:ca/zip:94502","94502","49","0","253","411","945","2097","1072","151","13","0"
"publicpolygonfeature:5:63598","ZIP Code 94509","country:us/state:ca/zip:94509","94509","905","1831","2769","3076","6804","4247","2130","1671","812","145"
"publicpolygonfeature:5:63599","ZIP Code 94505","country:us/state:ca/zip:94505","94505","78","107","35","55","627","1433","1402","1772","517","66"
"publicpolygonfeature:5:63600","ZIP Code 94506","country:us/state:ca/zip:94506","94506","4","31","265","30","437","2480","4052","1416","670","59"
"publicpolygonfeature:5:63601","ZIP Code 94507","country:us/state:ca/zip:94507","94507","161","205","720","540","1348","873","740","473","241","42"
"publicpolygonfeature:5:63605","ZIP Code 94511","country:us/state:ca/zip:94511","94511","8","303","109","41","227","44","142","63","101","0"
"publicpolygonfeature:5:63607","ZIP Code 94518","country:us/state:ca/zip:94518","94518","158","439","1702","2896","2786","1227","614","297","117","81"
"publicpolygonfeature:5:63608","ZIP Code 94519","country:us/state:ca/zip:94519","94519","225","759","2783","1665","884","446","138","395","179","10"
"publicpolygonfeature:5:63609","ZIP Code 94929","country:us/state:ca/zip:94929","94929","91","36","0","53","72","70","22","31","93","0"
"publicpolygonfeature:5:63610","ZIP Code 94513","country:us/state:ca/zip:94513","94513","442","202","815","652","940","1321","4465","9066","4333","695"
"publicpolygonfeature:5:63611","ZIP Code 94514","country:us/state:ca/zip:94514","94514","103","2","86","47","82","161","49","29","24","0"
"publicpolygonfeature:5:63612","ZIP Code 94566","country:us/state:ca/zip:94566","94566","435","186","751","2611","3356","4162","1955","2173","1064","31"
"publicpolygonfeature:5:63614","ZIP Code 94516","country:us/state:ca/zip:94516","94516","34","4","2","10","13","2","5","0","7","0"
"publicpolygonfeature:5:63615","ZIP Code 94517","country:us/state:ca/zip:94517","94517","131","23","205","482","1268","580","1405","308","102","15"
"publicpolygonfeature:5:63616","ZIP Code 94520","country:us/state:ca/zip:94520","94520","425","976","2548","2924","3293","1760","913","733","474","39"
"publicpolygonfeature:5:63617","ZIP Code 94521","country:us/state:ca/zip:94521","94521","56","274","2246","3668","5012","2627","1503","881","169","15"
"publicpolygonfeature:5:63618","ZIP Code 94523","country:us/state:ca/zip:94523","94523","176","1194","3321","1946","2167","2988","1058","662","526","95"
