"feature id","feature label","shid","geoid","Housing Built 1939 or Earlier (2020-2024)","Housing Built 1940 to 1949 (2020-2024)","Housing Built 1950 to 1959 (2020-2024)","Housing Built 1960 to 1969 (2020-2024)","Housing Built 1970 to 1979 (2020-2024)","Housing Built 1980 to 1989 (2020-2024)","Housing Built 1990 to 1999 (2020-2024)","Housing Built 2000 to 2009 (2020-2024)","Housing Built 2010 to 2019 (2020-2024)","Housing Built 2020 or Later (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","0","0","60","51","140","1111","3984","4999","2121","50"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","1009","943","2359","1105","971","1379","835","929","1321","479"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","33","6","370","1392","2565","2076","478","779","495","78"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","0","0","27","116","173","2366","2394","1901","1076","152"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","0","16","69","465","1759","2815","1778","2441","518","263"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","15","19","274","432","1341","3988","2686","900","554","9"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","0","0","30","39","70","26","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","0","0","204","0","0","130","239","0","35","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","29","34","187","1412","5549","2431","883","915","589","131"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","162","30","203","360","1809","3854","857","562","300","25"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","1778","1211","3684","1693","3267","1062","322","1098","895","249"
"publicpolygonfeature:5:40552","ZIP Code 33706","country:us/state:fl/zip:33706","33706","611","895","2942","2513","4028","1758","745","609","286","37"
"publicpolygonfeature:5:40560","ZIP Code 33707","country:us/state:fl/zip:33707","33707","807","599","4459","2514","4020","2757","812","477","198","183"
"publicpolygonfeature:5:40573","ZIP Code 33708","country:us/state:fl/zip:33708","33708","181","690","2639","1261","3983","1703","793","1330","615","109"
"publicpolygonfeature:5:40965","ZIP Code 33709","country:us/state:fl/zip:33709","33709","132","243","2857","2969","4246","1669","580","519","91","71"
"publicpolygonfeature:5:40987","ZIP Code 33710","country:us/state:fl/zip:33710","33710","381","490","7742","4267","2072","794","172","219","302","273"
"publicpolygonfeature:5:41015","ZIP Code 33711","country:us/state:fl/zip:33711","33711","519","896","2160","1091","2378","982","666","453","323","315"
"publicpolygonfeature:5:41116","ZIP Code 33756","country:us/state:fl/zip:33756","33756","384","869","2837","2978","3056","2173","900","1373","500","199"
"publicpolygonfeature:5:41209","ZIP Code 33772","country:us/state:fl/zip:33772","33772","64","53","1639","3376","3725","1935","750","319","531","29"
"publicpolygonfeature:5:41241","ZIP Code 33782","country:us/state:fl/zip:33782","33782","11","120","702","1730","3713","1868","998","704","682","321"
"publicpolygonfeature:5:41244","ZIP Code 33785","country:us/state:fl/zip:33785","33785","76","127","457","502","1622","1854","592","464","254","35"
"publicpolygonfeature:5:41247","ZIP Code 33786","country:us/state:fl/zip:33786","33786","4","13","195","109","411","139","142","83","88","3"
"publicpolygonfeature:5:41336","ZIP Code 33576","country:us/state:fl/zip:33576","33576","33","4","117","34","105","187","490","952","619","654"
"publicpolygonfeature:5:41427","ZIP Code 33603","country:us/state:fl/zip:33603","33603","2797","1089","1535","961","1032","702","168","639","509","149"
"publicpolygonfeature:5:42725","ZIP Code 33503","country:us/state:fl/zip:33503","33503","0","0","0","159","0","0","15","10","0","0"
"publicpolygonfeature:5:42730","ZIP Code 33510","country:us/state:fl/zip:33510","33510","39","53","453","923","2898","2979","2084","1724","823","131"
"publicpolygonfeature:5:42779","ZIP Code 33540","country:us/state:fl/zip:33540","33540","26","21","67","49","743","1392","1797","957","638","357"
"publicpolygonfeature:5:42797","ZIP Code 33541","country:us/state:fl/zip:33541","33541","89","21","118","771","2327","3450","2925","2760","1476","776"
"publicpolygonfeature:5:42820","ZIP Code 33542","country:us/state:fl/zip:33542","33542","172","156","802","1280","3709","2792","1835","1291","1174","385"
"publicpolygonfeature:5:42823","ZIP Code 33543","country:us/state:fl/zip:33543","33543","0","0","49","49","519","1370","2893","4713","4073","1535"
"publicpolygonfeature:5:42827","ZIP Code 33544","country:us/state:fl/zip:33544","33544","35","0","0","184","321","1012","1579","5204","1770","609"
"publicpolygonfeature:5:42833","ZIP Code 33545","country:us/state:fl/zip:33545","33545","0","0","7","127","223","582","481","3680","2698","2507"
"publicpolygonfeature:5:42913","ZIP Code 33810","country:us/state:fl/zip:33810","33810","196","40","340","889","1943","4229","5235","6281","2667","477"
"publicpolygonfeature:5:43513","ZIP Code 33556","country:us/state:fl/zip:33556","33556","131","10","286","422","623","1208","2225","3155","2998","1910"
"publicpolygonfeature:5:43528","ZIP Code 33511","country:us/state:fl/zip:33511","33511","145","49","314","1355","3831","6203","5725","4504","2557","246"
"publicpolygonfeature:5:43532","ZIP Code 33523","country:us/state:fl/zip:33523","33523","207","262","682","857","1320","1701","1136","1283","512","47"
"publicpolygonfeature:5:43533","ZIP Code 33525","country:us/state:fl/zip:33525","33525","319","163","540","698","1227","1417","1551","2005","686","463"
"publicpolygonfeature:5:43534","ZIP Code 33527","country:us/state:fl/zip:33527","33527","283","20","179","349","904","961","851","1437","999","64"
"publicpolygonfeature:5:43535","ZIP Code 33534","country:us/state:fl/zip:33534","33534","12","101","86","266","504","871","525","1784","1789","294"
"publicpolygonfeature:5:43537","ZIP Code 33558","country:us/state:fl/zip:33558","33558","27","81","137","388","854","1864","2730","2571","2738","943"
"publicpolygonfeature:5:43538","ZIP Code 33547","country:us/state:fl/zip:33547","33547","125","137","101","264","381","456","1013","3881","3736","121"
"publicpolygonfeature:5:43539","ZIP Code 33548","country:us/state:fl/zip:33548","33548","0","11","180","87","485","545","556","266","834","76"
"publicpolygonfeature:5:43540","ZIP Code 33549","country:us/state:fl/zip:33549","33549","16","22","333","329","1583","1457","2212","1062","440","188"
"publicpolygonfeature:5:43541","ZIP Code 33559","country:us/state:fl/zip:33559","33559","0","0","38","113","914","2062","1227","1937","752","467"
"publicpolygonfeature:5:43542","ZIP Code 33563","country:us/state:fl/zip:33563","33563","527","626","1208","690","2089","1847","1042","1597","896","27"
"publicpolygonfeature:5:43543","ZIP Code 33565","country:us/state:fl/zip:33565","33565","158","90","260","400","628","2438","860","1509","585","197"
"publicpolygonfeature:5:43544","ZIP Code 33566","country:us/state:fl/zip:33566","33566","126","110","216","492","635","1784","2518","1529","865","114"
"publicpolygonfeature:5:43546","ZIP Code 33567","country:us/state:fl/zip:33567","33567","45","18","68","200","649","702","631","1345","539","89"
"publicpolygonfeature:5:43547","ZIP Code 33569","country:us/state:fl/zip:33569","33569","26","40","133","93","752","1766","1883","3875","1604","730"
"publicpolygonfeature:5:43548","ZIP Code 33570","country:us/state:fl/zip:33570","33570","202","9","584","759","1608","1617","1017","3488","4281","1362"
"publicpolygonfeature:5:43549","ZIP Code 33572","country:us/state:fl/zip:33572","33572","18","15","178","82","1162","1483","957","2334","3155","1594"
"publicpolygonfeature:5:43550","ZIP Code 33573","country:us/state:fl/zip:33573","33573","31","25","217","1446","2757","2668","3200","2960","3868","1060"
"publicpolygonfeature:5:43551","ZIP Code 33578","country:us/state:fl/zip:33578","33578","53","83","183","462","1256","2343","4079","8294","8105","1259"
