"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","3096","2029","1965","111079","7.6214405360134005","0.5307292219509606","16897","5.26334","63287","923","950","390","647","750","556","30102","4.522879598823472","72.06797094902178","26.157563669837373","84","359"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","1902","1805","1723","103860","2.8760119301235623","1.4082462253193961","11985","18.29239","68599","722","1111","422","1027","443","406","19606","3.8062283737024223","73.69065225151716","19.70365184925913","264","426"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","8945","1507","1663","74381","3.627047121470913","0.5027354724234807","27189","9.5495","49176","6255","3066","1876","1730","2320","2489","31458","6.041139045030576","77.73231888218969","22.77480194454447","1034","3088"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","35","180","774","69286","0","2.272727272727273","1001","-27.58953","33131","83","183","91","76","345","111","1737","3.1825795644891124","57.51445086705203","32.02448210922787","0","14"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","60","388","658","81574","0","0.7686395080707148","1669","18.24849","31361","220","171","712","53","269","43","3450","3.480176211453744","60.98871574422353","35.54372842347526","0","68"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","31","95",,"106250","13.008130081300814","0","1059","4.60225","43850","87","133","51","93","65","40","2001","4.422604422604422","61.983082706766915","37.348141432456934","0","10"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","650","1120","1849","98199","7.136929460580912","1.6583371194911403","5611","180.53669","36636","362","969","531","514","874","339","12639","4.959470989761092","76.38019351166761","33.16306114793047","0","142"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0",,,"0","0","0","29.87791",,"0","0","0","0","0","0","0",,,,"0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","854","1278","1134","78568","4.463827603899436","0.6189360990297759","8294","8.29015","38738","679","785","1868","615","1069","403","14377","3.6408692337018684","62.769967095423276","30.80247641509434","41","252"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","42","70","1177","105063","0","0","652","9.55162","33198","21","66","44","15","57","60","1478","1.5151515151515151","64.378612716763","37.48391248391248","0","7"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","1524","1989","1449","89968","0.9664170089393573","0.8486707566462168","14323","32.82983","38822","1777","1823","881","1712","2196","975","26151","3.7217686353515003","62.988889602466124","32.59662816109897","136","582"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","1288","896","2759","162168","1.0681818181818181","2.7282549972987575","8763","69.45647","151121","552","587","308","185","78","14","10000","1.4236458680903126","77.05380017079419","20.88903034160832","32","994"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","3955","1568","2041","102171","5.6329981718464355","0.17739932588256166","14986","19.88096","68001","1811","1739","523","1328","1212","460","18467","3.701861981324935","77.77157098659333","18.761472058155384","316","1899"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","1988","2207","2181","153036","2.430939226519337","0.27846027846027843","12073","11.41389","131918","723","837","270","377","450","137","20297","5.097250167672703","74.14221780208851","17.64417037798333","524","746"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","1592","3492","1867","119698","0.37293553542887586","0.2869440459110474","18007","93.45371","49752","1320","858","1013","1999","1922","943","40209","3.205244946275724","74.38050101557211","32.60873726015599","0","301"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","318","1190","1481","95496","0","0.3596403596403596","6168","33.39075","35814","393","2003","1378","840","261","1635","13289","6.836817184432382","58.86471787899388","38.746016571064374","23","216"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","6920","2734","1801","106897","5.38988515011082","1.063030172876624","30002","16.03107","90802","2721","2844","608","959","1726","713","39290","4.738346525945471","80.68768416155261","20.217955495746622","852","2548"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","6857","582","1571","32380","5.281165014474954","2.271332105586249","13619","15.53309","26154","7805","2340","895","822","1229","622","7778","7.501820830298617","54.30840382157853","16.49433932388568","935","2616"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","5680","4084","1815","125487","3.505593193634788","0.0737803190998801","34500","37.13768","57371","3143","2380","1069","1729","3306","1191","76364","4.7279445360456105","71.45816190449167","25.12689749783782","135","1191"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0",,,"0","0","0","-0.17119","6727","0","0","0","0","0","0","0","52.63157894736842","9.45273631840796",,"0","0"
"publicpolygonfeature:5:59955","ZIP Code 78615","country:us/state:tx/zip:78615","78615","27","176",,"80938","0","0","586","38.68233","33785","59","29","14","40","190","50","1255","5.23489932885906","66.57730116175156","39.437609841827765","0","2"
"publicpolygonfeature:5:59956","ZIP Code 78616","country:us/state:tx/zip:78616","78616","252","482","1362","64715","1.2084592145015105","2.2376543209876543","3423","70.34626","28448","458","787","351","1634","1385","443","5625","3.3506182688472275","67.83926396969287","49.73079600835461","0","55"
"publicpolygonfeature:5:59958","ZIP Code 78617","country:us/state:tx/zip:78617","78617","1095","1798","1529","71640","2.9538131041890443","0.9277208529493215","9443","33.7984","31000","2387","1455","1759","2267","2130","2077","16583","5.858282752506309","62.19196674725368","32.60479777304732","116","228"
"publicpolygonfeature:5:59959","ZIP Code 78620","country:us/state:tx/zip:78620","78620","512","1307","1965","153477","2.512155591572123","0.8227583321712454","8664","45.47447","70947","379","515","165","557","468","135","20596","2.369952087611225","66.92242114237","32.09780826002684","0","72"
"publicpolygonfeature:5:59961","ZIP Code 78619","country:us/state:tx/zip:78619","78619","59","273","1786","183393","18.6046511627907","0.8665511265164645","2465","67.06584","73639","51","11","11","33","163","25","6385","6.797269219352923","66.00705329153605","30.541012216404887","0","0"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","571","2303","1387","98534","0","1.5032211882605582","11036","28.00735","38211","1258","649","782","2686","1483","924","21962","3.9423906550740027","66.86637376292549","37.467831681446704","0","322"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","0","29",,,"0","0","162","9.08715","26388","32","41","13","25","49","0","171","0","58.68852459016394","35.502793296089386","0","24"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","3527","2079","1879","100431","4.917554355756603","0.9718913768461173","17865","51.32296","43658","1785","2015","612","1313","2368","1648","36345","4.111031707225336","71.82179114817873","27.555918572505654","33","383"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","2662","3318","1687","125635","2.2125723738626966","0.8057851239669421","19856","68.54134","60880","1412","2284","779","1041","1530","480","43182","4.639454728526063","65.42422263525393","29.30264838154461","24","922"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","144","162","1629","81346","3.5256410256410255","0","987","-1.51679","32747","10","378","13","87","141","137","2071","3.9411764705882355","73.91304347826086","27.853498542274053","0","76"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","0","131",,"62500","0","0","655","12.27666","31884","13","73","29","199","76","100","746","0","42.92497625830959","39.10843373493976","0","8"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","587","3210","1998","100936","0","1.544837980406933","14787","44.39441","69806","464","756","469","455","754","324","26064","3.628590221442666","34.21786152302374","33.18353909465021","0","233"
