"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","2680","1177","1710","101873","7.879695155144257","1.4613778705636742","13943","23.18379","86125","538","1095","341","787","1315","271","19968","2.4211609466739303","81.96136701337295","21.348978860623433","554","1006"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","4295","1979","1554","100824","6.178420735382761","0.7903101108152221","22228","10.86448","64753","2559","1629","1283","1636","1718","810","37198","3.9486065870430695","73.36983837261593","22.553099593495936","512","1260"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","2646","1297","1767","132917","10.721883420791377","0.8051529790660225","15233","12.16126","92261","1881","1124","646","614","1072","908","27329","4.316020482809071","67.68137422566792","22.494905029754626","258","934"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","5916","1662","1362","52723","6.08646188850967","1.3426156141223273","17146","6.76046","26936","3089","3771","3766","3589","4387","1655","21526","5.787172668679857","70.88551126406017","29.791443212966275","509","1254"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","13","8","845","31366","15.306122448979592","0","144","-18.35803","13614","24","89","0","86","0","0","59","0","34.50292397660819",,"0","2"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","5996","1983","1444","58146","13.142292490118576","0.41182170542635665","20924","25.68143","32606","5723","3314","2919","1522","2997","1297","27938","5.746515249344829","70.9126088358594","26.508768811470553","426","1260"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","2540","1568","1622","118606","10.133843212237094","0.27324978799585414","16752","6.68951","77844","824","870","677","561","1653","632","33859","4.055537000811108","67.71526387184291","25.10198049068874","83","512"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","101","460","800","66301","10.732984293193718","0.8349705304518664","2489","4.01838","30214","748","254","83","227","1044","71","4144","9.865470852017937","59.76263399693721","31.398809523809526","0","19"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","1442","1725","1173","71665","8.307778087538333","0.4212990052662376","12763","12.6476","36399","1123","2073","1587","695","2289","893","20201","3.2145352900069883","67.26846923568235","26.94797645862094","121","791"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","1767","1822","1212","66257","8.159523263809305","0.49504950495049505","12449","8.61161","31383","1458","3053","1454","1421","1273","508","18804","4.680198088860989","63.74289772727273","25.113645894489643","55","639"
