"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","56","8","558","65625","0","0","532","-7.92143","29610","54","95","54","42","157","47","861","7.890743550834597","59.53026196928636","35.769881556683586","0","57"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","80","283","1054","69852","0","0","1608","-3.77147","41564","101","393","80","108","126","58","2795","1.8651362984218076","68.04425642694434","32.825753704649976","0","58"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","751","2382","1464","101175","3.126285479226656","0","11673","35.82901","50258","1793","250","373","2263","1503","891","24404","1.873469620181083","73.80172920339125","23.502012222387837","83","303"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","3390","2079","1161","63310","1.9197637213881367","0.4803913005502664","21304","3.87356","30806","3204","5246","2501","2881","3294","1058","28740","6.760183216096843","63.94196837014769","21.090684420235032","472","1838"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","2290","1159","1154","89713","1.906985794901732","0.37945125510799765","12623","2.69961","62488","892","1252","791","641","1223","591","21434","4.263972710574652","67.64614771872373","19.95280450172445","235","921"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","6","0",,"34423","67.08860759493672","0","234","56.99022","4565","7","0","0","0","13","0","29","13.550640279394646","35.35843472541927","12.727790432801822","227","6"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","2519","972","1117","42579","2.8680688336520075","2.048947068867388","9722","6.62708","20271","3985","4139","1644","1525","1446","499","8928","11.981285598047192","60.18240803085022","20.773070696168375","350","1635"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","3782","547","1428","77257","5.957083377815736","0.07429420505200594","13806","28.04981","73125","1688","1177","475","611","574","526","18223","1.5567086730911788","79.21043631211218","20.083319980772313","220","720"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","4933","1300","1151","54704","1.8179940088833797","2.1716021260440392","17326","12.86842","31704","2817","3677","1538","2116","3047","1823","20714","7.685274819834355","66.58808401200172","22.01980408858603","784","2092"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","2313","1522","1272","94183","4.505840904876692","0.780049639522515","14277","8.55168","62469","1217","1249","517","605","1069","569","21243","3.8543506058576384","70.75796726959518","20.287108688005627","279","928"
