"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","3034","1562","1764","101594","4.4357386579047136","3.951412264012879","15314","18.77557","91666","820","828","449","591","691","226","20511","3.2068572798657318","76.253081347576","21.906775722650803","628","1076"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","1046","1462","1879","115542","0.6729475100942126","1.5106192043075082","9023","6.10608","64446","1278","905","125","507","701","143","17638","5.38942107455227","70.20072353833586","24.544725478099938","352","553"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","2995","3113","2077","105932","5.055263634716434","0.21337126600284498","19953","5.06436","63179","1122","821","1053","1327","1425","474","37462","4.35370249017038","66.38171999240143","26.17332422897462","238","591"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","1508","1223","2180","129858","3.4050553582619596","0","10282","26.22307","74563","755","307","100","248","492","109","20484","4.442489553551792","72.30411581338828","26.185462764691888","257","532"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","2795","1577","2031","125733","4.930408115121491","2.4515618821668643","16362","27.74206","108343","811","706","350","684","439","222","24352","3.176569980287243","72.91726076506293","23.169664560038893","320","1340"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","3566","1823","1996","127270","2.0491297370694976","0.5603362017210326","18856","14.77511","83453","2119","1408","276","600","654","677","31252","4.192324945964683","73.11923877490337","22.14530703779434","1056","880"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","3583","2073","1970","121439","5.291050517138217","0.8679669151434699","21790","20.93407","90186","1835","1101","598","701","1432","677","31505","3.798757153389741","83.72857478281287","25.57466770914777","763","1541"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","4149","4243","1539","68415","2.7430326969497476","0.11141174598121915","22056","1.20898","31186","4216","6336","3596","3636","4738","1707","35007","4.59445072859139","64.84395206483318","26.66425353925354","1159","2152"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","3743","1837","1639","106054","3.373994290163509","0.43401880748165755","17861","12.04971","82503","1829","1905","679","1782","1081","604","29013","4.402741075827474","74.77076500903554","23.602775941837407","348","1138"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","2390","3447","1666","86810","6.457641196013289","0.16895062887178525","15677","12.088","40436","1894","2323","1024","1218","3470","1192","27720","5.930488341399032","71.27459581401178","28.158963057472597","528","755"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","3155","924","1782","86472","1.3216536038112803","0.6264682850430697","11912","13.88617","63856","937","721","805","761","841","1109","18017","4.696058784235137","74.32969215491559","23.340762303283906","573","1172"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","5369","1602","1764","76502","7.871693243616923","1.3379960468298617","18268","12.89714","45948","2418","3074","1709","1738","1214","468","25061","4.766881759520131","75.77142464435434","26.105835743931582","685","1543"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","1377","1441","1732","96217","3.424153166421208","0.4977954771725217","9825","4.16972","49583","1224","880","269","542","1120","489","18383","4.31073192635833","68.13175606771364","28.50373937096609","249","330"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","4087","3158","1875","88880","3.1784150303715215","1.093378008993916","18577","5.49111","39558","1701","1884","1884","1044","3017","2264","36247","3.493434325558348","72.65698999052812","29.55344325053291","560","874"
