"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","1005","1437","1006","78812","4.888888888888889","0","13608","4.12773","40678","1396","1584","586","1406","2368","1010","23638","4.512808235575772","62.62713131917439","30.7353467401417","0","485"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","484","418","831","70962","0","1.102015113350126","5088","0.56741","38685","274","472","567","290","482","407","7735","6.232244318181818","68.5825621042377","30.579639074146723","0","422"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","506","842","1040","76391","9.607993850883934","0.3063063063063063","7283","2.29514","40039","709","943","592","437","1183","214","12097","6.699690402476779","59.64588712652158","26.608292759541385","32","330"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","2297","954","1311","75156","15.204317656129529","1.2834224598930482","11749","6.89184","61625","821","849","896","345","1205","329","14921","3.621099050203528","70.68696798944971","21.343434343434343","2","499"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","1606","805","1032","58041","2.903332233586275","1.1210762331838564","9815","-2.01352","32497","1173","1138","948","914","1044","966","13644","3.2729398012857978","58.91597361628907","23.818099954975235","14","329"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","1227","1022","916","49310","2.1249195106245975","0.48968170689052115","9291","3.97369","32783","2193","1449","1262","603","1406","328","11832","5.007670392285777","59.76033003732565","26.815495310291663","25","482"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","2065","647","870","36029","10.417103332634667","3.770437103770437","9115","-7.65444","21818","2335","2232","1260","1045","1791","1147","7160","9.579064313047772","57.90978626063335","23.902155372926035","54","1131"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","166","229","980","75011","0","1.3029315960912053","2280","-0.38333","34321","126","246","365","171","178","208","3789","6.914693724163848","59.58351992834751","22.457897132453347","1","101"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","64","128","959","90536","19.141914191419144","0","1220","-3.61962","43923","50","151","95","102","390","23","2224","2.026599113362888","63.08429884139033","26.72340425531915","0","28"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","2906","1189","1216","68631","4.872783346183501","0.4272674305690425","11919","6.32485","39712","1412","1509","931","614","1349","705","19092","4.316932564686955","71.33020942909056","27.07074785979648","137","750"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","40","173","1054","76438","11.458333333333332","0","1047","-3.09925","35535","128","83","38","45","112","91","1950","4.649390243902439","62.95585412667947","36.588235294117645","2","32"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","2730","1557","1642","132085","9.05365603790498","0.7550457383476115","22194","20.80108","78612","1899","587","433","1244","879","389","45663","2.9421159101394756","68.65806137359961","23.78271253620611","13","761"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","1014","1803","1786","153143","0","1.8254640683971348","15032","14.23353","70891","347","468","488","613","611","132","38060","2.486329859326074","68.78322126160742","24.57912565511952","5","154"
"publicpolygonfeature:5:47568","ZIP Code 46034","country:us/state:in/zip:46034","46034","250","591","747","91466","0","0.24407252440725244","3530","8.79644","52063","232","463","101","164","752","181","5638","1.6266084000971108","66.4569215876089","27.816666666666666","0","59"
"publicpolygonfeature:5:47569","ZIP Code 46035","country:us/state:in/zip:46035","46035","38","43","821","73357","13.414634146341465","0","535","0.63837","27618","21","60","98","43","142","115","869","2.8315946348733236","67.91497975708502","29.52542372881356","0","7"
"publicpolygonfeature:5:47571","ZIP Code 46036","country:us/state:in/zip:46036","46036","497","449","865","62074","6.842480399144691","0","5262","-3.47572","31363","846","965","692","551","1020","347","7069","5.707880669080876","60.73626029825843","29.171456888007928","0","205"
"publicpolygonfeature:5:47572","ZIP Code 46037","country:us/state:in/zip:46037","46037","1289","2250","1656","141810","9.87080103359173","0.8628190255220417","17938","29.71624","61268","1020","985","951","437","384","641","44014","2.5552100773339714","69.89268077358126","28.589358567543066","0","485"
"publicpolygonfeature:5:47573","ZIP Code 46038","country:us/state:in/zip:46038","46038","2045","1541","1575","106886","2.880886426592798","1.862348178137652","18058","14.09793","50907","1429","654","861","639","1336","1770","36738","3.5312753544797744","74.72179889007103","23.98651190284271","0","491"
"publicpolygonfeature:5:47575","ZIP Code 46040","country:us/state:in/zip:46040","46040","120","518","1528","147500","0","0","5535","50.85163","61503","67","231","521","94","306","184","14540","2.0223298925637243","76.05142040945881","28.413278736472652","0","122"
"publicpolygonfeature:5:47577","ZIP Code 46044","country:us/state:in/zip:46044","46044","23","111","1197","81402","0","0","1095","-1.92926","37711","119","86","97","37","58","102","2115","3.1204644412191582","64.6038443506798","31.336675020885547","15","7"
"publicpolygonfeature:5:47578","ZIP Code 46045","country:us/state:in/zip:46045","46045","0","0",,"160912","0","0","47","61.54984","49160","0","0","0","0","0","0","162","0","38.059701492537314",,"0","0"
"publicpolygonfeature:5:47579","ZIP Code 46047","country:us/state:in/zip:46047","46047","14","0",,,"0","0","25","-7.64514",,"24","0","25","0","0","0","0",,"0",,"0","0"
"publicpolygonfeature:5:47580","ZIP Code 46048","country:us/state:in/zip:46048","46048","19","94","1379","72102","7.2727272727272725","0","775","-7.85796","27173","123","51","146","82","255","149","1151","2.784222737819025","59.366391184573","31.180836707152498","15","13"
"publicpolygonfeature:5:47581","ZIP Code 46049","country:us/state:in/zip:46049","46049","11","25","829","83594","0","4.861111111111112","402","-6.18086","35631","42","3","3","49","26","13","619","3.8922155688622757","54.48613376835236","24.966216216216218","0","2"
"publicpolygonfeature:5:47582","ZIP Code 46278","country:us/state:in/zip:46278","46278","40","334","1589","158648","0","0.22278803309993636","3270","6.31416","70148","220","188","1","40","73","32","7890","4.406130268199234","68.96652965355256","24.987309644670052","0","0"
"publicpolygonfeature:5:47583","ZIP Code 46050","country:us/state:in/zip:46050","46050","80","136","952","74531","0","0","870","-7.62044","35397","81","138","82","81","84","11","1325","1.0940919037199124","61.21902210314802","32.21165279429251","0","5"
"publicpolygonfeature:5:47584","ZIP Code 46051","country:us/state:in/zip:46051","46051","127","136","1285","78333","0","0","1252","-1.50273","38157","103","50","129","34","157","87","2325","5.595667870036101","73.31274812527569","28.03170920340294","7","51"
"publicpolygonfeature:5:47585","ZIP Code 46052","country:us/state:in/zip:46052","46052","879","1251","977","68930","3.0398736675878406","0","10006","5.06821","37536","752","761","593","1148","1532","1046","17095","3.2648597984847303","68.10830939461646","23.275991375269523","10","356"
"publicpolygonfeature:5:47587","ZIP Code 46055","country:us/state:in/zip:46055","46055","300","633","1650","113784","7.8231292517006805","0","6360","56.29893","55113","152","44","243","180","460","104","14701","2.1746366359702654","76.1170123082111","31.41007194244604","0","72"
"publicpolygonfeature:5:47588","ZIP Code 46056","country:us/state:in/zip:46056","46056","48","184","1085","72423","0","3.2810271041369474","884","-0.19293","39292","36","117","52","55","146","89","1549","4.098360655737705","64.47445684086905","28.005405405405405","0","30"
"publicpolygonfeature:5:47591","ZIP Code 46060","country:us/state:in/zip:46060","46060","2369","1821","1313","91918","7.579422673762297","1.1903829587281698","19410","29.21811","47784","1361","1359","847","1296","2944","427","38748","2.902018291977","71.06680887138677","26.156738718995914","0","460"
"publicpolygonfeature:5:47593","ZIP Code 46062","country:us/state:in/zip:46062","46062","1226","1607","1509","120100","3.450363196125908","0.6037414965986395","15745","32.88014","52985","935","670","596","413","1652","261","36085","2.612700380834293","71.69446994397138","27.04513908167231","16","243"
"publicpolygonfeature:5:47594","ZIP Code 46063","country:us/state:in/zip:46063","46063","7","16","733","48750","0","0","110","-8.1411","21571","22","72","15","5","18","10","87","11.827956989247312","53.44827586206896","19.65277777777778","0","7"
"publicpolygonfeature:5:47595","ZIP Code 46064","country:us/state:in/zip:46064","46064","357","855","1141","94609","5.96234309623431","0","6357","-0.56146","41960","335","375","684","224","840","271","12959","6.542699724517906","56.2137049941928","26.72466081404629","7","82"
"publicpolygonfeature:5:47597","ZIP Code 46068","country:us/state:in/zip:46068","46068","7","94","955","98708","0","0","1027","-6.85478","38031","32","98","60","16","112","65","2152","1.0101010101010102","60.9375","26.73948220064725","2","3"
"publicpolygonfeature:5:47598","ZIP Code 46069","country:us/state:in/zip:46069","46069","102","479","742","76990","0","1.8025078369905956","3431","15.58626","41909","53","70","314","443","340","339","5890","4.857419043015949","67.7472167648985","27.716933445661333","11","77"
"publicpolygonfeature:5:47599","ZIP Code 46070","country:us/state:in/zip:46070","46070","52","92","760","57667","12.686567164179104","0","852","-4.08984","26802","84","314","68","69","213","77","1254","4.810644831115661","59.622411693057245","22.455197132616487","0","54"
"publicpolygonfeature:5:47600","ZIP Code 46071","country:us/state:in/zip:46071","46071","81","189","896","85000","0","0","1268","-1.42079","45760","77","139","33","290","158","84","2291","3.64963503649635","65.21221737405791","27.036290322580644","2","22"
"publicpolygonfeature:5:47601","ZIP Code 46072","country:us/state:in/zip:46072","46072","233","327","837","72375","9.615384615384617","0","4056","-1.41294","37626","612","502","101","527","239","287","6588","2.8052064631956912","59.46090205497732","27.124235168927907","14","122"
