"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","1038","60","1124","34825","8.649602824360105","0","2637","-8.51447","33115","768","632","222","175","130","44","1539","7.912457912457913","30.725778842862034","19.775036284470247","77","1065"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","1674","238","1167","65063","4.976792160907684","0","5668","16.88485","46699","1087","646","169","374","424","186","5959","4.0234532955923985","60.538696777228886","19.448999276585482","15","569"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","3205","1780","1263","64789","9.56401384083045","1.1403508771929824","16074","4.92514","47052","2244","2296","875","1261","1638","843","19891","2.5700106345267635","70.83746693121694","24.311811621724267","215","1137"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","2002","948","860","39242","6.365795724465559","1.0275983558426305","9452","1.99397","25776","2927","2607","677","1698","1554","353","7205","8.60067407314942","60.854765506807865","25.064356435643564","374","1691"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","3670","2226","1266","65234","10.638069705093834","2.265409383624655","19402","7.9739","45391","2589","2174","1414","2507","1662","1021","25232","3.0529720986655886","65.93932943054817","19.817186399436512","73","2283"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","3356","2602","1214","41324","5.816226783968719","3.446075303126994","15027","5.78943","25861","3287","5912","2071","2320","1766","1057","15980","7.0629073391895725","56.96126151494428","25.23719165085389","541","1784"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","4589","2040","1062","30514","14.31123018530922","2.8301886792452833","17648","8.98826","19820","7587","5445","2674","2632","2597","2295","10506","12.874870734229576","50.57012967655389","23.54914711148808","919","2917"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","2136","2540","1743","97455","0","0.35687453042824946","15132","29.33064","36874","2856","1448","1032","1364","2153","719","31779","3.6629681670623575","65.25991053524602","31.28601137684262","0","419"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","0","0",,,"100","0","47","17.96547","67088","0","0","0","0","0","0","43","0","58.139534883720934",,"0","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","3293","1858","1472","76455","1.239866475917978","1.6775396085740912","17565","7.25532","37391","2199","2251","574","2374","3023","1147","31064","4.435378873361687","64.63475373547315","27.05362436001078","33","1214"
"publicpolygonfeature:5:42946","ZIP Code 32079","country:us/state:fl/zip:32079","32079","135","0","1837","41094","3.8461538461538463","0","215","4.87309","31075","27","10","12","13","39","2","187","0","4.77326968973747","3.5","0","41"
"publicpolygonfeature:5:42950","ZIP Code 32080","country:us/state:fl/zip:32080","32080","835","2320","1788","92531","3.3653846153846154","4.036186499652053","16510","8.82472","64548","820","820","706","363","810","521","16834","5.634395038368548","50.55188803802481","23.06573675619528","0","271"
"publicpolygonfeature:5:42951","ZIP Code 32081","country:us/state:fl/zip:32081","32081","1042","2191",,"131624","0","0","11028","323.70658","69197","826","868","46","773","746","139","26386","3.8864592788183843","55.00000000000001","27.96835158242088","0","251"
"publicpolygonfeature:5:42953","ZIP Code 32082","country:us/state:fl/zip:32082","32082","1334","2701","1925","124558","4.087652760219132","0.654485955822198","15158","11.75748","93651","902","372","372","433","654","214","26174","1.8858079904591534","53.65064140990289","23.256429251772673","0","456"
"publicpolygonfeature:5:42967","ZIP Code 32084","country:us/state:fl/zip:32084","32084","2799","2310","1567","73837","2.2226517201391576","3.9833868227298472","18316","15.36206","39690","1828","3552","1096","1674","2008","963","24705","4.229313142239048","57.313866806891646","22.816270251637366","15","1048"
"publicpolygonfeature:5:42981","ZIP Code 32086","country:us/state:fl/zip:32086","32086","1741","2809","1601","76512","6.65032178976402","1.3424562619088862","15903","27.82469","39773","1169","1278","1110","1309","1845","1456","26248","2.981730437780076","57.839165947274054","21.83710710561597","77","664"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","6816","3600","1293","61050","7.272147356670122","1.5135967162647512","29349","10.74498","37496","5607","5226","3333","4770","4251","2367","39893","7.624174071542493","68.71852483148679","26.28962000212487","405","2162"
