"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","24","83","929","58696","0","0","852","8.90378","34324","205","58","3","72","29","210","1473","2.854230377166157","59.45454545454546","48.85910224438903","0","10"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","683","716","1124","59316","1.65860400829302","1.7757660167130918","4521","1.68089","28132","987","1320","195","363","644","810","6378","4.878501205713226","65.02942236099436","25.76417848206839","26","316"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","30","386","2069","134254","0","0.9819967266775778","2041","12.68671","60882","76","53","70","40","162","79","5492","3.1918394208621255","68.89489083952284","25.495153813737886","72","46"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","119","12",,"153214","14.222222222222221","0","268","19.98971","58921","18","35","0","9","10","0","291",,"0",,"0","52"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","1037","47","958","35584","15.87651598676957","0","4377","-10.24127","34719","890","945","285","290","259","179","2404","6.309251389342922","43.944835512139065","17.57531380753138","100","1311"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","3430","715","809","30794","10.271862863265033","3.8111736682546553","10481","-8.12278","23941","4226","3142","1401","696","859","417","6270","11.829808165272995","57.49027925061859","19.06277169187967","713","3135"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","1587","756","1287","71116","6.347305389221557","3.1432192648922683","8818","3.61421","64676","926","622","365","281","869","290","10375","4.640120858961907","73.92825896762905","17.70186335403727","110","346"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","1020","1124","1185","99966","3.0335861321776814","0.9786476868327402","11129","2.135","59226","1044","600","486","786","578","264","19411","2.8207255449128894","65.02180624295585","18.611607142857142","62","531"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","1850","1209","1187","75798","7.658563333942607","1.5052240127501328","11730","6.35531","55286","804","1432","382","642","609","531","15256","4.60153643206332","73.6905306495883","19.601354620222544","32","626"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","1693","1572","1334","101898","5.493786788750818","0.6895831156618953","14575","0.6859","72150","1022","602","656","452","1217","524","24250","2.6935194909495275","67.94180358710649","19.253130961267313","70","714"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","2204","374","997","39560","7.019438444924406","7.129798903107861","6900","26.25298","25569","2486","1435","820","642","1185","243","5448","7.562585105268671","69.2368839427663","19.763851044504996","418","905"
"publicpolygonfeature:5:45512","ZIP Code 40209","country:us/state:ky/zip:40209","40209","81","127","984",,"0","0","354","3.46649","21303","120","215","0","0","13","0","291","28.31168831168831","66.0377358490566","16.485507246376812","0","31"
"publicpolygonfeature:5:45514","ZIP Code 40210","country:us/state:ky/zip:40210","40210","1257","658","848","35347","7.224669603524229","0.4834810636583401","7041","-3.00601","19591","2587","2479","1305","532","676","464","5362","13.848319549533697","55.28947874591268","27.74367816091954","827","1776"
"publicpolygonfeature:5:45516","ZIP Code 40052","country:us/state:ky/zip:40052","40052","9","82",,"45750","0","0","252","-0.70606","27319","39","24","73","0","89","0","430","7.987220447284344","57.7490774907749","24.930555555555557","0","40"
"publicpolygonfeature:5:45527","ZIP Code 40211","country:us/state:ky/zip:40211","40211","2720","793","952","31749","7.225279602343333","3.1158455392809588","11219","-5.40431","22844","3809","3857","881","1351","1566","427","8283","16.36904761904762","55.277145026575546","23.722504230118442","558","2634"
"publicpolygonfeature:5:45530","ZIP Code 40212","country:us/state:ky/zip:40212","40212","1919","767","1032","35753","3.2805429864253397","0.1589825119236884","8019","-7.51558","21878","1883","2817","813","1375","1710","603","5417","8.401779603011637","50.04671706446955","23.153829176782168","441","1479"
"publicpolygonfeature:5:45535","ZIP Code 40055","country:us/state:ky/zip:40055","40055","0","58","1348","97939","0","0","831","4.85465","38956","149","71","59","85","65","29","1484","17.98695246971109","67.23057644110276","31.119668246445496","0","6"
