"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","5290","4718","1649","52079","7.606219669208676","2.9453602209020167","30742","9.95447","37461","4612","4365","1642","2849","2793","1800","26292","7.333563000602876","61.7425753104145","30.243632336655594","685","1998"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","6644","1718","1394","46553","2.3923444976076556","1.3152312261349173","16044","-4.45005","23977","2651","5976","3155","2281","4622","1906","20527","3.814432989690722","58.77654446800893","26.959296947271046","433","2358"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","7560","4286","1665","51450","1.9847558674816996","0.11279407025459234","25874","-2.95945","25523","4079","7684","4201","5785","7061","1956","39912","3.7843079160718616","60.87191762854145","28.15581756332772","516","2970"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","2519","2050","1679","60658","0.9778012684989429","0","9457","-8.8261","25202","2285","2609","1830","1688","3019","1055","17860","5.190374657325616","60.850385527876625","29.177849700031576","161","769"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","4808","1873","1827","77338","1.527506603881934","0.8393866020984665","15221","-0.52226","34819","2430","3452","1484","2357","2703","1193","27965","3.987234218924856","69.74267457256347","27.5790878214459","348","971"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","6778","3871","1936","77339","1.5393023043993077","0.22639068564036222","23831","3.18151","32406","2946","4785","3947","2969","5502","1595","46715","5.028143532013267","70.0374663594308","34.60434976910472","432","1118"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","4866","3145","1883","58479","0.45622688039457465","1.2252346193952035","16004","1.27517","29864","2556","4572","3605","2402","4787","2319","24954","4.444725845257693","62.225198959892836","30.72984584281021","153","991"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","3255","4636","2269","89639","0","1.0956562281451552","18057","17.15535","34316","2051","3562","1859","2526","3811","1652","42324","2.9156213669460933","68.53612565445026","34.32806896801536","135","448"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","936","2373","2117","96497","13.011152416356877","0","12574","16.6946","73906","705","327","409","697","484","353","11318","7.434944237918216","55.41758937045239","30.755536257056015","48","292"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","8145","3103","1536","56473","5.246730083234245","1.41643059490085","22642","10.1975","33274","3705","5358","1611","2249","4576","1664","26559","8.252859637244772","71.21685065347037","29.130062088777684","1192","2107"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","4144","4742","1775","71318","9.672473867595818","0.7387161113983896","22003","8.2429","42513","2499","3225","2058","1932","3167","1160","33805","5.3670691968564315","65.53992968357609","28.460875807609476","272","1417"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","4515","5329","1750","74709","2.7483313702394976","0.6663323063695636","22597","4.98377","27557","3775","4573","3464","5196","5623","2949","46484","6.91966005083832","67.84799986067816","32.07992118711902","1222","1319"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","5520","5318","1848","80061","4.81283422459893","0.4526851047997023","26419","17.0744","34613","4149","5137","3747","2808","5348","3167","51954","4.989655592065231","68.07883892961756","30.483551385529882","295","1794"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","10874","4173","2109","68743","2.7006309334276786","0.1959247648902821","30614","27.78542","33752","4891","3692","2216","3100","7303","3103","51794","4.167506889829939","70.90764710553482","29.279184917158638","661","1491"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","1299","3146","1958","89306","1.6658733936220846","0","12544","7.05639","47019","1507","934","701","833","1097","1062","25002","3.0957656326932548","63.4675884569076","28.24500768049155","0","655"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","3843","7617","1832","76561","1.1390683441006462","0.5253338570306363","26492","10.54578","44251","6688","2305","1431","1266","2401","1279","49356","3.7087025409306964","60.70602469663001","30.4462100456621","430","2467"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","1320","2474","2511","119091","9.095084979329354","0.1673406777297448","9474","4.82328","48031","583","761","555","687","1110","174","24525","3.8342492577853577","70.70416297608503","28.524364323388177","52","194"
