"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","4336","2577","1283","61744","5.7182868479402496","1.4874253840884626","19727","10.05273","34628","5351","4724","2089","2847","3366","772","21720","5.392308031190801","72.17247729726297","23.84583448657625","364","1517"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","3084","632","1558","65556","5.619556055071649","1.881638846737481","11360","25.78012","48742","2221","1725","610","573","752","257","11726","5.130381114025613","69.46662408176302","18.766101001840113","469","1355"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","1748","2135","1811","78857","7.954545454545454","1.674641148325359","13561","17.94335","31469","1657","4390","1275","2534","2219","2168","24588","2.3377496159754223","72.71965650853492","31.663905866224937","60","207"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","254","1194","2341","148819","2.2457067371202113","0","8106","109.4569","58075","212","312","173","183","500","255","22730","3.6230825420014607","73.12643555365632","35.963205869275235","0","190"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","31","260","1348","97386","0","0","1141","28.34672","37817","110","68","20","91","68","321","2716","3.2663316582914574","65.85767174002468","36.043137254901964","0","27"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","0","14",,"62232","0","0","166","11.3608","16435","0","14","0","0","0","116","160","16.582914572864322","13.620807665982204","46.7578125","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","24","98","1188","76250","0","1.2195121951219512","588","2.76999","31626","34","36","77","60","101","0","1310","7.816711590296496","59.38242280285036","34.45987654320987","0","22"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","2","21","1094","64821","0","1.282051282051282","405","8.4689","45485","52","6","0","19","30","38","755","1.0893246187363834","57.375","31.771978021978022","54","18"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","115","233",,"118179","3.4090909090909087","0","1899","18.04531","45356","384","189","38","141","161","2","4500","3.413582464965864","71.23118677522822","29.44047118216239","0","24"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","161","59","749","49265","3.9603960396039604","1.8456375838926176","1003","4.90344","26310","154","225","55","289","207","134","1023","8.421052631578947","60.08855154965212","41.940749697702536","0","55"
