"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","103","294","1131","63178","0","0","1684","7.94169","41463","0","106","35","117","283","80","2161","1.0942760942760943","44.96593489780469","25.05600814663951","0","58"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","3861","719","1851","80871","12.802921323448047","1.6943521594684385","12660","49.63927","73971","1098","1674","513","563","440","151","11911","3.2941595441595446","69.44444444444444","24.563721940622738","110","1358"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","96","632","1692","66563","8.16326530612245","2.049689440993789","1927","26.17369","40449","74","108","224","276","262","57","3194","1.8967798853109836","61.0228802153432","26.76154672395274","4","29"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","44","245","1505","108500","22.15909090909091","0","1747","32.77089","54070","180","130","56","131","95","128","4156","0.561070349589987","58.85191770383541","35.11705685618729","11","0"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","2039","3606","1951","66339","3.6022625781482582","1.3720666161998485","15564","39.95566","25184","2359","4672","3179","1901","5169","2425","26760","6.353486412471035","65.13804270267303","43.62623568178252","24","368"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","1886","1166","1919","107592","3.3278478698116656","1.7223910840932117","12004","10.31311","68053","539","724","757","589","818","291","18264","2.230557974412218","76.68481610848572","23.042109220791428","103","540"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","1329","1023","1753","113231","6.622516556291391","1.993986390251622","10427","12.29165","76827","592","1063","561","344","581","267","17664","3.000666814847744","72.74834258610467","20.94267847837415","70","394"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","2716","880","1204","40515","9.31884663602173","4.899645808736717","9606","7.4064","26165","1574","2220","2004","673","2648","576","9106","4.156223893065998","58.110322228290556","28.217995244650233","708","1172"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","2031","1962","1552","89046","12.588116817724067","2.6167076167076164","12589","6.49744","58710","1036","1108","429","1592","1683","348","19550","3.67136210083498","72.13514134681682","23.830335275736847","150","561"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","4132","1711","1585","59971","7.374204742625795","0.913030021665119","13836","9.91538","29924","1966","2402","2372","2361","3347","824","20934","4.2510419220397155","71.25383328686925","29.36654908877131","576","815"
