"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","268","434","986","98184","0","0","2231","0.63416","37328","339","234","139","64","203","256","4224","14.554794520547945","64.18993185315453","21.901104176668266","41","115"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","927","1922","1638","155059","11.7168818747011","0.3142104196229475","12236","1.84332","71488","836","891","301","576","724","428","27859","5.7407407407407405","66.12509834775767","28.983315488936473","680","422"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","487","643","1696","89574","0","0","3388","0.73131","44628","550","213","175","365","537","124","5520","6.464954288202003","71.23585051946039","24.73934331797235","149","114"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","0","69",,"134583","0","0","358","-5.39543","46568","0","0","0","38","0","0","794","0","75.50761421319797","31.389365351629504","0","36"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","955","2185","1974","100951","3.9692307692307693","0.167427701674277","10330","7.15606","51949","887","1582","358","344","803","653","19041","6.691800188501413","64.74725497141122","27.0075421472937","431","673"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","562","684","1119","111738","5.961070559610706","1.4018691588785046","4280","0.66378","45399","213","759","134","323","61","224","9636","5.134170932216535","66.0147450337907","32.12922966162707","17","210"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","528","289","970","99565","0","0","2601","2.03687","47264","273","126","64","15","273","32","4634","2.5851197982345524","66.11087953313881","26.31902985074627","27","431"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","0",,,"0","0","106","-4.90368","47331","0","0","0","0","0","0","298","0","75.65543071161048",,"0","16"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","546","1291","1441","101184","7.096774193548387","0","5729","-0.43067","45542","316","771","231","671","393","159","11724","3.2886415380723504","68.14929747435566","32.63982273838631","202","299"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","633","1060","1487","88037","8.148734177215191","2.1324992891669035","5007","-0.31724","38591","789","1284","59","106","157","359","9103","3.7169290699561754","64.2322875545398","33.0566762728146","255","198"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0",,,"0","0","10","-8.91685","69363","0","11","0","0","0","0","45","26.08695652173913","82.14285714285714","21.176470588235293","0","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","3037","2820","1656","95451","2.6219394640447273","0.38794658967881634","16603","0.03074","43627","1538","2342","871","998","1567","485","33636","6.0742453648263615","71.33739227624342","27.938324590685106","656","1088"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","573","1303","1195","80889","5.227781926811053","1.0727056019070322","7705","-5.2602","37718","1078","594","722","683","1352","691","14403","6.714865801723284","64.21821305841925","32.82982045277127","0","377"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","1656","2656","1396","98463","3.54006586169045","2.6963776963776964","13984","3.09838","45392","2083","1446","597","915","1234","663","27475","6.4752223634053365","68.48058486792192","30.284183994959044","636","1107"
