"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","1486","615","1213","52094","6.855487608625683","0","6782","9.11871","22912","1391","2655","1155","1216","2125","82","9260","7.080998471726948","62.2099361470176","26.24816554153214","313","510"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","687","75","1276","38964","18.863955119214587","0","1867","40.83473","40521","87","191","216","62","135","63","784","5.092091007583965","63.510848126232744","20.592447916666668","12","581"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","5420","1600","907","32472","3.072407045009785","0.9921516363097882","18637","-6.37509","15875","8869","12220","4912","3207","4441","1264","15048","13.510327265868149","51.52220283110336","26.0060545497296","1596","3157"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","753","181","951","26595","0.8271298593879239","4.1459369817578775","2226","19.86442","19111","894","640","510","187","186","126","1255","10.143198090692124","53.5171102661597","18.945530726256983","82","381"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","1529","660","1156","41710","8.289396602226127","0.5689900426742532","7376","8.40937","19779","3762","3061","1111","1657","1178","533","7821","11.564890444703748","54.09434490481523","29.21018593371059","652","958"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","2418","2143","1228","63811","13.917748917748918","1.1257434154630417","15141","12.86647","24423","4061","3232","2674","2904","4170","1009","24021","6.453610211468851","64.77747725596262","26.108083065351284","328","1273"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","7635","764","1292","46574","11.536061891689544","6.195786864931847","19228","12.38517","27023","4634","4678","3900","1899","3458","1046","15476","4.031976017986509","70.26876673272835","21.461432753779054","698","1575"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","4880","2050","1363","73529","10.279870828848225","1.4414983164983166","21269","6.8327","50103","2128","1705","682","2305","1565","512","32392","4.321041978350788","65.6077545535127","22.471548019974453","308","891"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","2394","1643","1064","42772","4.178674351585014","0.8216926869350863","13144","-3.23133","20555","4650","5623","4155","3579","3079","1099","14991","10.73546856465006","59.55075989985542","25.390779279963542","505","1543"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","2807","986","1232","57769","13.12009477269362","1.5453005927180357","11686","9.25832","28363","1271","2259","2569","2097","2419","1371","13826","5.983855439531956","65.84952279443826","24.86566098366509","315","1352"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","1183","1949","1469","70098","7.274090738657668","0.6120125249074865","10091","12.5539","30954","1445","2211","1188","2100","2791","1032","17476","5.789800031002946","59.09771026978009","23.091879350348027","178","325"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","8553","1957","1342","63351","11.806505947994527","2.3313999772546343","28440","11.40374","39127","4576","4369","2804","4355","2595","2794","35797","3.936031539121864","68.29693758883577","23.477158398429513","534","2035"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","3050","1569","1270","50644","6.775525525525526","0.9839461418953911","11436","7.51639","19020","4124","4226","4103","3413","3218","1798","14967","11.660040409307177","61.27051599952769","30.059110970996215","124","572"
"publicpolygonfeature:5:59629","ZIP Code 78243","country:us/state:tx/zip:78243","78243","0","0",,,"0","0","0","259.8009","24322","0","0","0","0","0","0","0","0","100","10.978260869565217","0","0"
"publicpolygonfeature:5:59668","ZIP Code 78002","country:us/state:tx/zip:78002","78002","159","380","1202","66744","0","5.290396779758482","2306","10.6196","30894","353","594","320","293","552","70","4788","4.866969500324465","55.22228173540439","33.59605026929982","0","9"
"publicpolygonfeature:5:59669","ZIP Code 78003","country:us/state:tx/zip:78003","78003","227","1012","1216","69457","10.082063305978899","2.456803455723542","5291","4.72453","37860","627","1027","528","251","605","564","5926","5.8896007885657955","52.10580380071905","39.8729660291179","0","97"
"publicpolygonfeature:5:59670","ZIP Code 78004","country:us/state:tx/zip:78004","78004","0","28",,"165353","0","0","175","20.72963","53802","11","17","0","0","0","0","519","0","57.28542914171657",,"0","0"
"publicpolygonfeature:5:59672","ZIP Code 78008","country:us/state:tx/zip:78008","78008","36","6",,"55440","0","0","178","-7.26043","28910","123","12","0","0","0","0","99","0","31.97278911564626",,"0","0"
"publicpolygonfeature:5:59673","ZIP Code 78006","country:us/state:tx/zip:78006","78006","2131","2942","1650","116156","6.064356435643564","2.6262468827930174","17422","43.12772","59527","1547","721","1787","1276","2471","840","35239","4.141296994297864","58.65455161126475","28.335863252375923","0","489"
"publicpolygonfeature:5:59675","ZIP Code 78009","country:us/state:tx/zip:78009","78009","142","442","1250","103125","10.129310344827585","7.472924187725631","3396","19.80472","41228","180","205","95","271","167","758","7387","3.141831238779174","57.822423849643556","29.802890932982915","1","98"
"publicpolygonfeature:5:59677","ZIP Code 78015","country:us/state:tx/zip:78015","78015","206","1311","2060","162487","15.719063545150503","0.8734193716594969","8486","113.26436","70820","319","392","247","31","365","0","23513","3.766573769107339","63.571965224857784","31.751004520341535","0","78"
"publicpolygonfeature:5:59678","ZIP Code 78011","country:us/state:tx/zip:78011","78011","10","188",,"29664","7.142857142857142","0","719","-6.7822","22510","34","499","213","126","117","125","643","4.323570432357044","48.056300268096514","25.19113149847095","0","61"
"publicpolygonfeature:5:59679","ZIP Code 78012","country:us/state:tx/zip:78012","78012","0","20",,"43571","0","0","165","-7.12891","18277","55","0","47","37","2","39","148","26.027397260273972","54.68164794007491","41.157407407407405","12","34"
"publicpolygonfeature:5:59680","ZIP Code 78016","country:us/state:tx/zip:78016","78016","399","575","732","60736","0","0.7874015748031495","4394","6.16289","30384","689","527","810","532","551","411","7997","4.216279523716572","55.58207659759141","30.316253983819564","0","183"
"publicpolygonfeature:5:59681","ZIP Code 78013","country:us/state:tx/zip:78013","78013","99","210","969","82492","10.622710622710622","1.8272425249169437","2333","0.30548","50281","158","153","260","84","68","53","3906","6.377042646472699","61.55544651619235","36.77133655394525","0","0"
"publicpolygonfeature:5:59686","ZIP Code 78121","country:us/state:tx/zip:78121","78121","215","641","1192","120048","3.71900826446281","0.5422993492407809","5426","22.98981","46254","423","861","314","229","795","428","12978","2.7366425778936145","68.35830513935879","36.033003780168656","0","89"
"publicpolygonfeature:5:59688","ZIP Code 78023","country:us/state:tx/zip:78023","78023","614","1774","1685","134007","5.45950864422202","1.4365152919369786","9803","34.91853","53287","743","723","175","575","270","304","25515","4.01581782232222","64.86296864722648","27.62167936095114","43","131"
"publicpolygonfeature:5:59694","ZIP Code 78026","country:us/state:tx/zip:78026","78026","294","296","993","78501","0","3.288100208768267","2910","5.32777","31280","191","595","453","506","522","46","4483","5.626758361988121","60.52484645449469","21.87247335538405","0","207"
"publicpolygonfeature:5:59696","ZIP Code 78027","country:us/state:tx/zip:78027","78027","0","0",,"111119","0","0","180","19.83302","45525","11","0","0","13","37","0","257","0","60.691823899371066",,"0","0"
"publicpolygonfeature:5:59701","ZIP Code 78039","country:us/state:tx/zip:78039","78039","33","54",,"96250","8.620689655172415","1.7133956386292832","768","3.42541","45355","114","75","7","68","244","15","1339","0","65.13157894736842","29.20837589376915","0","24"
"publicpolygonfeature:5:59703","ZIP Code 78050","country:us/state:tx/zip:78050","78050","0","0",,"74205","0","0","193","-6.81862","23819","46","43","0","0","0","0","440","0","42.959427207637226",,"0","0"
"publicpolygonfeature:5:59704","ZIP Code 78052","country:us/state:tx/zip:78052","78052","102","603","1214","71429","6.312292358803987","2.3325062034739457","2560","14.3232","33137","329","534","91","195","433","101","4618","3.7947122861586315","60.8440575321726","37.071917808219176","0","34"
"publicpolygonfeature:5:59706","ZIP Code 78055","country:us/state:tx/zip:78055","78055","7","54","929","85345","0","0","1018","-10.08301","40924","247","135","18","0","84","25","1239","2.857142857142857","37.5868603916614","25.762867647058822","0","6"
"publicpolygonfeature:5:59707","ZIP Code 78123","country:us/state:tx/zip:78123","78123","79","149",,"97553","0","0","1064","-3.27329","46866","162","56","533","112","27","77","1155","5.8986175115207375","63.26530612244898","29.493957703927492","0","18"
"publicpolygonfeature:5:59708","ZIP Code 78209","country:us/state:tx/zip:78209","78209","4616","2495","1447","86514","9.109293941791964","3.2307252454016964","23033","5.7688","72305","2503","1456","1073","754","2853","897","33080","4.032471543280685","67.18308653599246","18.33602497846684","267","1222"
"publicpolygonfeature:5:59709","ZIP Code 78056","country:us/state:tx/zip:78056","78056","0","118",,"119946","0","0.7803790412486065","1048","14.57959","54067","11","0","0","57","0","394","2064","0.6364359586316627","57.18835304822566","47.81282316442606","0","10"
"publicpolygonfeature:5:59710","ZIP Code 78063","country:us/state:tx/zip:78063","78063","185","874","1044","83914","0","1.8280123583934087","5044","3.77595","43934","635","578","34","530","650","201","8125","11.44793152639087","59.77403538691111","45.59260105046814","0","59"
"publicpolygonfeature:5:59711","ZIP Code 78057","country:us/state:tx/zip:78057","78057","46","65",,"66134","0","0","449","27.49697","19753","41","32","46","94","321","0","347","14.102564102564102","41.43426294820717","11.921641791044776","0","22"
"publicpolygonfeature:5:59713","ZIP Code 78059","country:us/state:tx/zip:78059","78059","49","435","1208","74940","3.508771929824561","3.4250129735339905","2230","8.84188","25696","108","324","409","374","141","324","5365","3.312704768838733","52.06595905989386","32.15021057557323","0","42"
"publicpolygonfeature:5:59715","ZIP Code 78210","country:us/state:tx/zip:78210","78210","2607","1972","1159","55028","10.55363321799308","2.4201223657375937","14354","-7.83305","25435","3167","5591","2359","2091","2901","1559","16943","7.742743041068128","62.54602253709696","26.46038322112895","647","1227"
"publicpolygonfeature:5:59717","ZIP Code 78064","country:us/state:tx/zip:78064","78064","582","858","1111","66887","5.527354765933446","0","6074","8.78272","28772","670","1478","621","854","2084","105","10337","4.389737505561323","57.28485260385694","27.30433293372153","0","233"
"publicpolygonfeature:5:59719","ZIP Code 78065","country:us/state:tx/zip:78065","78065","361","590","980","57200","2.091020910209102","0.5764665988470667","4302","9.62675","28358","1360","793","451","639","943","258","7115","3.732767762460233","52.56410256410257","27.195005945303212","0","203"
"publicpolygonfeature:5:59720","ZIP Code 78066","country:us/state:tx/zip:78066","78066","0","67",,"87604","0","0","139","17.03696","47030","0","28","9","0","0","0","222","0","28.57142857142857",,"0","10"
