"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","4206","722","1901","87191","8.26737783895389","4.136029411764706","15594","1.06676","80903","1907","2145","1528","1207","998","220","15799","6.0777240862995985","66.65308340124966","29.471665712650257","2401","6173"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","1924","2199","1874","119567","3.8736204284786844","0.07666751852798365","12850","1.38388","49891","2212","1806","944","1763","1939","927","28583","6.339307635649398","62.81482849929183","30.931614495389013","3116","1728"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","1173","293",,"196506","4.559088182363527","0","5123","133.99068","121944","211","509","947","82","377","236","8312","4.303765795070687","84.78926798352171","29.90067624683009","1336","1133"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","1227","1386","3275","219938","1.5741270749856897","0.6022673594709494","12066","7.73066","82787","550","1176","477","410","319","80","34420","4.572068631943384","68.27033218785796","31.87971755539323","917","272"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","3062","1001","2574","135635","3.6366426269756023","0","11461","13.48242","88540","1122","395","250","315","691","155","20420","6.2653395145895825","71.96005482670844","31.77228623408126","992","618"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","3741","1122","2809","116760","7.684210526315789","0.08368200836820083","12259","15.14265","56166","1556","1624","1675","780","2433","943","24618","3.3013955425952926","69.42464175127817","23.411012649665157","1055","1049"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","529","829",,"215955","7.765263781861292","0","4852","12.51871","113105","216","203","75","259","196","0","10724","6.05434609883998","68.37987612734977","26.946354883081156","204","221"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","327","1102","2429","212776","2.2222222222222223","0.4107220060527454","5410","6.15772","109933","169","226","99","121","75","155","11936","5.079024090839343","61.73740053050398","31.0510557831705","626","201"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","2933","2447","2773","141272","10.658645688724357","0.6934958495324156","16433","7.01153","64238","1453","1070","746","374","1260","744","36554","4.994500346274494","67.46415426028676","23.73938742611499","812","739"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","467","252","2587","152697","5.318138651471985","1.9047619047619049","2968","13.34531","108952","413","125","100","37","241","110","3553","7.361963190184049","63.76528117359413","30.28228423101882","344","955"
