"feature id","feature label","shid","geoid","Renter Excessive Housing Costs (2020-2024)","Home Owner Excessive Housing Costs (2020-2024)","Median Home Rent (2020-2024)","Median Household Income (2020-2024)","Rental Vacancy Rate (2020-2024)","Homeowner Vacancy Rate (2020-2024)","Total Housing Units (2020-2024)","Percent Change in Population (Difference Decennial Census 2020 - 2010)","Per Capita Income (2020-2024)","Income 49% and Below Poverty Level (2020-2024)","Income 50% to 99% the Poverty Level (2020-2024)","Income 100% to 124% the Poverty Level (2020-2024)","Income 125% to 149% the Poverty Level (2020-2024)","Income 150% to 184% the Poverty Level (2020-2024)","Income 185% to 199% the Poverty Level (2020-2024)","Income 200% and Over the Poverty Level (2020-2024)","Unemployment Rate (2020-2024)","Labor Force Participation Rate (2020-2024)","Commute Mean Travel Time (2020-2024)","Commute Transportation by Public Transit (2020-2024)","No Vehicles Available (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","1680","1920","2204","127118","7.728669345308438","0.10989010989010989","12516","19.27786","67735","968","554","241","714","778","258","27035","3.6215235792019342","67.44082179544439","28.88561265562108","0","509"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","871","1980","1891","164355","2.5547445255474455","0.3126085446335533","11330","13.97634","96725","601","360","127","342","291","401","25563","3.0363506771204563","66.74713623023763","21.32914024326853","0","221"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","2045","1070","1866","74291","9.177764910248987","1.3063632532659082","8272","3.84118","37652","896","1381","1592","840","1635","1010","14476","4.137373737373737","69.44212692585795","26.4831307627829","26","389"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","1199","941","1809","86894","2.109704641350211","1.0300949303171076","8205","19.56856","44195","927","558","551","477","1792","538","14213","4.402991345265104","73.21733821733821","31.33704590402831","123","54"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","565","1439","1682","73947","2.3466666666666667","2.894910773298083","10124","8.10668","36592","1502","2187","467","960","759","607","17536","8.170043175024908","58.36402403566583","31.631502567537396","205","478"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","1114","1577","1485","93474","6.366459627329192","1.0346680999731255","10218","8.03679","49239","565","1335","613","553","935","471","18051","5.485840257758182","60.799464276515735","25.78489056248529","38","183"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","0",,,"0","0","165","61.15427","43865","0","0","0","0","61","0","80","0","56.73758865248227",,"0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","49","228",,,"0","0","608","-1.08187","77229","1","4","3","175","0","0","1101","0","57.662624035281155",,"0","49"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","1798","2168","1224","50288","3.153013910355487","1.274745050989802","12160","12.39991","31583","1375","2039","587","1620","1328","620","13561","4.307481930064466","56.846196557468076","29.835550181378476","76","604"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","301","1830","1707","95238","6.052141527001862","0.6587009803921569","8162","1.53808","58191","438","624","457","649","1178","69","14389","3.0770891816022456","60.592611930557375","25.017374225713855","3","380"
"publicpolygonfeature:5:40514","ZIP Code 33705","country:us/state:fl/zip:33705","33705","2562","1938","1526","73027","7.037170696499459","1.3443072702331962","15259","6.4453","45742","2003","2633","1633","1229","1501","404","17828","6.265227984684999","60.17576898932832","29.5121384057297","209","1408"
"publicpolygonfeature:5:40552","ZIP Code 33706","country:us/state:fl/zip:33706","33706","1099","1852","1733","104359","22.01429057502552","1.6177351707609346","14424","-1.90756","90548","694","447","273","482","498","237","12652","3.8680484600788203","46.6218510219325","28.607118412046542","6","463"
"publicpolygonfeature:5:40560","ZIP Code 33707","country:us/state:fl/zip:33707","33707","2374","2706","1605","69951","5.583155902531346","0.8963151488325771","16826","0.75965","54488","1551","1204","669","934","1174","548","17729","4.341289231347491","46.983041935059816","25.618266098722124","26","900"
"publicpolygonfeature:5:40573","ZIP Code 33708","country:us/state:fl/zip:33708","33708","1052","1904","1987","82500","29.97932460372157","4.75511174512601","13304","5.10321","66226","621","597","249","279","1154","321","11809","2.4570710596118945","50.94594594594595","35.269647153167604","0","375"
"publicpolygonfeature:5:40965","ZIP Code 33709","country:us/state:fl/zip:33709","33709","1305","2357","1479","53501","4.112848402447314","1.9981304043000703","13377","4.45145","33489","1664","1771","1438","1330","2290","786","15039","4.488734835355286","53.393351800554015","26.48183154799412","229","846"
"publicpolygonfeature:5:40987","ZIP Code 33710","country:us/state:fl/zip:33710","33710","1392","3288","1577","78611","10.568073627419865","1.0360178065560504","16712","0.33184","48774","1177","1937","1188","957","1524","1330","25332","3.640646750187386","64.07277960526315","26.42348882340257","150","567"
"publicpolygonfeature:5:41015","ZIP Code 33711","country:us/state:fl/zip:33711","33711","1408","1574","1897","66540","7.727652464494569","2.2325761987963504","9783","6.42369","36013","1667","1659","487","716","1297","295","11269","9.643932315997093","55.89512068067373","27.936990363232024","443","645"
"publicpolygonfeature:5:41116","ZIP Code 33756","country:us/state:fl/zip:33756","33756","3223","2600","1557","61872","6.163272661740854","2.3060796645702304","15269","5.67594","43772","2371","1891","2493","1802","1386","1023","20341","3.8474251338665963","56.141522029372496","23.081048867699643","367","1366"
"publicpolygonfeature:5:41209","ZIP Code 33772","country:us/state:fl/zip:33772","33772","1519","1587","1608","73586","5.613577023498695","2.380349455558369","12421","3.78403","47793","828","950","601","757","1114","476","18780","3.3435405114623853","58.76463190480797","26.093359700249792","77","776"
"publicpolygonfeature:5:41241","ZIP Code 33782","country:us/state:fl/zip:33782","33782","1458","1894","1879","66461","5.25314046440807","0.1825586294059823","10849","6.10387","38790","1253","1581","1096","502","1211","491","15810","4.1556379036527265","59.07460358721082","25.018876065149392","44","505"
"publicpolygonfeature:5:41244","ZIP Code 33785","country:us/state:fl/zip:33785","33785","264","735","1948","101356","58.2089552238806","4.0534096328087745","5983","-0.74218","71976","368","142","42","70","131","131","4023","3.0582320904901548","50.35864978902953","25.086149768058316","0","78"
