"feature id","feature label","shid","geoid","Total Population (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","1310"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","3723"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","31477"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","47272"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","28193"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","12164"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","22313"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","23405"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","36273"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","26776"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","17836"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","2091"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","32338"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","28792"
"publicpolygonfeature:5:46158","ZIP Code 43232","country:us/state:oh/zip:43232","43232","47364"
"publicpolygonfeature:5:46185","ZIP Code 43235","country:us/state:oh/zip:43235","43235","44589"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","7679"
"publicpolygonfeature:5:46242","ZIP Code 43320","country:us/state:oh/zip:43320","43320","1189"
"publicpolygonfeature:5:46245","ZIP Code 43321","country:us/state:oh/zip:43321","43321","378"
"publicpolygonfeature:5:46299","ZIP Code 43103","country:us/state:oh/zip:43103","43103","13130"
"publicpolygonfeature:5:46342","ZIP Code 43008","country:us/state:oh/zip:43008","43008","2434"
"publicpolygonfeature:5:46360","ZIP Code 43204","country:us/state:oh/zip:43204","43204","42962"
"publicpolygonfeature:5:46372","ZIP Code 43205","country:us/state:oh/zip:43205","43205","12618"
"publicpolygonfeature:5:46374","ZIP Code 43206","country:us/state:oh/zip:43206","43206","21996"
"publicpolygonfeature:5:46379","ZIP Code 43001","country:us/state:oh/zip:43001","43001","2892"
"publicpolygonfeature:5:46380","ZIP Code 43002","country:us/state:oh/zip:43002","43002","1205"
"publicpolygonfeature:5:46381","ZIP Code 43011","country:us/state:oh/zip:43011","43011","6594"
"publicpolygonfeature:5:46382","ZIP Code 43013","country:us/state:oh/zip:43013","43013","1754"
"publicpolygonfeature:5:46384","ZIP Code 43015","country:us/state:oh/zip:43015","43015","61401"
"publicpolygonfeature:5:46386","ZIP Code 43016","country:us/state:oh/zip:43016","43016","46362"
"publicpolygonfeature:5:46387","ZIP Code 43017","country:us/state:oh/zip:43017","43017","41613"
"publicpolygonfeature:5:46388","ZIP Code 43019","country:us/state:oh/zip:43019","43019","9445"
"publicpolygonfeature:5:46389","ZIP Code 43021","country:us/state:oh/zip:43021","43021","14403"
"publicpolygonfeature:5:46391","ZIP Code 43023","country:us/state:oh/zip:43023","43023","15688"
"publicpolygonfeature:5:46392","ZIP Code 43025","country:us/state:oh/zip:43025","43025","5357"
"publicpolygonfeature:5:46393","ZIP Code 43026","country:us/state:oh/zip:43026","43026","65238"
"publicpolygonfeature:5:46395","ZIP Code 43029","country:us/state:oh/zip:43029","43029","544"
"publicpolygonfeature:5:46396","ZIP Code 43030","country:us/state:oh/zip:43030","43030","249"
"publicpolygonfeature:5:46397","ZIP Code 43031","country:us/state:oh/zip:43031","43031","13876"
"publicpolygonfeature:5:46398","ZIP Code 43032","country:us/state:oh/zip:43032","43032","0"
"publicpolygonfeature:5:46399","ZIP Code 43033","country:us/state:oh/zip:43033","43033","387"
"publicpolygonfeature:5:46400","ZIP Code 43035","country:us/state:oh/zip:43035","43035","36012"
"publicpolygonfeature:5:46401","ZIP Code 43036","country:us/state:oh/zip:43036","43036","359"
"publicpolygonfeature:5:46403","ZIP Code 43044","country:us/state:oh/zip:43044","43044","4964"
"publicpolygonfeature:5:46404","ZIP Code 43040","country:us/state:oh/zip:43040","43040","38990"
"publicpolygonfeature:5:46405","ZIP Code 43045","country:us/state:oh/zip:43045","43045","1739"
"publicpolygonfeature:5:46406","ZIP Code 43046","country:us/state:oh/zip:43046","43046","2946"
"publicpolygonfeature:5:46407","ZIP Code 43062","country:us/state:oh/zip:43062","43062","32037"
"publicpolygonfeature:5:46409","ZIP Code 43054","country:us/state:oh/zip:43054","43054","27594"
"publicpolygonfeature:5:46410","ZIP Code 43071","country:us/state:oh/zip:43071","43071","2371"
"publicpolygonfeature:5:46411","ZIP Code 43055","country:us/state:oh/zip:43055","43055","63281"
"publicpolygonfeature:5:46413","ZIP Code 43056","country:us/state:oh/zip:43056","43056","17637"
"publicpolygonfeature:5:46415","ZIP Code 43061","country:us/state:oh/zip:43061","43061","4921"
"publicpolygonfeature:5:46416","ZIP Code 43064","country:us/state:oh/zip:43064","43064","18143"
