"feature id","feature label","shid","geoid","Total Population (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","6023"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","9151"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","29148"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","17105"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","36998"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","32699"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","34657"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","41578"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","43"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","43561"
"publicpolygonfeature:5:42946","ZIP Code 32079","country:us/state:fl/zip:32079","32079","419"
"publicpolygonfeature:5:42950","ZIP Code 32080","country:us/state:fl/zip:32080","32080","20894"
"publicpolygonfeature:5:42951","ZIP Code 32081","country:us/state:fl/zip:32081","32081","29784"
"publicpolygonfeature:5:42953","ZIP Code 32082","country:us/state:fl/zip:32082","32082","29289"
"publicpolygonfeature:5:42967","ZIP Code 32084","country:us/state:fl/zip:32084","32084","37291"
"publicpolygonfeature:5:42981","ZIP Code 32086","country:us/state:fl/zip:32086","32086","34855"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","65729"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","36762"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","1939"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","42298"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","20221"
