"feature id","feature label","shid","geoid","Total Population (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","41366"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","20889"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","38872"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","24409"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","3396"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","1494"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","1618"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","900"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","5435"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","2118"
"publicpolygonfeature:5:44529","ZIP Code 37013","country:us/state:tn/zip:37013","37013","105212"
"publicpolygonfeature:5:44530","ZIP Code 37014","country:us/state:tn/zip:37014","37014","3227"
"publicpolygonfeature:5:44532","ZIP Code 37015","country:us/state:tn/zip:37015","37015","18988"
"publicpolygonfeature:5:44533","ZIP Code 37020","country:us/state:tn/zip:37020","37020","5000"
"publicpolygonfeature:5:44535","ZIP Code 37022","country:us/state:tn/zip:37022","37022","5728"
"publicpolygonfeature:5:44537","ZIP Code 37031","country:us/state:tn/zip:37031","37031","3926"
"publicpolygonfeature:5:44538","ZIP Code 37025","country:us/state:tn/zip:37025","37025","6854"
"publicpolygonfeature:5:44539","ZIP Code 37026","country:us/state:tn/zip:37026","37026","2054"
"publicpolygonfeature:5:44542","ZIP Code 37027","country:us/state:tn/zip:37027","37027","61630"
"publicpolygonfeature:5:44544","ZIP Code 37143","country:us/state:tn/zip:37143","37143","4214"
"publicpolygonfeature:5:44545","ZIP Code 37029","country:us/state:tn/zip:37029","37029","6405"
"publicpolygonfeature:5:44546","ZIP Code 37030","country:us/state:tn/zip:37030","37030","8183"
"publicpolygonfeature:5:44547","ZIP Code 37032","country:us/state:tn/zip:37032","37032","5453"
"publicpolygonfeature:5:44548","ZIP Code 37076","country:us/state:tn/zip:37076","37076","39017"
"publicpolygonfeature:5:44549","ZIP Code 37033","country:us/state:tn/zip:37033","37033","8249"
"publicpolygonfeature:5:44550","ZIP Code 37165","country:us/state:tn/zip:37165","37165","35"
"publicpolygonfeature:5:44552","ZIP Code 37035","country:us/state:tn/zip:37035","37035","4181"
"publicpolygonfeature:5:44554","ZIP Code 37036","country:us/state:tn/zip:37036","37036","7205"
"publicpolygonfeature:5:44556","ZIP Code 37037","country:us/state:tn/zip:37037","37037","9855"
"publicpolygonfeature:5:44557","ZIP Code 37217","country:us/state:tn/zip:37217","37217","31869"
"publicpolygonfeature:5:44562","ZIP Code 37046","country:us/state:tn/zip:37046","37046","7310"
