city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),removal_reason
Louisville,40007,ZIP Code 40007,publicpolygonfeature:5:45669,country:us/state:ky/zip:40007,15,0,48,0,7,0,0,0,0,0,0,0,,64417.0,0.0,0.0,70,7.33427,70021.0,0,0,0,0,8,0,39,0.0,68.08510638297872,,0,0,47,missing_rent_data
SanFrancisco,94526,ZIP Code 94526,publicpolygonfeature:5:63621,country:us/state:ca/zip:94526,70,226,1120,1810,4714,1948,1694,189,363,51,901,2955,,225097.0,1.7694882831181251,0.2801961372961072,12185,5.47622,107752.0,709,655,151,155,283,64,30501,5.724664912939997,62.7052077605844,30.11118342553422,477,75,32584,missing_rent_data
SanFrancisco,94517,ZIP Code 94517,publicpolygonfeature:5:63615,country:us/state:ca/zip:94517,131,23,205,482,1268,580,1405,308,102,15,269,1320,,168921.0,0.0,0.0,4519,2.16067,72992.0,385,156,28,354,275,0,11070,7.217504898758981,62.991154083521906,38.07665424044735,74,155,12316,missing_rent_data
SanFrancisco,94507,ZIP Code 94507,publicpolygonfeature:5:63601,country:us/state:ca/zip:94507,161,205,720,540,1348,873,740,473,241,42,236,1421,,,0.0,0.0,5343,4.06241,141743.0,213,84,92,87,106,139,13825,3.573023671281822,56.51661758519142,29.239860950173817,145,130,14586,missing_rent_data
SanFrancisco,94506,ZIP Code 94506,publicpolygonfeature:5:63600,country:us/state:ca/zip:94506,4,31,265,30,437,2480,4052,1416,670,59,621,2545,,,1.1754068716094033,0.2096436058700209,9444,10.18656,117571.0,472,848,39,117,264,117,25075,4.222723384400031,61.06757847746592,38.33837689133425,348,101,27055,missing_rent_data
SanFrancisco,94502,ZIP Code 94502,publicpolygonfeature:5:63596,country:us/state:ca/zip:94502,49,0,253,411,945,2097,1072,151,13,0,123,1147,,180938.0,5.633802816901409,0.0,4991,4.14706,80024.0,302,36,192,44,53,27,12718,4.5236668663870585,64.536220774243,34.46454589606605,633,81,13430,missing_rent_data
SanFrancisco,94404,ZIP Code 94404,publicpolygonfeature:5:63594,country:us/state:ca/zip:94404,143,67,333,3059,6282,2582,1023,586,1115,160,2843,2019,,192332.0,5.905460259264109,0.066348195329087,15350,10.58994,99796.0,737,777,300,310,379,284,32806,4.5505733005733005,67.58518416333288,28.985708452429563,509,869,35881,missing_rent_data
SanFrancisco,94402,ZIP Code 94402,publicpolygonfeature:5:63592,country:us/state:ca/zip:94402,2123,1602,1991,1311,1310,595,629,363,702,138,1820,1766,,172522.0,4.457885304659498,1.137123745819398,10764,6.55964,109498.0,654,658,149,299,674,85,22872,4.038022253334316,65.80836000387936,26.23586161011311,346,396,25475,missing_rent_data
SanFrancisco,94158,ZIP Code 94158,publicpolygonfeature:5:63101,country:us/state:ca/zip:94158,102,40,19,38,0,52,189,1938,2533,212,1173,293,,196506.0,4.559088182363527,0.0,5123,133.99068,121944.0,211,509,947,82,377,236,8312,4.303765795070687,84.78926798352171,29.90067624683009,1336,1133,11314,missing_rent_data
SanFrancisco,94129,ZIP Code 94129,publicpolygonfeature:5:63582,country:us/state:ca/zip:94129,526,122,382,175,153,23,18,18,11,0,479,0,,220972.0,2.4799416484318018,0.0,1428,13.6521,100874.0,12,4,42,0,323,0,3449,4.1195110909913994,78.55618776671407,25.028011204481793,114,22,3836,missing_rent_data
SanFrancisco,94105,ZIP Code 94105,publicpolygonfeature:5:63573,country:us/state:ca/zip:94105,374,21,161,86,231,502,972,2968,4373,315,1934,969,,225000.0,11.99748743718593,1.2320328542094456,10003,128.6849,197122.0,802,194,47,198,226,83,12217,4.525612472160356,85.21217642146816,23.85333333333333,1109,2964,13861,missing_rent_data
SanFrancisco,94074,ZIP Code 94074,publicpolygonfeature:5:63564,country:us/state:ca/zip:94074,0,0,16,0,7,0,12,0,0,0,0,5,,,0.0,0.0,35,23.57597,138129.0,17,0,0,0,0,0,101,0.0,93.47826086956522,27.78481012658228,0,0,126,missing_rent_data
SanFrancisco,94065,ZIP Code 94065,publicpolygonfeature:5:63377,country:us/state:ca/zip:94065,20,17,41,266,899,1675,1497,268,169,0,529,829,,215955.0,7.765263781861292,0.0,4852,12.51871,113105.0,216,203,75,259,196,0,10724,6.05434609883998,68.37987612734977,26.946354883081156,204,221,11673,missing_rent_data
SanFrancisco,94038,ZIP Code 94038,publicpolygonfeature:5:63554,country:us/state:ca/zip:94038,17,42,166,271,314,166,63,0,0,0,0,246,,99680.0,92.24137931034484,0.0,1039,2.03902,56009.0,47,188,73,250,71,0,1961,0.1540832049306625,58.70646766169154,32.38813735691988,34,89,2683,missing_rent_data
SanFrancisco,94028,ZIP Code 94028,publicpolygonfeature:5:63551,country:us/state:ca/zip:94028,254,16,579,1069,319,349,66,55,66,35,303,500,,,0.0,0.0,2808,5.15629,175395.0,112,172,114,110,62,0,5915,4.290198814091385,51.760245531684426,17.667349726775956,26,70,6531,missing_rent_data
SanFrancisco,94027,ZIP Code 94027,publicpolygonfeature:5:63449,country:us/state:ca/zip:94027,460,341,535,241,60,200,111,337,329,62,53,743,,,0.0,2.001000500250125,2676,3.58843,188761.0,263,77,30,66,31,70,5899,3.222416812609457,48.234499070788985,23.12113720642769,46,38,7002,missing_rent_data
SanFrancisco,94528,ZIP Code 94528,publicpolygonfeature:5:63622,country:us/state:ca/zip:94528,0,40,106,41,45,127,23,81,0,0,0,226,,207500.0,0.0,0.0,463,6.02204,127901.0,85,0,0,86,0,0,878,7.061503416856492,52.07591933570581,41.80371352785146,40,74,1049,missing_rent_data
SanFrancisco,94021,ZIP Code 94021,publicpolygonfeature:5:63439,country:us/state:ca/zip:94021,85,0,17,0,38,0,0,0,0,0,0,17,,,0.0,0.0,140,41.93345,114055.0,0,0,0,0,0,0,321,0.0,65.54621848739495,,0,0,321,missing_rent_data
SanFrancisco,94548,ZIP Code 94548,publicpolygonfeature:5:63638,country:us/state:ca/zip:94548,62,0,56,14,0,0,0,37,15,75,0,101,,189653.0,0.0,0.0,259,3.78032,64991.0,0,75,0,0,0,0,747,14.449541284403669,70.48192771084338,53.23170731707317,37,38,832,missing_rent_data
SanFrancisco,94569,ZIP Code 94569,publicpolygonfeature:5:63656,country:us/state:ca/zip:94569,192,0,0,0,0,18,0,0,0,0,0,62,,38929.0,0.0,0.0,210,-2.28727,33418.0,0,0,0,11,73,74,138,9.01639344262295,47.286821705426355,,0,18,296,missing_rent_data
SanFrancisco,95391,ZIP Code 95391,publicpolygonfeature:5:63933,country:us/state:ca/zip:95391,14,218,195,48,78,83,113,2537,3300,826,898,1412,,176952.0,0.0,0.8577697985238381,7412,145.0716,53638.0,1156,133,27,329,1025,35,22845,3.476349426035984,67.20100667469089,49.60620231356141,87,240,25574,missing_rent_data
SanFrancisco,94971,ZIP Code 94971,publicpolygonfeature:5:63747,country:us/state:ca/zip:94971,67,0,9,12,0,23,17,38,0,0,0,21,,119028.0,0.0,0.0,166,-0.86973,134848.0,92,9,4,13,4,0,154,2.8368794326241136,51.08695652173913,14.0625,0,0,276,missing_rent_data
SanFrancisco,94970,ZIP Code 94970,publicpolygonfeature:5:63746,country:us/state:ca/zip:94970,175,56,60,21,32,163,65,91,30,0,6,46,,132857.0,85.0,0.0,693,-9.98734,64614.0,18,19,0,19,15,0,184,0.0,33.33333333333333,,0,19,255,missing_rent_data
SanFrancisco,94964,ZIP Code 94964,publicpolygonfeature:5:63741,country:us/state:ca/zip:94964,131,0,95,18,0,0,0,0,0,0,113,0,,115192.0,0.0,0.0,244,-21.37159,14731.0,0,68,0,0,0,0,304,0.0,8.012394864984508,,0,0,2344,missing_rent_data
SanFrancisco,94963,ZIP Code 94963,publicpolygonfeature:5:63740,country:us/state:ca/zip:94963,50,0,62,13,13,0,0,60,41,0,20,58,,210823.0,0.0,0.0,239,15.55778,78648.0,0,0,0,0,47,0,689,0.0,55.83596214511041,24.13793103448276,0,0,739,missing_rent_data
SanFrancisco,94957,ZIP Code 94957,publicpolygonfeature:5:63744,country:us/state:ca/zip:94957,400,61,103,75,19,5,18,36,66,8,21,240,,,0.0,0.0,791,-8.74475,175428.0,44,53,63,0,4,0,2157,0.7897334649555774,60.76784643071386,25.010121457489877,38,6,2321,missing_rent_data
SanFrancisco,94950,ZIP Code 94950,publicpolygonfeature:5:63735,country:us/state:ca/zip:94950,8,0,3,0,0,0,0,0,0,0,0,3,,,0.0,0.0,11,-4.85237,151114.0,0,2,0,0,0,0,20,0.0,90.9090909090909,,0,0,22,missing_rent_data
SanFrancisco,94940,ZIP Code 94940,publicpolygonfeature:5:63723,country:us/state:ca/zip:94940,151,0,11,0,0,0,0,0,0,0,60,16,,47021.0,0.0,0.0,162,3.49075,82401.0,0,0,0,0,0,0,148,0.0,57.57575757575758,,0,0,148,missing_rent_data
SanFrancisco,94938,ZIP Code 94938,publicpolygonfeature:5:63726,country:us/state:ca/zip:94938,81,0,19,93,58,49,0,0,0,0,26,99,,,27.835051546391753,0.0,300,9.00092,78115.0,0,27,0,0,30,0,380,8.12720848056537,72.01017811704835,31.11842105263158,0,23,437,missing_rent_data
SanFrancisco,94933,ZIP Code 94933,publicpolygonfeature:5:63722,country:us/state:ca/zip:94933,211,55,77,78,21,77,34,32,16,0,74,197,,133006.0,0.0,0.0,601,3.93891,85793.0,13,32,7,5,32,8,936,0.0,61.61825726141079,35.47146401985112,0,55,1033,missing_rent_data
SanFrancisco,94929,ZIP Code 94929,publicpolygonfeature:5:63609,country:us/state:ca/zip:94929,91,36,0,53,72,70,22,31,93,0,0,0,,209536.0,45.23809523809524,0.0,468,-2.07316,197978.0,0,0,0,0,0,0,293,0.0,38.907849829351534,,0,0,293,missing_rent_data
SanFrancisco,94925,ZIP Code 94925,publicpolygonfeature:5:63719,country:us/state:ca/zip:94925,421,140,1370,933,318,424,183,56,308,18,487,647,,232763.0,0.0,0.0,4171,11.65397,126428.0,335,132,40,17,60,92,9401,4.2284133570440625,65.18213412279573,30.929831288343557,169,74,10077,missing_rent_data
SanFrancisco,94920,ZIP Code 94920,publicpolygonfeature:5:63714,country:us/state:ca/zip:94920,405,169,1108,1424,1273,591,338,171,321,16,633,1015,,246045.0,15.805658056580564,0.4468025691147724,5816,3.84564,156030.0,192,132,4,195,60,19,11934,8.21320817968488,57.47037857624506,30.04302925989673,192,67,12609,missing_rent_data
SanFrancisco,94720,ZIP Code 94720,publicpolygonfeature:5:63703,country:us/state:ca/zip:94720,176,35,0,74,0,0,9,0,65,53,86,12,,,33.730158730158735,0.0,412,26.53138,11262.0,203,142,11,57,0,0,292,10.49355269008448,39.39605515796823,19.66504263093788,256,132,5763,missing_rent_data
SanFrancisco,94586,ZIP Code 94586,publicpolygonfeature:5:63668,country:us/state:ca/zip:94586,134,10,26,26,62,34,20,18,27,2,16,84,,204931.0,19.402985074626866,2.214022140221402,359,-1.71226,93021.0,21,21,20,0,0,3,902,5.555555555555555,64.10958904109589,34.85436893203884,3,8,971,missing_rent_data
SanFrancisco,94563,ZIP Code 94563,publicpolygonfeature:5:63651,country:us/state:ca/zip:94563,363,967,2448,1261,1031,524,260,233,280,49,238,1912,,,0.0,0.1365291262135922,7416,9.78382,140701.0,277,144,295,143,350,19,18112,3.3998683921912702,60.90034731498798,36.246461596527645,1062,305,19378,missing_rent_data
SanFrancisco,94018,ZIP Code 94018,publicpolygonfeature:5:6702208,country:us/state:ca/zip:94018,51,44,208,197,112,573,140,173,42,36,142,488,,230053.0,0.0,0.0,1576,-1.69841,94973.0,0,161,10,183,0,0,3436,6.043956043956044,71.37254901960785,28.796178343949045,77,0,3834,missing_rent_data
SanAntonio,78886,ZIP Code 78886,publicpolygonfeature:5:60084,country:us/state:tx/zip:78886,0,0,0,18,15,6,36,10,63,0,0,10,,123532.0,0.0,0.0,148,-5.97618,42812.0,34,0,15,0,0,0,237,0.0,62.25490196078432,43.031496062992126,0,0,286,missing_rent_data
SanAntonio,78885,ZIP Code 78885,publicpolygonfeature:5:60048,country:us/state:tx/zip:78885,18,5,0,3,0,10,39,13,0,0,0,6,,68125.0,0.0,0.0,88,-2.13401,35683.0,0,0,0,0,0,0,23,,0.0,,0,0,23,missing_rent_data
Louisville,40176,ZIP Code 40176,publicpolygonfeature:5:45733,country:us/state:ky/zip:40176,0,31,49,0,30,40,44,118,82,27,5,41,,62422.0,0.0,0.0,421,1.6797,26047.0,83,36,0,24,0,0,755,0.0,65.51724137931035,36.06359649122807,0,0,898,missing_rent_data
Louisville,40161,ZIP Code 40161,publicpolygonfeature:5:45719,country:us/state:ky/zip:40161,64,0,0,6,22,0,12,0,21,0,6,14,,74348.0,0.0,0.0,125,-1.11017,39947.0,0,10,22,0,14,0,136,0.0,52.083333333333336,,0,0,182,missing_rent_data
Louisville,40157,ZIP Code 40157,publicpolygonfeature:5:45726,country:us/state:ky/zip:40157,49,34,25,0,28,60,65,20,31,34,0,93,,58750.0,0.0,0.0,346,1.19669,37387.0,0,88,0,20,47,35,664,0.0,58.98123324396782,40.666666666666664,0,11,854,missing_rent_data
Louisville,40142,ZIP Code 40142,publicpolygonfeature:5:45716,country:us/state:ky/zip:40142,114,0,31,89,125,159,121,102,143,12,32,58,,81037.0,0.0,0.0,896,4.0931,30643.0,9,92,44,0,415,109,1584,0.0,59.7547974413646,25.7,0,0,2253,missing_rent_data
Louisville,40110,ZIP Code 40110,publicpolygonfeature:5:45712,country:us/state:ky/zip:40110,0,0,0,0,88,18,27,6,8,0,79,18,,46756.0,0.0,0.0,147,15.63434,24896.0,0,18,37,0,0,0,385,0.0,80.0,29.333333333333332,0,0,440,missing_rent_data
Louisville,40109,ZIP Code 40109,publicpolygonfeature:5:45711,country:us/state:ky/zip:40109,38,0,53,100,126,140,267,259,48,0,19,113,,75495.0,0.0,0.0,1031,0.79864,41469.0,35,55,41,89,154,0,2002,6.203007518796992,49.906191369606,26.248492159227983,12,28,2376,missing_rent_data
