city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),rent_data_type
Miami,33004,ZIP Code 33004,publicpolygonfeature:5:43469,country:us/state:fl/zip:33004,141,212,1119,907,2834,1654,864,717,394,405,3217,1231,1801.0,52574.0,6.542239685658154,0.3357958361316319,9247,3.57973,36206.0,1444,2634,445,1031,1006,653,9702,8.906461346373947,66.75696325623393,28.172306019839652,172,724,17094,Available
Miami,33009,ZIP Code 33009,publicpolygonfeature:5:35000,country:us/state:fl/zip:33009,198,310,2591,6394,11860,3646,1406,3154,948,235,5290,4718,1649.0,52079.0,7.606219669208676,2.9453602209020167,30742,9.95447,37461.0,4612,4365,1642,2849,2793,1800,26292,7.333563000602876,61.7425753104145,30.24363233665559,685,1998,44502,Available
Miami,33010,ZIP Code 33010,publicpolygonfeature:5:35288,country:us/state:fl/zip:33010,250,1769,3780,3969,2196,1335,899,1000,636,210,6644,1718,1394.0,46553.0,2.3923444976076556,1.3152312261349173,16044,-4.45005,23977.0,2651,5976,3155,2281,4622,1906,20527,3.814432989690722,58.77654446800893,26.95929694727105,433,2358,41701,Available
Miami,33012,ZIP Code 33012,publicpolygonfeature:5:36789,country:us/state:fl/zip:33012,280,474,6444,4727,7611,4159,965,418,588,208,7560,4286,1665.0,51450.0,1.9847558674816996,0.1127940702545923,25874,-2.95945,25523.0,4079,7684,4201,5785,7061,1956,39912,3.7843079160718616,60.87191762854145,28.15581756332772,516,2970,71017,Available
Miami,33013,ZIP Code 33013,publicpolygonfeature:5:36822,country:us/state:fl/zip:33013,155,1237,3238,2251,1105,708,273,394,65,31,2519,2050,1679.0,60658.0,0.9778012684989428,0.0,9457,-8.8261,25202.0,2285,2609,1830,1688,3019,1055,17860,5.190374657325616,60.850385527876625,29.177849700031576,161,769,30695,Available
Miami,33014,ZIP Code 33014,publicpolygonfeature:5:36951,country:us/state:fl/zip:33014,39,129,875,3723,5143,2360,1142,861,610,339,4808,1873,1827.0,77338.0,1.527506603881934,0.8393866020984665,15221,-0.52226,34819.0,2430,3452,1484,2357,2703,1193,27965,3.987234218924856,69.74267457256347,27.5790878214459,348,971,41598,Available
Miami,33015,ZIP Code 33015,publicpolygonfeature:5:36956,country:us/state:fl/zip:33015,60,76,569,1682,2794,8263,5908,3840,598,41,6778,3871,1936.0,77339.0,1.5393023043993077,0.2263906856403622,23831,3.18151,32406.0,2946,4785,3947,2969,5502,1595,46715,5.028143532013267,70.0374663594308,34.60434976910472,432,1118,68891,Available
Miami,33016,ZIP Code 33016,publicpolygonfeature:5:36968,country:us/state:fl/zip:33016,0,157,202,725,1454,6821,4779,1241,545,80,4866,3145,1883.0,58479.0,0.4562268803945746,1.2252346193952035,16004,1.27517,29864.0,2556,4572,3605,2402,4787,2319,24954,4.444725845257693,62.22519895989283,30.72984584281021,153,991,45551,Available
Miami,33018,ZIP Code 33018,publicpolygonfeature:5:36976,country:us/state:fl/zip:33018,18,86,149,336,558,2492,7406,2796,3294,922,3255,4636,2269.0,89639.0,0.0,1.0956562281451552,18057,17.15535,34316.0,2051,3562,1859,2526,3811,1652,42324,2.9156213669460933,68.53612565445026,34.32806896801536,135,448,57921,Available
Miami,33019,ZIP Code 33019,publicpolygonfeature:5:39367,country:us/state:fl/zip:33019,127,209,1400,3249,3389,1105,1222,1509,364,0,936,2373,2117.0,96497.0,13.011152416356875,0.0,12574,16.6946,73906.0,705,327,409,697,484,353,11318,7.434944237918216,55.41758937045239,30.755536257056015,48,292,14293,Available
Miami,33020,ZIP Code 33020,publicpolygonfeature:5:39380,country:us/state:fl/zip:33020,689,1972,7097,4225,3257,1809,733,2171,503,186,8145,3103,1536.0,56473.0,5.246730083234245,1.41643059490085,22642,10.1975,33274.0,3705,5358,1611,2249,4576,1664,26559,8.252859637244772,71.21685065347037,29.130062088777684,1192,2107,46322,Available
