city,geoid,feature label,Total Population (2020-2024),Total Housing Units (2020-2024)
Miami,33022,ZIP Code 33022,0,0
Miami,33039,ZIP Code 33039,0,0
Miami,33101,ZIP Code 33101,0,0
Miami,33388,ZIP Code 33388,0,0
Tampa,33530,ZIP Code 33530,20,10
Tampa,33550,ZIP Code 33550,0,0
Tampa,33574,ZIP Code 33574,1822,0
Tampa,33744,ZIP Code 33744,59,0
Austin,76573,ZIP Code 76573,0,0
Austin,78712,ZIP Code 78712,201,0
Denver,80024,ZIP Code 80024,33,33
Denver,80264,ZIP Code 80264,0,0
Denver,80266,ZIP Code 80266,0,0
Denver,80293,ZIP Code 80293,0,0
Denver,80294,ZIP Code 80294,0,0
Denver,80419,ZIP Code 80419,0,0
Denver,80448,ZIP Code 80448,0,197
Orlando,32768,ZIP Code 32768,0,0
Orlando,32816,ZIP Code 32816,12624,0
Orlando,34729,ZIP Code 34729,0,0
Columbus,43007,ZIP Code 43007,63,45
Columbus,43032,ZIP Code 43032,0,0
Columbus,43117,ZIP Code 43117,7,7
Columbus,43218,ZIP Code 43218,0,0
Columbus,43761,ZIP Code 43761,45,31
Charlotte,28039,ZIP Code 28039,39,28
Charlotte,28041,ZIP Code 28041,3,3
Charlotte,28108,ZIP Code 28108,34,39
Charlotte,28244,ZIP Code 28244,0,0
Charlotte,28274,ZIP Code 28274,747,0
Charlotte,28280,ZIP Code 28280,0,0
Charlotte,28282,ZIP Code 28282,0,0
Charlotte,29724,ZIP Code 29724,0,0
Charlotte,29733,ZIP Code 29733,1468,0
Nashville,37132,ZIP Code 37132,2704,0
Nashville,37165,ZIP Code 37165,35,31
Nashville,37213,ZIP Code 37213,25,0
Nashville,37232,ZIP Code 37232,0,0
Nashville,37238,ZIP Code 37238,0,0
Louisville,40058,ZIP Code 40058,37,25
Louisville,40221,ZIP Code 40221,0,0
Louisville,40231,ZIP Code 40231,0,0
Louisville,40280,ZIP Code 40280,182,0
Louisville,47104,ZIP Code 47104,9,41
SanAntonio,78062,ZIP Code 78062,0,0
SanAntonio,78074,ZIP Code 78074,0,0
SanAntonio,78143,ZIP Code 78143,0,14
SanAntonio,78150,ZIP Code 78150,0,0
SanAntonio,78243,ZIP Code 78243,232,0
SanFrancisco,94128,ZIP Code 94128,0,0
SanFrancisco,94188,ZIP Code 94188,0,0
SanFrancisco,94575,ZIP Code 94575,975,0
SanFrancisco,94613,ZIP Code 94613,472,0
SanFrancisco,94950,ZIP Code 94950,22,11
Indianapolis,46047,ZIP Code 46047,49,25
Indianapolis,46125,ZIP Code 46125,6,3
Indianapolis,46206,ZIP Code 46206,0,0
Jacksonville,32072,ZIP Code 32072,43,47
Jacksonville,32203,ZIP Code 32203,0,0
Jacksonville,32214,ZIP Code 32214,0,0
Jacksonville,32228,ZIP Code 32228,222,0
Philadelphia,8011,ZIP Code 08011,56,10
Philadelphia,8039,ZIP Code 08039,38,13
Philadelphia,8064,ZIP Code 08064,17,9
Philadelphia,8073,ZIP Code 08073,20,16
Philadelphia,8095,ZIP Code 08095,0,0
Philadelphia,18081,ZIP Code 18081,85,33
Philadelphia,19109,ZIP Code 19109,0,0
Philadelphia,19112,ZIP Code 19112,0,0
Philadelphia,19113,ZIP Code 19113,0,0
Philadelphia,19345,ZIP Code 19345,768,0
Philadelphia,19367,ZIP Code 19367,21,3
Philadelphia,19435,ZIP Code 19435,75,44
Philadelphia,19442,ZIP Code 19442,0,0
Philadelphia,19472,ZIP Code 19472,54,34
Philadelphia,19710,ZIP Code 19710,0,0
Philadelphia,19716,ZIP Code 19716,0,0
Philadelphia,19717,ZIP Code 19717,6036,0
Philadelphia,19735,ZIP Code 19735,0,0
Philadelphia,21930,ZIP Code 21930,25,45
