city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024)
Miami,33022,ZIP Code 33022,publicpolygonfeature:5:6703671,country:us/state:fl/zip:33022,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,0.89969,,0,0,0,0,0,0,0,,,,0,0,0
Miami,33039,ZIP Code 33039,publicpolygonfeature:5:43493,country:us/state:fl/zip:33039,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Miami,33101,ZIP Code 33101,publicpolygonfeature:5:41718,country:us/state:fl/zip:33101,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-0.9985,,0,0,0,0,0,0,0,,,,0,0,0
Miami,33388,ZIP Code 33388,publicpolygonfeature:5:6673889,country:us/state:fl/zip:33388,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Tampa,33530,ZIP Code 33530,publicpolygonfeature:5:6680134,country:us/state:fl/zip:33530,10,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,10,37.10436,,0,0,0,0,0,0,20,,0.0,,0,0,20
Tampa,33550,ZIP Code 33550,publicpolygonfeature:5:6701323,country:us/state:fl/zip:33550,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,7.25093,,0,0,0,0,0,0,0,,,,0,0,0
Tampa,33574,ZIP Code 33574,publicpolygonfeature:5:6697676,country:us/state:fl/zip:33574,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,59.82009,4586.0,33,0,0,0,0,0,0,18.181818181818183,31.394072447859493,12.130584192439862,0,0,1822
Tampa,33744,ZIP Code 33744,publicpolygonfeature:5:43591,country:us/state:fl/zip:33744,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,62.08458,21346.0,0,0,0,0,0,0,0,,0.0,,0,0,59
Austin,76573,ZIP Code 76573,publicpolygonfeature:5:59214,country:us/state:tx/zip:76573,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,29.87791,,0,0,0,0,0,0,0,,,,0,0,0
Austin,78712,ZIP Code 78712,publicpolygonfeature:5:59953,country:us/state:tx/zip:78712,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-0.17119,6727.0,0,0,0,0,0,0,0,52.63157894736842,9.45273631840796,,0,0,201
Denver,80264,ZIP Code 80264,publicpolygonfeature:5:59781,country:us/state:co/zip:80264,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Denver,80266,ZIP Code 80266,publicpolygonfeature:5:6672031,country:us/state:co/zip:80266,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Denver,80293,ZIP Code 80293,publicpolygonfeature:5:59783,country:us/state:co/zip:80293,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Denver,80294,ZIP Code 80294,publicpolygonfeature:5:59792,country:us/state:co/zip:80294,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Denver,80419,ZIP Code 80419,publicpolygonfeature:5:60470,country:us/state:co/zip:80419,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Orlando,32768,ZIP Code 32768,publicpolygonfeature:5:6696728,country:us/state:fl/zip:32768,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,22.05641,,0,0,0,0,0,0,0,,,,0,0,0
Orlando,32816,ZIP Code 32816,publicpolygonfeature:5:6695185,country:us/state:fl/zip:32816,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,37.68576,1606.0,0,0,0,0,0,0,0,17.333333333333336,12.476235741444867,15.15164644714038,0,0,12624
Orlando,34729,ZIP Code 34729,publicpolygonfeature:5:6702949,country:us/state:fl/zip:34729,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,16.52617,,0,0,0,0,0,0,0,,,,0,0,0
Columbus,43032,ZIP Code 43032,publicpolygonfeature:5:46398,country:us/state:oh/zip:43032,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,2.45659,,0,0,0,0,0,0,0,,,,0,0,0
Columbus,43117,ZIP Code 43117,publicpolygonfeature:5:46445,country:us/state:oh/zip:43117,7,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,7,40.47999,,0,0,0,0,0,0,7,,0.0,,0,0,7
Columbus,43218,ZIP Code 43218,publicpolygonfeature:5:6703135,country:us/state:oh/zip:43218,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,28041,ZIP Code 28041,publicpolygonfeature:5:6676902,country:us/state:nc/zip:28041,0,0,3,0,0,0,0,0,0,0,0,3,,,0.0,0.0,3,-3.87019,,0,3,0,0,0,0,0,,0.0,,0,0,3
Charlotte,28244,ZIP Code 28244,publicpolygonfeature:5:41500,country:us/state:nc/zip:28244,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,28274,ZIP Code 28274,publicpolygonfeature:5:6671518,country:us/state:nc/zip:28274,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,15.42924,6666.0,0,0,0,0,0,0,0,13.432835820895525,44.84605087014726,14.23404255319149,7,0,747
Charlotte,28280,ZIP Code 28280,publicpolygonfeature:5:41204,country:us/state:nc/zip:28280,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,646.0662,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,28282,ZIP Code 28282,publicpolygonfeature:5:41208,country:us/state:nc/zip:28282,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,29724,ZIP Code 29724,publicpolygonfeature:5:42314,country:us/state:sc/zip:29724,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-1.8518,,0,0,0,0,0,0,0,,,,0,0,0
Charlotte,29733,ZIP Code 29733,publicpolygonfeature:5:42321,country:us/state:sc/zip:29733,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-2.44041,14574.0,0,0,0,0,0,0,0,12.038303693570452,49.79564032697547,15.501022494887524,0,0,1468
Nashville,37132,ZIP Code 37132,publicpolygonfeature:5:44603,country:us/state:tn/zip:37132,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-2.22522,5732.0,0,0,0,0,0,0,0,12.47429746401645,53.95710059171598,16.052934407364788,20,0,2704
Nashville,37213,ZIP Code 37213,publicpolygonfeature:5:44650,country:us/state:tn/zip:37213,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,56.41278,16456.0,0,0,0,0,0,0,0,,0.0,,0,0,25
Nashville,37232,ZIP Code 37232,publicpolygonfeature:5:6677960,country:us/state:tn/zip:37232,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,,,0,0,0,0,0,0,0,,,,0,0,0
Nashville,37238,ZIP Code 37238,publicpolygonfeature:5:6676390,country:us/state:tn/zip:37238,0,0,0,0,0,0,0,0,0,0,0,0,,,0.0,0.0,0,-13.88301,,0,0,0,0,0,0,0,,,,0,0,0
