geoid,city,jobs_per_capita
33122,Miami,17.928275044457617
78701,Austin,10.53492895805142
80045,Denver,18.4826968973747
80202,Denver,6.139168325353704
32801,Orlando,5.264636864953655
43215,Columbus,6.4484749943933615
28202,Charlotte,6.6415906644762925
37201,Nashville,9.596455351056578
37203,Nashville,5.006622516556291
37219,Nashville,6.755212677231026
37228,Nashville,6.866537717601547
40202,Louisville,9.28921636138273
40209,Louisville,11.366197183098592
78205,SanAntonio,37.79778933680104
94104,SanFrancisco,117.39558232931726
94111,SanFrancisco,14.28543350076436
19102,Philadelphia,6.75770782889427
