city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),data_source,Transit_Accessibility_Index,Expected_Rent_From_Income,Income_Rent_Mismatch_Ratio,Walkability_Premium_Index,Luxury_Vacancy_Flag,Vacancy_Quality_Score,Housing_Age_Diversity_Index,Economic_Stress_Index,Transit_Accessibility_Index_Std,Income_Rent_Mismatch_Ratio_Std,Walkability_Premium_Index_Std,Vacancy_Quality_Score_Std,Economic_Stress_Index_Std,Comprehensive_Mismatch_Score,Basic_Rent_Waste,Rent_Per_Commute_Minute,Commute_Rent_Mismatch,Comprehensive_Rent_Waste_Score,Total_Monthly_Location_Cost,Time_Value_Rent_Waste,Population_Growth_Score,New_Development_Score,Economic_Vitality_Score,Ultra_Recent_Boost,City_Boom_Score,Boom_Category,total_jobs,pct_less_than_hs,pct_hs_only,pct_some_college,pct_bachelors_plus,pct_tech_jobs,pct_service_jobs,pct_manufacturing_jobs,pct_service_occup,pct_sales_office,pct_blue_collar,pct_work_from_home,jobs_per_capita,education_income_ratio,high_tech_area,high_remote_work,jobs_per_capita_log,commercial_district,education_occupation_mismatch,remote_work_premium,service_economy_index
Miami,33004,ZIP Code 33004,publicpolygonfeature:5:43469,country:us/state:fl/zip:33004,141,212,1119,907,2834,1654,864,717,394,405,3217,1231,1801.0,52574.0,6.542239685658154,0.3357958361316319,9247,3.57973,36206.0,1444,2634,445,1031,1006,653,9702,8.906461346373947,66.75696325623393,28.172306019839652,172,724,17094,original_complete_data,9.953686198954935,1240.3937999999998,1.4519582410037846,20.013029598723584,0,47.467179221458814,1.9951680364441864,25.834918368699512,-0.3678225553260513,1.7978229343415466,0.227838844554809,0.9175136823531306,2.2152906661122085,1.162883554438353,21.247880032912636,1.452909753038781,-131.42038240077227,63.67780294450736,2317.492277030394,1345.1103325859494,0.0242282279321684,11.057090435193825,65.94404720659793,5.096935206227847,20.321312332606674,STABLE/DECLINE,14817.0,10.846819721490403,29.25103500188182,25.735792246894995,34.16635302973278,0,0,0,23.92988177741541,29.623590161706755,13.833401277347464,14.767199444058374,0.8667953667953668,0.6498716671688055,0,1,0.6242232531938113,0,4.726368716438099,5.045413494661721,11.964940888707703
Miami,33009,ZIP Code 33009,publicpolygonfeature:5:35000,country:us/state:fl/zip:33009,198,310,2591,6394,11860,3646,1406,3154,948,235,5290,4718,1649.0,52079.0,7.606219669208676,2.9453602209020167,30742,9.95447,37461.0,4612,4365,1642,2849,2793,1800,26292,7.333563000602876,61.7425753104145,30.24363233665559,685,1998,44502,original_complete_data,6.664105501559074,1236.0873,1.334048169575078,17.944572563431894,0,42.954674876777794,1.75346658343809,20.01745944774369,-0.6103689756990783,1.3323112021825718,-0.1324638009035137,0.7186849627238646,1.148221295792178,0.8178677725726597,20.37151587137079,1.2391789554275825,-170.15158918106567,63.346545866364664,2203.4665928386858,1231.0846483942414,0.0673735639570395,4.9243347311523245,59.75179303785513,0.8895916364243225,16.527788589836877,STABLE/DECLINE,14094.0,10.603918400323169,27.85295899818219,24.179819372709694,37.36330322878495,0,0,0,28.38316722037652,19.817275747508305,22.785160575858253,13.5678391959799,0.3167048671969799,0.7174351125940389,0,0,0.2751323028850475,0,8.513288637123482,5.069392900387908,14.19158361018826
Miami,33010,ZIP Code 33010,publicpolygonfeature:5:35288,country:us/state:fl/zip:33010,250,1769,3780,3969,2196,1335,899,1000,636,210,6644,1718,1394.0,46553.0,2.3923444976076556,1.3152312261349173,16044,-4.45005,23977.0,2651,5976,3155,2281,4622,1906,20527,3.814432989690722,58.77654446800893,26.95929694727105,433,2358,41701,original_complete_data,22.101949579186243,1188.0111,1.1733897099109596,25.486279359525277,0,11.480378715103074,1.9923589037264609,21.63046988836329,0.5278897155285264,0.6980278289470916,1.1812192312027197,-0.6681267783960151,1.444088281460346,0.5751570630100895,13.954968131533503,1.1751722696546494,-604.7527959364663,39.38844847112117,1888.253777366636,915.8718329221914,0.0,6.747651585259183,55.646608067475015,1.5232163354659978,16.088269125993108,STABLE/DECLINE,15721.0,25.874730021598275,39.25640234495526,14.270286948472693,20.598580684973776,0,0,0,25.568917668825165,20.474868948504472,35.097132284921365,19.239964139854568,0.3769933574734418,0.4424759024117409,0,1,0.3199023958230758,0,7.229511111821507,3.963159537107963,12.784458834412582
Miami,33012,ZIP Code 33012,publicpolygonfeature:5:36789,country:us/state:fl/zip:33012,280,474,6444,4727,7611,4159,965,418,588,208,7560,4286,1665.0,51450.0,1.9847558674816996,0.1127940702545923,25874,-2.95945,25523.0,4079,7684,4201,5785,7061,1956,39912,3.7843079160718616,60.87191762854145,28.15581756332772,516,2970,71017,original_complete_data,16.98229421782372,1230.615,1.3529820455625845,22.576479089687258,0,15.214014818729003,1.746885992075779,18.605894885760453,0.1504087549838988,1.407062589410394,0.6743637746521632,-0.5036163360026302,0.8893045885515459,0.5860275150999282,19.03931803531233,1.3439818966647934,-268.32204022069186,57.058323895809735,2181.189988661008,1208.8080442165638,0.0,3.936809807109552,61.41883067763764,0.9355235151177732,16.629302963054055,STABLE/DECLINE,17948.0,25.27855916413985,36.47024440141745,18.346545866364668,19.904650568078033,0,0,0,19.217939826282244,25.334390171405925,32.89078239043561,13.2033825426401,0.2527282200036611,0.3868736747925759,0,0,0.2253237489581385,0,6.546795303923151,2.6280871582791288,9.608969913141122
Miami,33013,ZIP Code 33013,publicpolygonfeature:5:36822,country:us/state:fl/zip:33013,155,1237,3238,2251,1105,708,273,394,65,31,2519,2050,1679.0,60658.0,0.9778012684989428,0.0,9457,-8.8261,25202.0,2285,2609,1830,1688,3019,1055,17860,5.190374657325616,60.850385527876625,29.177849700031576,161,769,30695,original_complete_data,29.584872245966228,1310.7246,1.2809708462021694,19.672331395952625,0,12.166389419371058,1.77471071570353,19.94295938446102,1.0796184231393318,1.1227606825170466,0.1684929351804033,-0.6378999642894868,1.1345560964850585,0.6206292512749023,20.06378902644371,1.3078102499461983,-198.4330449347351,61.66194790486976,2213.927244500579,1241.5453000561347,0.0,1.2990108663119242,50.238715930450894,0.381472514425047,12.987529493948806,STABLE/DECLINE,8323.0,27.361884368308353,35.85438972162741,18.54389721627409,18.23982869379015,0,0,0,25.007893905904645,19.845279444269025,35.6409851594569,15.569181551586246,0.27115165336374,0.3006994739983209,0,1,0.2399233032356101,0,6.500854637864109,2.839792044034511,12.503946952952322
Miami,33014,ZIP Code 33014,publicpolygonfeature:5:36951,country:us/state:fl/zip:33014,39,129,875,3723,5143,2360,1142,861,610,339,4808,1873,1827.0,77338.0,1.527506603881934,0.8393866020984665,15221,-0.52226,34819.0,2430,3452,1484,2357,2703,1193,27965,3.987234218924856,69.74267457256347,27.5790878214459,348,971,41598,original_complete_data,4.446056477594358,1455.8406,1.2549450812128746,19.32357352480996,0,16.37229715950847,1.790424893588879,17.37829922549639,-0.7739095300926552,1.0200103508945744,0.1077431195191879,-0.4525804195369033,0.6641324393358624,0.4860502612077802,21.146695890251664,1.5055874052672111,-137.86003659843573,61.99886749716874,2332.6166100598416,1360.2346656153973,0.0,7.978439689144904,40.55239220282348,2.5918595231611037,12.79081590976545,STABLE/DECLINE,26809.0,15.497123541456755,28.24779796535249,26.26515422368122,29.989924269509537,0,0,0,19.55846676370694,20.242600679281903,29.27704997573993,10.07461058510406,0.6444780999086495,0.3877773445073513,0,0,0.4974230693850862,0,8.780165116070867,3.021368084920699,9.77923338185347
Miami,33015,ZIP Code 33015,publicpolygonfeature:5:36956,country:us/state:fl/zip:33015,60,76,569,1682,2794,8263,5908,3840,598,41,6778,3871,1936.0,77339.0,1.5393023043993077,0.2263906856403622,23831,3.18151,32406.0,2946,4785,3947,2969,5502,1595,46715,5.028143532013267,70.0374663594308,34.60434976910472,432,1118,68891,original_complete_data,2.025829973866512,1455.8493,1.3298079684483828,14.284854524223444,0,17.986129726083092,1.6715881458251944,17.163907552444037,-0.9523569764300616,1.3155707885158414,-0.7699467501069536,-0.3814721748908306,0.6248075741886847,0.4870773204748583,29.535104554322693,1.2715164507811054,355.3106932394703,84.35730464326161,2570.413079100253,1598.0311346558087,0.0215330065252053,3.431259241452346,43.917298712817434,0.2002149657678524,12.036260499500669,STABLE/DECLINE,9597.0,10.920700308959836,28.961894953656024,28.2389289392379,31.878475798146237,0,0,0,18.602711157455683,25.8960226426337,22.112319380306865,10.09776349270122,0.1393070212364459,0.4121914661185978,0,0,0.1304202014664348,0,7.0490703820599245,3.219013091174805,9.301355578727842
Miami,33016,ZIP Code 33016,publicpolygonfeature:5:36968,country:us/state:fl/zip:33016,0,157,202,725,1454,6821,4779,1241,545,80,4866,3145,1883.0,58479.0,0.4562268803945746,1.2252346193952035,16004,1.27517,29864.0,2556,4572,3605,2402,4787,2319,24954,4.444725845257693,62.22519895989283,30.72984584281021,153,991,45551,original_complete_data,1.48026842052412,1291.7673,1.4576928832305942,17.462687945565474,0,14.32281012044546,1.5228857236865472,19.59912960781043,-0.9925821643882404,1.820463436581665,-0.2164028432237521,-0.5428843511783208,1.071489003403198,0.7643415176434003,24.911640462438005,1.3926348594250204,90.43660054169844,74.96885617214043,2446.3805071181873,1473.998562673743,0.008630569739132,4.997426490834919,61.03215417377257,0.5817232093456748,16.81845951103688,STABLE/DECLINE,22973.0,17.05400586297561,30.1097041312823,24.470367795944274,28.365922209797816,0,0,0,18.33206974981046,22.860753095779632,29.24943138741471,10.076356694845924,0.5043357994336019,0.4850616838488656,0,0,0.4083514715064113,0,8.296870954162243,2.8582515016417487,9.16603487490523
Miami,33018,ZIP Code 33018,publicpolygonfeature:5:36976,country:us/state:fl/zip:33018,18,86,149,336,558,2492,7406,2796,3294,922,3255,4636,2269.0,89639.0,0.0,1.0956562281451552,18057,17.15535,34316.0,2051,3562,1859,2526,3811,1652,42324,2.9156213669460933,68.53612565445026,34.32806896801536,135,448,57921,original_complete_data,0.9339016423992486,1562.8593,1.4518261496732303,12.889307916196438,0,8.384432767423935,1.6434843166122797,14.776618842131962,-1.0328667229491042,1.797301434665188,-1.0130357416371123,-0.8045394933320205,0.1869183350041164,0.4609382653280238,35.99077057823735,1.5022162145569466,673.202502571922,90.158550396376,2898.3479310802813,1925.965986635837,0.1161103575007406,29.87789138537757,44.5859329909659,5.942104294361923,20.744699717916195,STABLE/DECLINE,11155.0,14.628210688641513,28.095031564743863,28.109488699339792,29.16726904727483,0,0,0,16.92324410475604,23.667910312601876,25.178396783424496,11.410968135288645,0.1925899069422144,0.3253859262963088,0,0,0.1761273346006342,0,7.343850731611814,3.328267776918439,8.46162205237802
Miami,33019,ZIP Code 33019,publicpolygonfeature:5:39367,country:us/state:fl/zip:33019,127,209,1400,3249,3389,1105,1222,1509,364,0,936,2373,2117.0,96497.0,13.011152416356875,0.0,12574,16.6946,73906.0,705,327,409,697,484,353,11318,7.434944237918216,55.41758937045239,30.755536257056015,48,292,14293,original_complete_data,8.41809163091099,1622.5239,1.304757359814546,14.73961815359202,1,78.90389629711333,1.8592119655455217,13.63670530262559,-0.4810445735359008,1.2166703970948685,-0.6907318880507931,2.302669624167899,-0.022170691553288,0.8148085717286084,29.108837316158613,1.5643894472039326,325.8414599283208,80.82106455266138,2680.851498046027,1708.4695536015824,0.1129919223059783,3.7044425812747854,36.52840332064534,0.0,10.282980777350865,STABLE/DECLINE,4746.0,4.789337919174549,13.258813413585557,19.98280309544282,61.969045571797075,0,0,0,14.763352149370387,23.57794181502388,15.458098132870168,28.07620237351655,0.3320506541663751,0.642186239694468,0,1,0.2867196000485613,0,9.579235876491428,17.398554643674444,7.381676074685194
