geoid,city,base_name,population,rent
32212,Jacksonville,Naval Air Station Jacksonville,1939,2205.0
32226,Jacksonville,Naval Station Mayport,21256,2184.0
78226,SanAntonio,Lackland Air Force Base,6554,1091.0
78234,SanAntonio,Randolph Air Force Base,7149,2223.0
78235,SanAntonio,Fort Sam Houston,2304,1519.0
78236,SanAntonio,Lackland AFB (adjacent),7635,2188.0
78613,Austin,Camp Mabry (Texas Military Forces),89956,1815.0
40121,Louisville,Fort Knox (adjacent),8836,1502.0
46216,Indianapolis,"Fort Benjamin Harrison (former, now mixed use)",2767,1301.0
43217,Columbus,Defense Supply Center Columbus,2091,1287.0
19114,Philadelphia,Naval Support Activity Philadelphia,30411,1407.0
33621,Tampa,MacDill Air Force Base,2393,2703.0
32827,Orlando,Naval Support Activity Orlando (former),19711,2253.0
37076,Nashville,Fort Campbell (nearby),39017,1576.0
33142,Miami,Miami Air Reserve Station,58908,1366.0
94130,SanFrancisco,Treasure Island Naval Station (former),2429,2415.0
