city,geoid,Median Home Rent (2020-2024),predicted_rent,residual,residual_pct,affordability_category
SanFrancisco,94060,850.0,1988.5090942382812,-1138.5090942382812,-57.254407210765045,Highly Affordable
SanFrancisco,94104,773.0,1792.197509765625,-1019.197509765625,-56.86859312168728,Highly Affordable
Denver,80105,1031.0,1723.8458557128906,-692.8458557128906,-40.19186828200289,Highly Affordable
SanFrancisco,94924,1924.0,2586.558769226074,-662.5587692260742,-25.615453903810536,Highly Affordable
SanFrancisco,94707,2429.0,3061.3497314453125,-632.3497314453125,-20.655912813553975,Highly Affordable
SanFrancisco,94710,2477.0,3041.6505737304688,-564.6505737304688,-18.563952697496948,Highly Affordable
Miami,33434,1598.0,2133.7966918945312,-535.7966918945312,-25.110016054004387,Highly Affordable
Miami,33476,1126.0,1631.687530517578,-505.6875305175781,-30.991689343680406,Highly Affordable
Philadelphia,18915,1473.0,1938.665008544922,-465.6650085449219,-24.019879994348784,Highly Affordable
Denver,80104,1880.0,2319.8942260742188,-439.8942260742187,-18.961822531823717,Highly Affordable
Charlotte,28101,1083.0,1514.4634704589844,-431.4634704589844,-28.489526414804967,Highly Affordable
Orlando,32814,2361.0,2789.8948974609375,-428.8948974609375,-15.37315609456369,Highly Affordable
Louisville,40023,1181.0,1608.8020629882812,-427.8020629882813,-26.591342268274893,Highly Affordable
Denver,80030,1341.0,1766.9403381347656,-425.9403381347656,-24.10609622418835,Highly Affordable
Denver,80642,1218.0,1635.4444580078125,-417.4444580078125,-25.52483246764094,Highly Affordable
Denver,80116,1435.0,1848.116542816162,-413.1165428161621,-22.353381577692858,Highly Affordable
Miami,33493,1085.0,1497.666534423828,-412.6665344238281,-27.553966449720157,Highly Affordable
Denver,80238,2176.0,2587.1985473632812,-411.1985473632813,-15.893582956064597,Highly Affordable
SanFrancisco,94605,1902.0,2310.403564453125,-408.403564453125,-17.676719805000584,Highly Affordable
Denver,80117,1217.0,1624.928970336914,-407.92897033691406,-25.104418579744674,Highly Affordable
SanFrancisco,94946,2300.0,2705.400100708008,-405.4001007080078,-14.984848289238768,Highly Affordable
Denver,80246,1739.0,2139.318603515625,-400.318603515625,-18.71243501822337,Highly Affordable
Denver,80124,2180.0,2567.135498046875,-387.135498046875,-15.080446604451343,Highly Affordable
Orlando,32798,1131.0,1510.4329376220703,-379.4329376220703,-25.120806635707073,Highly Affordable
Orlando,32784,1020.0,1396.3566284179688,-376.3566284179687,-26.952758396998462,Highly Affordable
Denver,80102,1421.0,1793.7187576293943,-372.7187576293946,-20.779107986916816,Highly Affordable
SanFrancisco,94602,1996.0,2354.2905349731445,-358.29053497314453,-15.21862020216768,Highly Affordable
Philadelphia,18076,983.0,1333.000457763672,-350.0004577636719,-26.25658946515707,Highly Affordable
Denver,80007,2714.0,3063.3282470703125,-349.3282470703125,-11.403552570783134,Highly Affordable
Nashville,37228,1518.0,1866.8055419921875,-348.8055419921875,-18.684621089133625,Highly Affordable
Denver,80701,1088.0,1430.7427978515625,-342.7427978515625,-23.955584355639132,Highly Affordable
SanFrancisco,95219,1985.0,2324.8235626220703,-339.8235626220703,-14.617176463868839,Highly Affordable
Nashville,38474,774.0,1099.7350463867188,-325.73504638671875,-29.619411280649043,Highly Affordable
Miami,33010,1394.0,1716.9075012207031,-322.9075012207031,-18.807507159885976,Highly Affordable
SanFrancisco,94945,2326.0,2646.0586853027344,-320.0586853027344,-12.095675998437526,Highly Affordable
Denver,80045,2042.0,2360.4808959960938,-318.48089599609375,-13.492203920663325,Highly Affordable
SanFrancisco,94525,2287.0,2603.965202331543,-316.96520233154297,-12.17240545487083,Highly Affordable
Denver,80224,1670.0,1982.49503326416,-312.49503326416016,-15.762714560229691,Highly Affordable
SanFrancisco,94109,2177.0,2489.2891569137573,-312.2891569137573,-12.54531463516019,Highly Affordable
Orlando,34753,1529.0,1821.486671447754,-292.4866714477539,-16.057579560287405,Highly Affordable
Miami,33430,890.0,1171.2196655273438,-281.21966552734375,-24.010838769576505,Highly Affordable
Indianapolis,46186,485.0,764.8202514648438,-279.82025146484375,-36.58640718899768,Highly Affordable
Denver,80452,1524.0,1802.9792098999023,-278.97920989990234,-15.473234986186595,Highly Affordable
Nashville,37181,554.0,830.1154174804688,-276.11541748046875,-33.26229240730435,Highly Affordable
Jacksonville,32207,1266.0,1541.3147354125977,-275.31473541259766,-17.86233071591949,Highly Affordable
Denver,80237,1929.0,2203.5054931640625,-274.5054931640625,-12.457672286983682,Highly Affordable
SanFrancisco,94952,2278.0,2549.23836517334,-271.23836517333984,-10.639976585904572,Highly Affordable
Nashville,38563,855.0,1123.625946044922,-268.6259460449219,-23.907061508366265,Highly Affordable
SanFrancisco,94609,2222.0,2488.380902290344,-266.38090229034424,-10.704989016961317,Highly Affordable
Denver,80209,2031.0,2296.2503967285156,-265.2503967285156,-11.55145785086939,Highly Affordable
Orlando,32159,1401.0,1663.2182502746582,-262.2182502746582,-15.765715066640013,Highly Affordable
Tampa,34689,1289.0,1546.2610168457031,-257.2610168457031,-16.637619007591812,Highly Affordable
SanFrancisco,94134,1874.0,2129.7876586914062,-255.78765869140625,-12.010007553925279,Highly Affordable
Philadelphia,19475,1010.0,1257.0230255126953,-247.0230255126953,-19.651432034185955,Highly Affordable
Orlando,32771,1707.0,1951.0811309814453,-244.0811309814453,-12.51004517985708,Highly Affordable
Nashville,37085,978.0,1218.3637466430664,-240.3637466430664,-19.728406012189375,Highly Affordable
Jacksonville,32217,1261.0,1500.2365231513977,-239.2365231513977,-15.946587052077449,Highly Affordable
Miami,33130,1792.0,2029.1199340820312,-237.11993408203125,-11.685851097278963,Highly Affordable
Denver,80222,1782.0,2013.278778076172,-231.27877807617188,-11.487667808090386,Highly Affordable
Denver,80120,1672.0,1903.0861721038816,-231.08617210388184,-12.142706698794079,Highly Affordable
Denver,80401,1939.0,2168.8783264160156,-229.8783264160156,-10.598949863447633,Highly Affordable
Indianapolis,46111,587.0,811.889404296875,-224.889404296875,-27.699512163437728,Highly Affordable
SanFrancisco,94612,1960.0,2184.8421020507812,-224.84210205078125,-10.291000060816081,Highly Affordable
Miami,33128,1452.0,1676.3928680419922,-224.3928680419922,-13.38545828485184,Highly Affordable
Philadelphia,19504,1219.0,1441.5945873260498,-222.5945873260498,-15.440858982339181,Highly Affordable
Denver,80828,893.0,1113.4949951171875,-220.4949951171875,-19.802064318572167,Highly Affordable
Denver,80111,2093.0,2311.340789794922,-218.34078979492188,-9.446499224992893,Highly Affordable
Miami,33401,1776.0,1994.104637145996,-218.1046371459961,-10.937472040491917,Highly Affordable
SanFrancisco,94516,1292.0,1510.098876953125,-218.098876953125,-14.44268850746884,Highly Affordable
Miami,33066,1724.0,1937.7098217010496,-213.7098217010498,-11.028989960604175,Highly Affordable
Tampa,34669,1330.0,1542.0966033935547,-212.0966033935547,-13.753781891926392,Highly Affordable
Denver,80002,1824.0,2035.875946044922,-211.87594604492188,-10.407114758467054,Highly Affordable
Jacksonville,32205,1263.0,1473.040557861328,-210.04055786132812,-14.25897995410805,Highly Affordable
SanFrancisco,94561,1952.0,2161.203125,-209.203125,-9.679938113174808,Highly Affordable
Orlando,32805,1204.0,1413.201202392578,-209.20120239257812,-14.8033558164539,Highly Affordable
Denver,80421,1962.0,2168.8414306640625,-206.8414306640625,-9.536954972348125,Highly Affordable
Miami,33143,1928.0,2133.5178833007812,-205.51788330078125,-9.63281746590392,Highly Affordable
Orlando,32726,1141.0,1344.6748962402344,-203.6748962402344,-15.146776132261982,Highly Affordable
Nashville,37012,749.0,952.1705322265624,-203.1705322265625,-21.33762024240207,Highly Affordable
Tampa,34614,978.0,1180.4862670898438,-202.48626708984375,-17.15278463925011,Highly Affordable
Orlando,34748,1294.0,1493.9713745117188,-199.97137451171875,-13.385221291611177,Highly Affordable
Tampa,33629,1891.0,2087.9183959960938,-196.91839599609375,-9.43132626130002,Highly Affordable
Philadelphia,18074,1250.0,1445.9623889923096,-195.96238899230957,-13.552384936435011,Highly Affordable
Denver,80212,1799.0,1990.4361038208008,-191.4361038208008,-9.617796997016079,Highly Affordable
Denver,80808,959.0,1147.7528686523438,-188.75286865234375,-16.445427740378605,Highly Affordable
Philadelphia,18960,1362.0,1550.368667602539,-188.36866760253903,-12.149927403643213,Highly Affordable
Tampa,33534,1452.0,1638.120042800903,-186.12004280090332,-11.361807311915316,Highly Affordable
Denver,80016,2195.0,2378.004943847656,-183.00494384765625,-7.69573437267758,Highly Affordable
Orlando,34715,2050.0,2232.7261352539062,-182.72613525390625,-8.18399231185273,Highly Affordable
Orlando,32720,1368.0,1550.3539123535156,-182.3539123535156,-11.762082896071977,Highly Affordable
Denver,80023,2124.0,2306.231170654297,-182.23117065429688,-7.901687089009226,Highly Affordable
Denver,80109,2304.0,2485.76904296875,-181.76904296875,-7.312386622679294,Highly Affordable
Nashville,37145,729.0,909.3406677246094,-180.34066772460935,-19.832024908317955,Highly Affordable
Indianapolis,46035,821.0,1001.2560272216796,-180.2560272216797,-18.0029904760584,Highly Affordable
Philadelphia,19440,1442.0,1620.3542175292969,-178.35421752929688,-11.00711286457167,Highly Affordable
Philadelphia,18036,1342.0,1519.867259979248,-177.86725997924805,-11.702815414398533,Highly Affordable
SanFrancisco,94580,2274.0,2450.9359703063965,-176.93597030639648,-7.2191184286335055,Highly Affordable
Miami,33156,1951.0,2127.045623779297,-176.04562377929688,-8.276532567576155,Highly Affordable
SanFrancisco,94556,2906.0,3078.060546875,-172.060546875,-5.5899013113853275,Highly Affordable
Denver,80260,1642.0,1812.1204833984375,-170.1204833984375,-9.387923427662756,Highly Affordable
