ZIP,Actual_Rent,Predicted_Rent,Residual,Residual_Pct
32207,1266.0,1541.3147354125977,-275.31473541259766,-17.9
32217,1261.0,1500.2365231513977,-239.2365231513977,-15.9
32205,1263.0,1473.040557861328,-210.04055786132812,-14.3
32206,860.0,974.5359497070312,-114.53594970703124,-11.8
32216,1364.0,1470.3112831115725,-106.31128311157228,-7.2
32234,1096.0,1201.7572631835938,-105.75726318359376,-8.8
32256,1698.0,1802.0949096679688,-104.09490966796876,-5.8
32258,1928.0,2028.0823364257812,-100.08233642578124,-4.9
32204,1167.0,1265.2278442382812,-98.22784423828124,-7.8
32218,1503.0,1592.6968536376953,-89.69685363769531,-5.6
32224,1764.0,1851.44873046875,-87.44873046875,-4.7
32211,1185.0,1263.3884582519531,-78.38845825195312,-6.2
32219,1292.0,1370.1263580322266,-78.12635803222656,-5.7
32210,1293.0,1358.1672668457031,-65.16726684570312,-4.8
32209,1062.0,1112.8060302734375,-50.8060302734375,-4.6
32202,1124.0,1167.283721923828,-43.283721923828125,-3.7
32208,1214.0,1255.3623962402344,-41.362396240234375,-3.3
32257,1518.0,1555.4823188781738,-37.48231887817383,-2.4
32277,1378.0,1413.7060470581057,-35.70604705810547,-2.5
32254,1187.0,1222.3688659667969,-35.368865966796875,-2.9
32222,1795.0,1827.1202697753904,-32.120269775390625,-1.8
32223,1587.0,1615.1238327026367,-28.12383270263672,-1.7
32246,1761.0,1779.3030395507812,-18.30303955078125,-1.0
32266,1763.0,1779.2420043945312,-16.24200439453125,-0.9
32220,1330.0,1340.711929321289,-10.711929321289062,-0.8
32244,1470.0,1459.9006881713867,10.09931182861328,0.7
32225,1729.0,1715.6376342773438,13.36236572265625,0.8
32233,1681.0,1651.4884185791016,29.51158142089844,1.8
32221,1708.0,1657.469741821289,50.53025817871094,3.0
32250,1787.0,1724.1240997314453,62.87590026855469,3.6
