city,geoid,feature label,feature id,shid,Housing Built 1939 or Earlier (2020-2024),Housing Built 1940 to 1949 (2020-2024),Housing Built 1950 to 1959 (2020-2024),Housing Built 1960 to 1969 (2020-2024),Housing Built 1970 to 1979 (2020-2024),Housing Built 1980 to 1989 (2020-2024),Housing Built 1990 to 1999 (2020-2024),Housing Built 2000 to 2009 (2020-2024),Housing Built 2010 to 2019 (2020-2024),Housing Built 2020 or Later (2020-2024),Renter Excessive Housing Costs (2020-2024),Home Owner Excessive Housing Costs (2020-2024),Median Home Rent (2020-2024),Median Household Income (2020-2024),Rental Vacancy Rate (2020-2024),Homeowner Vacancy Rate (2020-2024),Total Housing Units (2020-2024),Percent Change in Population (Difference Decennial Census 2020 - 2010),Per Capita Income (2020-2024),Income 49% and Below Poverty Level (2020-2024),Income 50% to 99% the Poverty Level (2020-2024),Income 100% to 124% the Poverty Level (2020-2024),Income 125% to 149% the Poverty Level (2020-2024),Income 150% to 184% the Poverty Level (2020-2024),Income 185% to 199% the Poverty Level (2020-2024),Income 200% and Over the Poverty Level (2020-2024),Unemployment Rate (2020-2024),Labor Force Participation Rate (2020-2024),Commute Mean Travel Time (2020-2024),Commute Transportation by Public Transit (2020-2024),No Vehicles Available (2020-2024),Total Population (2020-2024),data_source,Transit_Accessibility_Index,Expected_Rent_From_Income,Income_Rent_Mismatch_Ratio,Walkability_Premium_Index,Luxury_Vacancy_Flag,Vacancy_Quality_Score,Housing_Age_Diversity_Index,Economic_Stress_Index,Transit_Accessibility_Index_Std,Income_Rent_Mismatch_Ratio_Std,Walkability_Premium_Index_Std,Vacancy_Quality_Score_Std,Economic_Stress_Index_Std,Comprehensive_Mismatch_Score,Basic_Rent_Waste,Rent_Per_Commute_Minute,Commute_Rent_Mismatch,Comprehensive_Rent_Waste_Score,Total_Monthly_Location_Cost,Time_Value_Rent_Waste,Population_Growth_Score,New_Development_Score,Economic_Vitality_Score,Ultra_Recent_Boost,City_Boom_Score,Boom_Category,total_jobs,pct_less_than_hs,pct_hs_only,pct_some_college,pct_bachelors_plus,pct_tech_jobs,pct_service_jobs,pct_manufacturing_jobs,pct_service_occup,pct_sales_office,pct_blue_collar,pct_work_from_home,jobs_per_capita,education_income_ratio,high_tech_area,high_remote_work,jobs_per_capita_log,commercial_district,education_occupation_mismatch,remote_work_premium,service_economy_index,city_median_rent,rent_deviation,rent_deviation_pct,predicted_deviation,predicted_rent_normalized,residual_normalized,predicted_rent,residual,residual_pct,abs_residual,affordability_category
Jacksonville,27260,"Jacksonville, FL Area",publicpolygonfeature:22:928350,country:us/state:fl/msa:jacksonville,27317,20521,50405,51877,81220,114958,99113,143193,102945,40870,117140,99779,1513.0,79643.0,7.119353997574594,1.3023014191861064,732419,19.34847,43752.0,97544,97019,54386,66010,89403,44272,1203289,4.176411033682453,63.76994894399345,25.951084157876434,5020,37881,1683960,original_complete_data,8.167340888825127,1475.8941,1.0251413024823393,19.372296039599597,0,35.001712221154854,2.1556381755433476,13.71580944161725,-0.4995328553242006,0.1127396334969377,0.1162300499569826,0.3682637195973599,-0.0076609881019278,0.2236665643116516,15.103597578373693,1.325045359460522,-540.88609146614,41.11268403171008,1988.7698762277344,1016.38793178329,0.1309537706192153,25.12693542255763,29.50466609424171,6.493816059618666,15.609462576006308,STABLE/DECLINE,779374.0,7.694559216930208,26.065030052617605,29.75013443696438,36.4902762934878,0,0,0,19.370207786353657,21.805253094555404,21.776744227700767,17.63942979091678,0.4628221572958977,0.4581730509082757,0,1,0.380367554359051,0,7.946394136414167,6.436676667301331,9.685103893176828,1508.0,5.0,0.3315649867374005,159.29263,1667.2926330566406,-154.29263305664062,1667.2926330566406,-154.29263305664062,-9.254082336690745,154.29263305664062,Highly Affordable
Jacksonville,32003,ZIP Code 32003,publicpolygonfeature:5:43189,country:us/state:fl/zip:32003,0,15,0,187,624,1071,3601,5049,1369,127,837,1644,1935.0,116611.0,8.96328293736501,0.0,12043,7.43198,56270.0,901,765,126,308,1167,211,26002,2.847380410022779,58.20669902140187,29.973585936788417,10,214,29766,original_complete_data,0.0881703604927647,1797.5157,1.0764857297213035,14.787238125600174,1,64.00276263997569,1.4622035586276811,8.481485416832896,-1.0952239392308925,0.3154486385132954,-0.6824370085350724,1.6460999901540232,-0.967768642847508,0.3953685297235848,25.12064275696225,1.467200915499961,101.08114330634794,74.5951302378256,2484.5157421744543,1512.13379773001,0.0503009180656969,15.896146154246718,23.764701008474766,1.227224400876815,10.850346859803382,STABLE/DECLINE,8844.0,2.8725732110433446,17.179570743516923,30.387820662041992,49.56003538339774,0,0,0,16.759267692868203,17.487931505601605,11.649512706075235,22.156834940442423,0.2971175166297117,0.4250030904751501,0,1,0.2601445077291781,0,5.773502619124303,10.9809352363243,8.379633846434102,1508.0,427.0,28.31564986737401,455.9848,1963.9848022460935,-28.98480224609375,1963.9848022460935,-28.98480224609375,-1.4758160151211732,28.98480224609375,Market Rate
Jacksonville,32009,ZIP Code 32009,publicpolygonfeature:5:43196,country:us/state:fl/zip:32009,56,21,0,33,141,242,429,386,162,71,21,211,919.0,72792.0,13.245033112582782,0.0,1541,-0.17941,38260.0,478,35,72,76,319,155,2910,1.5617374328940947,62.641394069092016,31.735778841042,0,26,4045,original_complete_data,2.99805321219987,1416.2904,0.6488782244093444,13.756902394450483,0,7.794133301867796,1.8521942265685791,9.236176512892287,-0.8806732915008841,-1.3727558385936998,-0.8619102503329702,-0.8305491052834665,-0.829339173280078,0.1681641752796362,8.019355648775042,0.6581330094647793,-818.5547724522262,36.075877689694224,1500.8226120857698,528.4406676413254,0.0,19.34854100903002,14.287534777888064,5.3618005776130815,9.91262605494233,STABLE/DECLINE,210.0,8.830645161290322,34.79838709677419,38.87096774193549,17.5,0,0,0,8.984582668793195,20.25518341307815,33.91812865497076,6.742687159147248,0.0519159456118665,0.2404110341795801,0,0,0.0506132115148824,0,5.935672514619882,1.1799702528507685,4.492291334396597,1508.0,-589.0,-39.05835543766578,-524.3149,983.6851196289062,-64.68511962890625,983.6851196289062,-64.68511962890625,-6.575795276166079,64.68511962890625,Affordable
Jacksonville,32011,ZIP Code 32011,publicpolygonfeature:5:43200,country:us/state:fl/zip:32011,23,27,124,169,674,1262,1065,1559,1148,304,343,1021,1120.0,76677.0,2.0671834625323,1.330039901197036,6355,13.36558,35842.0,592,1035,844,670,810,620,10850,4.250681198910082,58.30634331305791,34.61821451929366,0,127,15421,original_complete_data,1.642800944138474,1450.0899,0.7723659064172504,12.3921828844789,0,5.158515125902763,1.874424082911805,11.648960237438365,-0.9805983629791236,-0.8852235688286456,-1.099629497753552,-0.9466789851308824,-0.3867735024860013,0.049390496182309,12.931186307363784,0.7352934230723815,-459.9311241847356,50.696489241223105,1754.6672661870502,782.2853217426058,0.0904605427464172,29.237888223606127,19.01991891292241,5.566894307002214,14.114696815973907,STABLE/DECLINE,2160.0,12.32937817824962,41.199036488536,31.27843697029173,15.193148362922653,0,0,0,16.59581425768476,19.244604316546763,30.984303466317854,11.310904872389791,0.1400687374359639,0.1981447939137244,0,0,0.1310885565851332,0,4.707491194855858,1.7184825584512282,8.29790712884238,1508.0,-388.0,-25.72944297082228,-325.7664,1182.2336120605469,-62.233612060546875,1182.2336120605469,-62.233612060546875,-5.264070605476885,62.233612060546875,Affordable
Jacksonville,32033,ZIP Code 32033,publicpolygonfeature:5:43201,country:us/state:fl/zip:32033,23,10,53,19,102,99,548,1192,316,46,132,240,1752.0,86185.0,27.64505119453925,3.737864077669903,2408,13.17748,64867.0,73,41,48,335,54,159,3846,2.083333333333333,48.39596700274977,24.041051956382297,0,8,4556,original_complete_data,2.1428571428571423,1532.8094999999998,1.1429991789586378,17.03310680731185,0,64.55025657666069,1.481591118145538,5.627615996840326,-0.9437283627749726,0.5780452987575461,-0.2912311901079076,1.6702235167195272,-1.4912406065252015,0.4288331960311974,17.031357657935466,1.656257882992141,-406.33464731058575,45.60305775764439,2192.752619200342,1220.3706747558977,0.0891874496153596,19.23742890928544,32.683340026714305,2.223086166678448,14.19558790349743,STABLE/DECLINE,1231.0,4.105571847507331,28.470185728250247,47.14076246334311,20.283479960899314,0,0,0,19.820397690827456,33.99615137908916,18.02437459910199,23.39066339066339,0.2701931518876207,0.2353481459755098,0,1,0.239168977006766,0,3.6559704098862777,4.744440521566621,9.910198845413728,1508.0,244.0,16.180371352785148,211.40465,1719.4046478271484,32.59535217285156,1719.4046478271484,32.59535217285156,1.8957347948339598,32.59535217285156,Market Rate
Jacksonville,32034,ZIP Code 32034,publicpolygonfeature:5:43202,country:us/state:fl/zip:32034,837,445,969,746,2182,3298,3865,4928,3472,1902,1881,3324,1605.0,98583.0,13.32605133806663,0.6935891618590783,22644,26.37609,62968.0,1779,1398,764,1152,923,1150,33555,6.402737047898338,51.88272813741398,27.71037893664994,0,698,41029,original_complete_data,5.964493905670376,1640.6720999999998,0.9782576299066708,16.943694664578807,0,50.506740508074365,2.081678657834055,12.441789922161304,-0.6619525372054414,-0.0723582073085434,-0.3068058097461972,1.051441991932448,-0.2413484493926592,0.2821632291493124,17.74473765292421,1.3163758175471083,-352.68048885702,52.126274065685166,2113.023613838582,1140.6416693941378,0.178517910702592,30.369626855170228,23.01740543751818,9.77489978415048,15.90521066309157,STABLE/DECLINE,16026.0,3.6672254819782064,16.893186444737157,26.472877499700637,52.966710573583995,0,0,0,17.47763473707179,21.05607680558586,20.386937231798676,19.62469309014381,0.3906017694801238,0.5372803685583112,0,1,0.3297365811399917,0,10.79829003838504,10.39455439001061,8.738817368535894,1508.0,97.0,6.43236074270557,254.77489,1762.774887084961,-157.77488708496094,1762.774887084961,-157.77488708496094,-8.950370704785099,157.77488708496094,Highly Affordable
Jacksonville,32040,ZIP Code 32040,publicpolygonfeature:5:43206,country:us/state:fl/zip:32040,162,106,16,181,519,321,365,761,670,156,172,409,1189.0,84095.0,0.0,1.3569543912551827,3257,0.42635,32314.0,221,1006,84,182,537,243,6705,1.325381047051027,68.55412566237699,31.101921673558746,0,172,8978,original_complete_data,5.231808412649677,1514.6265,0.7850120145131491,16.620516169092454,0,2.4012378653540063,2.0243163732204934,10.012233390237965,-0.7159746938079831,-0.8352964369606027,-0.3630999772789317,-1.068169373948791,-0.686990678053279,0.0226363967601876,12.716334737617284,0.8688442970294213,-583.2167355874483,45.17836919592299,1759.201897348577,786.8199529041325,0.0028856100820117,32.453177770954866,17.90242914664226,5.573933550082268,14.769963936483954,STABLE/DECLINE,810.0,6.242517530357448,48.16145031640157,27.74072173764324,17.855310415597742,0,0,0,28.046703964972025,10.89759182680613,30.86840184869861,4.015876721923886,0.0902205390955669,0.2123230919269605,0,0,0.0863800052206848,0,5.511648970419248,0.7170472546072407,14.023351982486012,1508.0,-319.0,-21.153846153846153,-209.86975,1298.1302490234375,-109.1302490234375,1298.1302490234375,-109.1302490234375,-8.406725681458731,109.1302490234375,Highly Affordable
Jacksonville,32043,ZIP Code 32043,publicpolygonfeature:5:43208,country:us/state:fl/zip:32043,332,439,378,1025,1156,1422,2225,3246,2216,1648,1031,2281,1545.0,84145.0,1.5232022670917464,0.5716500339114426,14087,23.2486,40400.0,1646,912,738,1992,2059,316,26311,3.3582759652798564,62.051467923160565,34.419789014186975,43,255,34562,original_complete_data,4.943639422902755,1515.0614999999998,1.0197605839762942,12.369353242633863,0,11.602943609567404,2.092527232816332,10.19158392882474,-0.7372218870995043,0.0914964304214194,-1.1036061722559896,-0.6627263578808384,-0.6540932448480423,-0.2213068775954457,21.44827455298741,1.0201583847351128,-45.78186137905368,69.8272933182333,2176.029465260094,1203.6475208156503,0.1573505208224676,35.10051941145401,27.98561107170267,13.614247447489491,18.94305601839868,STABLE/DECLINE,14891.0,7.005540631296172,28.32018132975151,35.543989254533244,29.130288784419072,0,0,0,21.185885776646053,23.10658421244089,23.09930883957803,15.922436995351111,0.4308489092066431,0.3461915596223076,0,1,0.3582679109374807,0,6.728895372173922,4.638251878262958,10.592942888323028,1508.0,37.0,2.453580901856764,42.679455,1550.6794548034668,-5.679454803466797,1550.6794548034668,-5.679454803466797,-0.3662558877577063,5.679454803466797,Market Rate
Jacksonville,32046,ZIP Code 32046,publicpolygonfeature:5:43210,country:us/state:fl/zip:32046,48,107,75,193,707,808,771,853,406,39,262,369,917.0,71563.0,2.038369304556355,3.058103975535168,4007,0.87459,32459.0,907,683,276,121,618,752,7042,3.0500631047538915,57.85566508458074,35.90218190733023,0,128,10593,original_complete_data,3.443973047167457,1405.5981,0.652391320107789,12.52442432733255,0,2.143322529880503,1.9227774243661468,11.515729864497226,-0.8477948581399579,-1.358886054240189,-1.0765944813686563,-1.079533568198353,-0.4112113287076334,0.1381472027489341,9.160263696629915,0.580491434885576,-592.7184129399313,44.86693091732729,1575.2066683010542,602.8247238566097,0.0059193754465267,14.211358935422332,14.73856266509108,1.132661690330543,8.063386297338807,STABLE/DECLINE,1713.0,10.646592283909127,48.60868396289824,28.310256754940184,12.434466998252454,0,0,0,13.80240254964452,25.962245648443243,32.164746261338564,10.74398249452954,0.1617105635797224,0.1737555300679464,0,0,0.1498935427039395,0,3.999514758937784,1.3359569575802963,6.90120127482226,1508.0,-591.0,-39.19098143236074,-530.6628,977.3372192382812,-60.33721923828125,977.3372192382812,-60.33721923828125,-6.173633629271478,60.33721923828125,Affordable
Jacksonville,32063,ZIP Code 32063,publicpolygonfeature:5:43218,country:us/state:fl/zip:32063,195,8,98,304,1119,800,533,1919,382,28,372,585,1385.0,75683.0,0.0,0.4032258064516129,5386,7.31412,32309.0,230,1177,393,191,1141,265,10199,5.945077417470055,59.3939393939394,27.832309043020192,0,246,14611,original_complete_data,3.3531377645748233,1441.4421,0.9608433110147124,17.916182288851406,0,3.6827824940457026,1.7862936139178214,12.0792564169023,-0.8544922991402217,-0.1411103474229348,-0.137409076953299,-1.011702308610476,-0.3078462802210165,-0.0558972012433177,14.330977245826436,1.1309615985730304,-566.0128402622108,42.62457531143828,1895.2589991220368,922.8770546775924,0.0495032213276509,9.741199720556118,27.839588619289845,0.6049878174580139,9.960081980199776,STABLE/DECLINE,6056.0,14.32516015020985,35.873647006847804,26.86105588690082,22.940136956041528,0,0,0,19.947322212467075,18.560140474100088,28.849868305531167,12.19549799568301,0.4144822394086647,0.3031081875195424,0,0,0.3467635555892211,0,6.618199300926467,2.7976639426809817,9.973661106233536,1508.0,-123.0,-8.156498673740053,-162.26263,1345.7373657226562,39.26263427734375,1345.7373657226562,39.26263427734375,2.9175554812851505,39.26263427734375,Market Rate
