city,Avg_Residual,Std_Residual,Avg_Abs_Residual,Avg_Pct_Error,Num_ZIPs
SanFrancisco,298.75,372.89,369.5,9.63,26
Austin,16.92,533.3,338.16,-4.01,14
Miami,154.18,273.14,232.2,5.2,33
Philadelphia,-121.06,243.22,203.6,-9.74,57
Denver,-46.77,252.3,197.86,-3.54,20
SanAntonio,-24.02,251.04,187.01,-3.49,18
Tampa,75.35,171.53,152.15,3.56,22
Charlotte,-58.68,177.75,144.71,-3.85,17
Indianapolis,-20.89,191.86,136.8,-2.59,17
Orlando,109.66,123.84,136.63,6.23,16
Nashville,45.83,161.81,130.11,1.7,15
Columbus,-51.08,183.07,129.69,-6.62,17
Jacksonville,-10.15,154.98,124.19,-1.51,9
Louisville,-52.49,139.29,118.83,-4.82,12
