Feature,Importance
Median Household Income (2020-2024),0.17236448446557914
Per Capita Income (2020-2024),0.14427357007683164
region_HighCost,0.11452404370546942
Home Owner Excessive Housing Costs (2020-2024),0.07072725111692268
Income 200% and Over the Poverty Level (2020-2024),0.05286454392130942
Percent Change in Population (Difference Decennial Census 2020 - 2010),0.03871251626650007
poverty_rate_pct,0.036621703011504775
Total Housing Units (2020-2024),0.034239780951831465
Renter Excessive Housing Costs (2020-2024),0.025237339269575217
region_Midwest,0.02184911131653162
Total Population (2020-2024),0.020906410301263816
Labor Force Participation Rate (2020-2024),0.02022586237197369
Commute Transportation by Public Transit (2020-2024),0.019022404319410144
Housing Built 1939 or Earlier (2020-2024),0.018049248058548586
Housing Built 2010 to 2019 (2020-2024),0.014976361403891737
urban_Urban,0.014453696682231891
Housing Built 1980 to 1989 (2020-2024),0.01230886038751675
Housing Built 2000 to 2009 (2020-2024),0.01172855411845619
Housing Built 1940 to 1949 (2020-2024),0.011270218130302793
Commute Mean Travel Time (2020-2024),0.010914582678465448
Income 150% to 184% the Poverty Level (2020-2024),0.010901537143637192
Income 185% to 199% the Poverty Level (2020-2024),0.010494702045820599
Housing Built 1960 to 1969 (2020-2024),0.010243272255779153
Income 49% and Below Poverty Level (2020-2024),0.009602073606007814
Housing Built 1990 to 1999 (2020-2024),0.009383499145154657
Unemployment Rate (2020-2024),0.009344502992989653
Income 125% to 149% the Poverty Level (2020-2024),0.009075615845348961
Housing Built 1950 to 1959 (2020-2024),0.008929357671560247
Income 50% to 99% the Poverty Level (2020-2024),0.008664310748776273
No Vehicles Available (2020-2024),0.008402663310592515
Income 100% to 124% the Poverty Level (2020-2024),0.008175530438245855
urban_SemiRural,0.007040363482504823
Housing Built 2020 or Later (2020-2024),0.007019471471113525
Housing Built 1970 to 1979 (2020-2024),0.006632008775455059
Rental Vacancy Rate (2020-2024),0.00415438631480166
region_South,0.003653949394052703
Homeowner Vacancy Rate (2020-2024),0.002992823990207515
urban_Rural,1.938881383533005e-05
