"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","11558","918","267","20","267","918","139","4838","547","16","128","19","14","84","189","21","20","6643","149","84","371","68","6","79","11558","6720","110"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","6623","1028","94","305","94","1028","64","3271","554","141","30","0","123","264","257","0","305","5048","257","264","474","123","182","92","6623","3352","165"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","16964","2888","776","56","776","2888","665","7521","1050","398","111","64","0","1034","498","112","56","7866","322","1034","1838","636","56","258","16964","9443","240"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","896","144","17","0","17","144","17","325","31","0","0","5","0","0","5","0","0","94","0","0","113","0","0","5","896","571","0"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","1375","276","35","0","35","276","22","345","167","0","13","9","0","0","52","0","0","414","43","0","109","0","0","43","1375","1030","9"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","1027","73","3","0","3","73","0","463","36","0","3","0","0","0","0","0","0","155","0","0","37","0","0","0","1027","564","0"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","6777","961","134","0","134","961","134","3047","494","0","0","0","0","0","125","0","0","780","125","0","467","0","0","11","6777","3730","114"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","7452","663","76","103","76","663","76","3344","390","10","0","23","0","41","145","0","103","1350","122","41","273","31","103","58","7452","4108","87"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","725","52","0","0","0","52","0","368","37","0","0","0","0","0","0","0","0","91","0","0","15","0","0","0","725","357","0"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","12558","2261","689","23","689","2261","512","5632","1263","120","177","46","7","136","348","0","23","2415","302","136","998","16","16","164","12558","6926","184"
"publicpolygonfeature:5:59939","ZIP Code 78701","country:us/state:tx/zip:78701","78701","3201","131","1082","54","1082","131","736","1321","107","6","346","0","0","32","213","49","54","4070","164","32","24","26","54","205","3201","1880","8"
"publicpolygonfeature:5:59940","ZIP Code 78702","country:us/state:tx/zip:78702","78702","8059","800","842","517","842","800","653","3711","478","166","189","20","84","316","471","126","517","6277","325","316","322","150","433","210","8059","4348","261"
"publicpolygonfeature:5:59943","ZIP Code 78703","country:us/state:tx/zip:78703","78703","6965","277","730","88","730","277","484","2771","169","218","246","58","41","524","173","42","88","5215","73","524","108","306","47","101","6965","4194","72"
"publicpolygonfeature:5:59946","ZIP Code 78610","country:us/state:tx/zip:78610","78610","18681","1900","138","0","138","1900","109","8623","758","0","29","65","0","0","180","0","0","5290","115","0","1142","0","0","112","18681","10058","68"
"publicpolygonfeature:5:59947","ZIP Code 78612","country:us/state:tx/zip:78612","78612","5093","655","98","0","98","655","98","2050","208","23","0","0","0","23","407","0","0","1577","407","23","447","0","0","238","5093","3043","169"
"publicpolygonfeature:5:59949","ZIP Code 78704","country:us/state:tx/zip:78704","78704","16287","1199","1132","578","1132","1199","728","7917","625","308","404","203","70","852","759","49","578","13496","507","852","574","544","508","550","16287","8370","209"
"publicpolygonfeature:5:59950","ZIP Code 78705","country:us/state:tx/zip:78705","78705","5515","829","4412","399","4412","829","2034","2746","756","379","2378","92","111","935","541","130","399","3332","319","935","73","556","288","404","5515","2769","137"
"publicpolygonfeature:5:59951","ZIP Code 78613","country:us/state:tx/zip:78613","78613","28409","3465","418","178","418","3465","138","12802","1866","48","280","33","45","135","926","113","178","14111","780","135","1599","87","133","529","28409","15607","397"
"publicpolygonfeature:5:59953","ZIP Code 78712","country:us/state:tx/zip:78712","78712","0","0","9","0","9","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59955","ZIP Code 78615","country:us/state:tx/zip:78615","78615","478","84","2","0","2","84","2","253","27","0","0","0","0","0","5","0","0","135","5","0","57","0","0","5","478","225","0"
"publicpolygonfeature:5:59956","ZIP Code 78616","country:us/state:tx/zip:78616","78616","3279","717","0","0","0","717","0","1267","261","0","0","0","0","0","313","0","0","338","313","0","456","0","0","189","3279","2012","124"
"publicpolygonfeature:5:59958","ZIP Code 78617","country:us/state:tx/zip:78617","78617","9939","1542","231","0","231","1542","228","4099","599","62","3","0","0","116","386","0","0","1419","386","116","943","54","0","292","9939","5840","94"
"publicpolygonfeature:5:59959","ZIP Code 78620","country:us/state:tx/zip:78620","78620","6156","401","72","0","72","401","24","2879","163","0","48","6","0","0","78","0","0","4548","72","0","238","0","0","78","6156","3277","0"
"publicpolygonfeature:5:59961","ZIP Code 78619","country:us/state:tx/zip:78619","78619","1609","78","23","0","23","78","0","712","67","0","23","0","0","0","9","0","0","1421","9","0","11","0","0","9","1609","897","0"
"publicpolygonfeature:5:59962","ZIP Code 78621","country:us/state:tx/zip:78621","78621","9997","1113","124","0","124","1113","69","4482","373","0","55","0","0","0","268","0","0","2691","268","0","740","0","0","256","9997","5515","12"
"publicpolygonfeature:5:59963","ZIP Code 78622","country:us/state:tx/zip:78622","78622","179","0","0","0","0","0","0","118","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","179","61","0"
"publicpolygonfeature:5:59966","ZIP Code 78626","country:us/state:tx/zip:78626","78626","16688","2493","334","63","334","2493","198","7961","1098","12","136","25","0","33","284","18","63","5378","241","33","1395","21","63","179","16688","8727","105"
"publicpolygonfeature:5:59967","ZIP Code 78628","country:us/state:tx/zip:78628","78628","16003","1607","122","23","122","1607","60","6639","961","24","62","0","0","24","232","45","23","6510","187","24","646","0","23","177","16003","9364","55"
"publicpolygonfeature:5:59969","ZIP Code 78656","country:us/state:tx/zip:78656","78656","1214","116","42","0","42","116","13","457","43","0","29","0","0","0","0","0","0","186","0","0","73","0","0","0","1214","757","0"
"publicpolygonfeature:5:59971","ZIP Code 78632","country:us/state:tx/zip:78632","78632","386","29","0","0","0","29","0","134","29","0","0","0","0","0","0","0","0","37","0","0","0","0","0","0","386","252","0"
"publicpolygonfeature:5:59972","ZIP Code 78633","country:us/state:tx/zip:78633","78633","5303","466","133","0","133","466","87","2604","215","0","46","44","0","0","173","0","0","2691","129","0","251","0","0","140","5303","2699","33"
"publicpolygonfeature:5:59973","ZIP Code 78634","country:us/state:tx/zip:78634","78634","18324","1605","148","50","148","1605","45","7723","924","0","103","97","0","0","570","99","50","4829","374","0","681","0","50","428","18324","10601","142"
