"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","9636","479","205","37","205","479","140","4281","208","299","65","0","0","554","253","107","37","4792","146","554","271","255","37","152","9636","5355","101"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","15685","2517","597","98","597","2517","278","7911","981","211","319","16","0","512","271","4","98","6501","251","512","1536","301","98","82","15685","7774","189"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","10843","644","314","0","314","644","177","5136","354","80","137","0","0","258","208","78","0","4402","130","258","290","178","0","98","10843","5707","110"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","12544","3272","98","0","98","3272","37","5812","1343","204","61","0","0","509","359","6","0","3387","353","509","1929","305","0","195","12544","6732","164"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","59","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","59","24","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","13247","2700","266","0","266","2700","57","6538","1179","148","209","25","0","426","239","92","0","7654","122","426","1521","278","0","121","13247","6709","118"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","11841","1401","46","45","46","1401","37","4912","834","18","9","0","0","83","116","16","45","6137","100","83","567","65","45","50","11841","6929","66"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","2322","176","8","0","8","176","0","1028","73","0","8","0","0","0","14","0","0","245","14","0","103","0","0","0","2322","1294","14"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","12006","1334","55","0","55","1334","30","5102","478","111","25","46","0","121","247","77","0","1445","124","121","856","10","0","120","12006","6904","127"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","10317","1355","84","5","84","1355","84","4631","675","55","0","0","0","55","107","33","5","1481","74","55","680","0","5","26","10317","5686","81"
