"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","540","47","4","0","4","47","4","243","9","0","0","0","0","0","0","0","0","15","0","0","38","0","0","0","540","297","0"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","1723","183","23","4","23","183","23","819","123","0","0","0","0","0","24","0","4","69","24","0","60","0","4","0","1723","904","24"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","12175","813","209","0","209","813","69","5190","517","43","140","0","0","83","138","5","0","3351","133","83","296","40","0","75","12175","6985","63"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","16324","2353","261","85","261","2353","117","7396","1087","268","144","0","10","472","332","76","85","2466","256","472","1266","204","75","94","16324","8928","238"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","9200","906","449","70","449","906","151","4366","396","201","298","6","22","235","158","58","70","3286","94","235","510","34","48","88","9200","4834","70"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","393","67","1904","8","1904","67","748","257","11","142","1156","0","0","227","35","6","8","880","29","227","56","85","8","18","393","136","17"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","5462","1201","123","0","123","1201","65","2648","679","155","58","0","0","350","276","153","0","919","123","350","522","195","0","96","5462","2814","180"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","10997","442","492","160","492","442","280","5294","216","141","212","17","83","220","171","37","160","3303","117","220","226","79","77","121","10997","5703","50"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","11496","1334","159","71","159","1334","116","5518","752","261","43","0","7","784","244","136","71","2293","108","784","582","523","64","200","11496","5978","44"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","9875","690","128","126","128","690","73","4754","363","172","55","24","14","279","274","18","126","4237","232","279","327","107","112","210","9875","5121","64"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","7805","386","1287","87","1287","386","603","3905","178","70","684","0","35","190","124","104","87","3651","20","190","208","120","52","104","7805","3900","20"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","602","267","8","0","8","267","0","317","144","0","8","0","0","0","0","0","0","65","0","0","123","0","0","0","602","285","0"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","8593","1187","150","11","150","1187","80","4429","775","203","70","0","0","341","223","163","11","3077","60","341","412","138","11","105","8593","4164","118"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","11430","845","149","32","149","845","60","4942","344","120","89","0","0","198","110","53","32","3320","57","198","501","78","32","46","11430","6488","64"
"publicpolygonfeature:5:46158","ZIP Code 43232","country:us/state:oh/zip:43232","43232","16298","1964","221","0","221","1964","169","7922","845","341","52","0","0","520","516","428","0","2037","88","520","1119","179","0","219","16298","8376","297"
"publicpolygonfeature:5:46185","ZIP Code 43235","country:us/state:oh/zip:43235","43235","17054","1499","158","34","158","1499","80","8568","948","83","78","144","0","156","271","94","34","5520","33","156","551","73","34","264","17054","8486","7"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","3377","194","240","0","240","194","0","1213","0","0","240","0","0","24","50","10","0","786","40","24","194","24","0","0","3377","2164","50"
"publicpolygonfeature:5:46242","ZIP Code 43320","country:us/state:oh/zip:43320","43320","315","39","8","0","8","39","0","179","10","0","8","0","0","5","8","0","0","149","8","5","29","5","0","8","315","136","0"
"publicpolygonfeature:5:46245","ZIP Code 43321","country:us/state:oh/zip:43321","43321","134","12","3","0","3","12","2","61","7","0","1","0","0","0","4","0","0","24","4","0","5","0","0","0","134","73","4"
"publicpolygonfeature:5:46299","ZIP Code 43103","country:us/state:oh/zip:43103","43103","4940","331","23","0","23","331","15","1900","183","14","8","0","0","14","0","0","0","1069","0","14","148","0","0","0","4940","3040","0"
"publicpolygonfeature:5:46342","ZIP Code 43008","country:us/state:oh/zip:43008","43008","1073","83","0","61","0","83","0","475","46","0","0","0","6","0","11","0","61","162","11","0","37","0","55","0","1073","598","11"
"publicpolygonfeature:5:46360","ZIP Code 43204","country:us/state:oh/zip:43204","43204","15041","2046","222","66","222","2046","120","7203","854","290","102","38","16","547","151","44","66","3041","69","547","1192","257","50","117","15041","7838","34"
"publicpolygonfeature:5:46372","ZIP Code 43205","country:us/state:oh/zip:43205","43205","4453","463","167","31","167","463","104","2101","236","184","63","0","31","314","181","41","31","1538","140","314","227","130","0","125","4453","2352","56"
"publicpolygonfeature:5:46374","ZIP Code 43206","country:us/state:oh/zip:43206","43206","8471","1055","483","320","483","1055","212","4263","633","126","271","0","31","250","159","19","320","2494","140","250","422","124","289","72","8471","4208","87"
"publicpolygonfeature:5:46379","ZIP Code 43001","country:us/state:oh/zip:43001","43001","1107","133","19","0","19","133","4","445","64","0","15","0","0","0","16","0","0","301","16","0","69","0","0","5","1107","662","11"
"publicpolygonfeature:5:46380","ZIP Code 43002","country:us/state:oh/zip:43002","43002","575","0","0","0","0","0","0","307","0","0","0","0","0","0","0","0","0","211","0","0","0","0","0","0","575","268","0"
"publicpolygonfeature:5:46381","ZIP Code 43011","country:us/state:oh/zip:43011","43011","2352","88","0","0","0","88","0","965","59","0","0","0","0","20","13","0","0","730","13","20","29","20","0","9","2352","1387","4"
"publicpolygonfeature:5:46382","ZIP Code 43013","country:us/state:oh/zip:43013","43013","618","40","0","0","0","40","0","189","4","0","0","0","0","0","0","0","0","277","0","0","36","0","0","0","618","429","0"
"publicpolygonfeature:5:46384","ZIP Code 43015","country:us/state:oh/zip:43015","43015","22531","1806","679","39","679","1806","326","10031","746","13","353","0","29","59","236","7","39","6219","229","59","1060","46","10","153","22531","12500","83"
"publicpolygonfeature:5:46386","ZIP Code 43016","country:us/state:oh/zip:43016","43016","15780","1313","201","6","201","1313","122","6899","588","0","79","20","0","10","84","0","6","6917","64","10","725","10","6","73","15780","8881","11"
"publicpolygonfeature:5:46387","ZIP Code 43017","country:us/state:oh/zip:43017","43017","13367","993","153","16","153","993","44","5962","499","0","109","0","0","24","91","17","16","6664","74","24","494","24","16","41","13367","7405","50"
"publicpolygonfeature:5:46388","ZIP Code 43019","country:us/state:oh/zip:43019","43019","2939","516","42","0","42","516","16","1318","257","0","26","22","0","0","219","7","0","542","190","0","259","0","0","105","2939","1621","114"
"publicpolygonfeature:5:46389","ZIP Code 43021","country:us/state:oh/zip:43021","43021","5395","248","51","18","51","248","26","2629","130","0","25","0","14","0","36","0","18","1759","36","0","118","0","4","16","5395","2766","20"
"publicpolygonfeature:5:46391","ZIP Code 43023","country:us/state:oh/zip:43023","43023","4608","190","812","4","812","190","316","2113","63","11","496","0","4","11","34","16","4","1561","18","11","127","0","0","10","4608","2495","24"
"publicpolygonfeature:5:46392","ZIP Code 43025","country:us/state:oh/zip:43025","43025","1946","229","0","0","0","229","0","892","99","0","0","8","0","0","76","0","0","391","68","0","130","0","0","14","1946","1054","62"
"publicpolygonfeature:5:46393","ZIP Code 43026","country:us/state:oh/zip:43026","43026","25961","1983","246","56","246","1983","104","12341","899","46","142","0","11","71","119","64","56","7686","55","71","1084","25","45","85","25961","13620","34"
"publicpolygonfeature:5:46395","ZIP Code 43029","country:us/state:oh/zip:43029","43029","244","28","15","0","15","28","8","80","8","0","7","0","0","0","0","0","0","0","0","0","20","0","0","0","244","164","0"
"publicpolygonfeature:5:46396","ZIP Code 43030","country:us/state:oh/zip:43030","43030","101","8","0","0","0","8","0","14","8","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","101","87","0"
"publicpolygonfeature:5:46397","ZIP Code 43031","country:us/state:oh/zip:43031","43031","5915","516","107","0","107","516","62","2603","236","0","45","0","0","1","52","0","0","896","52","1","280","1","0","31","5915","3312","21"
"publicpolygonfeature:5:46398","ZIP Code 43032","country:us/state:oh/zip:43032","43032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46399","ZIP Code 43033","country:us/state:oh/zip:43033","43033","141","17","2","0","2","17","2","60","16","0","0","0","0","0","0","0","0","13","0","0","1","0","0","0","141","81","0"
"publicpolygonfeature:5:46400","ZIP Code 43035","country:us/state:oh/zip:43035","43035","12547","1068","104","0","104","1068","80","5629","643","0","24","20","0","15","77","0","0","6371","57","15","425","15","0","77","12547","6918","0"
"publicpolygonfeature:5:46401","ZIP Code 43036","country:us/state:oh/zip:43036","43036","138","7","0","0","0","7","0","68","4","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0","138","70","0"
"publicpolygonfeature:5:46403","ZIP Code 43044","country:us/state:oh/zip:43044","43044","1595","355","52","10","52","355","35","755","70","0","17","0","0","0","2","0","10","357","2","0","285","0","10","0","1595","840","2"
"publicpolygonfeature:5:46404","ZIP Code 43040","country:us/state:oh/zip:43040","43040","14488","1102","106","13","106","1102","59","6527","689","11","47","105","0","122","351","40","13","4013","206","122","413","111","13","134","14488","7961","217"
"publicpolygonfeature:5:46405","ZIP Code 43045","country:us/state:oh/zip:43045","43045","661","85","0","0","0","85","0","273","36","0","0","0","0","0","11","0","0","51","11","0","49","0","0","11","661","388","0"
"publicpolygonfeature:5:46406","ZIP Code 43046","country:us/state:oh/zip:43046","43046","1321","47","11","0","11","47","0","474","24","0","11","0","0","0","0","0","0","128","0","0","23","0","0","0","1321","847","0"
