"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","8327","536","590","491","590","536","419","4513","268","286","171","0","217","628","187","57","491","5044","130","628","268","342","274","140","8327","3814","47"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","6611","479","211","269","211","479","92","3291","315","83","119","10","26","352","183","15","269","3046","158","352","164","269","243","168","6611","3320","15"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","15027","1839","178","72","178","1839","79","6947","1146","78","99","0","0","238","220","69","72","5430","151","238","693","160","72","142","15027","8080","78"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","7118","591","193","13","193","591","105","3209","249","124","88","0","0","257","234","41","13","4407","193","257","342","133","13","135","7118","3909","99"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","8547","333","624","302","624","333","501","4151","147","152","123","0","67","320","159","0","302","6722","159","320","186","168","235","83","8547","4396","76"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","11413","1071","1042","242","1042","1071","633","5289","632","364","409","35","153","1056","337","39","242","8059","263","1056","439","692","89","205","11413","6124","132"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","12811","1155","937","648","937","1155","517","6108","608","312","420","6","126","763","313","24","648","10317","283","763","547","451","522","127","12811","6703","186"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","21047","1933","181","295","181","1933","89","9087","977","678","92","47","169","1159","249","21","295","3291","181","1159","956","481","126","158","21047","11960","91"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","12343","1470","418","347","418","1470","235","5552","693","142","183","33","53","348","204","38","347","6083","133","348","777","206","294","128","12343","6791","76"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","13817","2098","491","61","491","2098","201","5620","956","179","290","17","12","528","248","62","61","3759","169","528","1142","349","49","177","13817","8197","71"
