"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","12359","1149","167","0","167","1149","132","5338","459","0","35","0","0","0","298","0","0","1915","298","0","690","0","0","175","12359","7021","123"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","4620","411","41","0","41","411","2","2225","211","0","39","0","0","0","26","0","0","165","26","0","200","0","0","0","4620","2395","26"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","5686","618","7","5","7","618","5","2457","332","19","2","12","0","32","19","0","5","932","7","32","286","13","5","6","5686","3229","13"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","8093","636","107","21","107","636","69","3723","275","2","38","0","14","2","51","29","21","2127","22","2","361","0","7","13","8093","4370","38"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","7602","836","251","147","251","836","202","3690","289","0","49","0","78","14","34","0","147","858","34","14","547","14","69","34","7602","3912","0"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","6669","833","59","45","59","833","42","3113","478","19","17","132","0","25","152","20","45","689","0","25","355","6","45","132","6669","3556","20"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","4874","1191","128","26","128","1191","99","2324","606","28","29","0","0","54","176","61","26","680","115","54","585","26","26","96","4874","2550","80"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","1887","282","27","0","27","282","7","1056","80","1","20","0","0","1","0","0","0","248","0","1","202","0","0","0","1887","831","0"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","1027","120","15","6","15","120","14","504","90","0","1","0","0","0","7","0","6","318","7","0","30","0","6","5","1027","523","2"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","10684","1232","153","2","153","1232","115","5680","624","62","38","0","0","137","174","53","2","1749","121","137","608","75","2","26","10684","5004","148"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","1028","70","3","0","3","70","3","482","31","0","0","0","0","2","2","0","0","135","2","2","39","2","0","2","1028","546","0"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","18141","990","264","71","264","990","142","8349","524","5","122","9","14","13","200","24","71","7422","167","13","466","8","57","50","18141","9792","150"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","14047","1060","347","22","347","1060","288","6525","558","0","59","0","12","5","165","76","22","5153","89","5","502","5","10","144","14047","7522","21"
