"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:41095","ZIP Code 32202","country:us/state:fl/zip:32202","32202","812","68","374","34","374","68","270","387","24","21","104","0","20","77","13","0","34","263","13","77","44","56","14","0","812","425","13"
"publicpolygonfeature:5:41100","ZIP Code 32204","country:us/state:fl/zip:32204","32204","3448","406","85","59","85","406","62","1633","295","15","23","0","17","15","134","48","59","693","86","15","111","0","42","34","3448","1815","100"
"publicpolygonfeature:5:41113","ZIP Code 32205","country:us/state:fl/zip:32205","32205","11153","996","295","130","295","996","190","5531","445","189","105","116","49","215","376","35","130","3132","225","215","551","26","81","207","11153","5622","169"
"publicpolygonfeature:5:41181","ZIP Code 32206","country:us/state:fl/zip:32206","32206","4220","1031","61","48","61","1031","17","2122","414","163","44","0","24","374","326","125","48","1148","201","374","617","211","24","222","4220","2098","104"
"publicpolygonfeature:5:41191","ZIP Code 32207","country:us/state:fl/zip:32207","32207","12689","1831","295","250","295","1831","126","4996","973","71","169","76","0","73","479","128","250","3405","275","73","858","2","250","157","12689","7693","322"
"publicpolygonfeature:5:41305","ZIP Code 32208","country:us/state:fl/zip:32208","32208","9079","1521","189","20","189","1521","130","4717","871","301","59","11","0","541","244","24","20","1419","209","541","650","240","20","160","9079","4362","84"
"publicpolygonfeature:5:41320","ZIP Code 32209","country:us/state:fl/zip:32209","32209","7694","1416","252","34","252","1416","83","4728","680","670","169","0","0","919","296","30","34","769","266","919","736","249","34","97","7694","2966","199"
"publicpolygonfeature:5:42938","ZIP Code 32065","country:us/state:fl/zip:32065","32065","14367","1627","111","28","111","1627","27","5985","951","0","84","12","0","0","216","11","28","3657","193","0","676","0","28","117","14367","8382","99"
"publicpolygonfeature:5:42941","ZIP Code 32072","country:us/state:fl/zip:32072","32072","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","17","0","0","0","0","0","0","8","8","0"
"publicpolygonfeature:5:42945","ZIP Code 32073","country:us/state:fl/zip:32073","32073","16297","1559","202","143","202","1559","89","7704","714","31","113","29","26","33","321","86","143","2975","206","33","845","2","117","206","16297","8593","115"
"publicpolygonfeature:5:42946","ZIP Code 32079","country:us/state:fl/zip:32079","32079","7","0","7","6","7","0","0","7","0","0","7","0","6","0","0","0","6","0","0","0","0","0","0","0","7","0","0"
"publicpolygonfeature:5:42950","ZIP Code 32080","country:us/state:fl/zip:32080","32080","5572","763","94","170","94","763","43","2356","527","0","51","0","40","0","140","47","170","2050","93","0","236","0","130","58","5572","3216","82"
"publicpolygonfeature:5:42951","ZIP Code 32081","country:us/state:fl/zip:32081","32081","5868","446","0","169","0","446","0","2555","143","0","0","0","169","0","184","0","169","4765","184","0","303","0","0","116","5868","3313","68"
"publicpolygonfeature:5:42953","ZIP Code 32082","country:us/state:fl/zip:32082","32082","8734","372","183","112","183","372","68","3879","160","0","115","0","33","0","48","0","112","3530","48","0","212","0","79","10","8734","4855","38"
"publicpolygonfeature:5:42967","ZIP Code 32084","country:us/state:fl/zip:32084","32084","11910","1545","401","151","401","1545","108","6219","749","0","293","58","0","15","483","38","151","2872","387","15","796","15","151","466","11910","5691","17"
"publicpolygonfeature:5:42981","ZIP Code 32086","country:us/state:fl/zip:32086","32086","10764","2164","0","38","0","2164","0","4960","980","25","0","102","38","77","383","161","38","3227","120","77","1184","52","0","125","10764","5804","258"
"publicpolygonfeature:5:42990","ZIP Code 32210","country:us/state:fl/zip:32210","32210","23428","2868","121","172","121","2868","56","11424","1205","73","65","77","23","405","1243","114","172","3802","1052","405","1663","332","149","665","23428","12004","578"
"publicpolygonfeature:5:42992","ZIP Code 32211","country:us/state:fl/zip:32211","32211","11752","1830","81","113","81","1830","43","5686","783","91","38","87","0","237","421","78","113","2128","256","237","1047","146","113","289","11752","6066","132"
"publicpolygonfeature:5:42993","ZIP Code 32212","country:us/state:fl/zip:32212","32212","935","97","482","8","482","97","382","308","25","0","100","0","0","0","0","0","8","0","0","0","72","0","8","0","935","627","0"
"publicpolygonfeature:5:42997","ZIP Code 32216","country:us/state:fl/zip:32216","32216","14441","1581","299","141","299","1581","211","6612","818","16","88","19","46","67","426","26","141","3853","381","67","763","51","95","273","14441","7829","153"
"publicpolygonfeature:5:43001","ZIP Code 32217","country:us/state:fl/zip:32217","32217","7164","537","23","21","23","537","5","3607","312","150","18","10","10","199","331","25","21","2050","296","199","225","49","11","158","7164","3557","173"
"publicpolygonfeature:5:43007","ZIP Code 32223","country:us/state:fl/zip:32223","32223","8359","861","110","0","110","861","83","3862","455","30","27","53","0","56","296","81","0","2695","162","56","406","26","0","165","8359","4497","131"
"publicpolygonfeature:5:43011","ZIP Code 32254","country:us/state:fl/zip:32254","32254","3831","642","259","12","259","642","162","2051","350","81","97","0","0","189","95","0","12","241","95","189","292","108","12","13","3831","1780","82"
"publicpolygonfeature:5:43013","ZIP Code 32256","country:us/state:fl/zip:32256","32256","24688","1907","303","61","303","1907","146","11132","1077","18","157","49","12","50","859","354","61","6272","456","50","830","32","49","440","24688","13556","419"
"publicpolygonfeature:5:43015","ZIP Code 32257","country:us/state:fl/zip:32257","32257","14838","2390","251","77","251","2390","182","7583","1086","0","69","51","48","41","406","95","77","4175","260","41","1304","41","29","340","14838","7255","66"
