"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:44090","ZIP Code 40117","country:us/state:ky/zip:40117","40117","758","34","0","0","0","34","0","353","24","0","0","0","0","0","10","0","0","145","10","0","10","0","0","10","758","405","0"
"publicpolygonfeature:5:44105","ZIP Code 40118","country:us/state:ky/zip:40118","40118","4008","491","0","0","0","491","0","1758","200","26","0","0","0","26","271","20","0","270","251","26","291","0","0","172","4008","2250","99"
"publicpolygonfeature:5:44703","ZIP Code 40026","country:us/state:ky/zip:40026","40026","1982","226","80","2","80","226","71","828","102","57","9","0","2","72","11","0","2","525","11","72","124","15","0","3","1982","1154","8"
"publicpolygonfeature:5:45451","ZIP Code 40041","country:us/state:ky/zip:40041","40041","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:45466","ZIP Code 40202","country:us/state:ky/zip:40202","40202","1261","153","817","10","817","153","499","626","70","19","318","0","0","100","49","11","10","456","38","100","83","81","10","37","1261","635","12"
"publicpolygonfeature:5:45468","ZIP Code 40203","country:us/state:ky/zip:40203","40203","3608","732","392","177","392","732","193","1729","387","397","199","0","129","713","129","93","177","1284","36","713","345","316","48","51","3608","1879","78"
"publicpolygonfeature:5:45484","ZIP Code 40204","country:us/state:ky/zip:40204","40204","6091","445","329","29","329","445","242","2781","139","25","87","0","5","110","80","0","29","1673","80","110","306","85","24","80","6091","3310","0"
"publicpolygonfeature:5:45487","ZIP Code 40205","country:us/state:ky/zip:40205","40205","8924","659","283","25","283","659","78","4450","372","55","205","0","2","62","127","43","25","2498","84","62","287","7","23","76","8924","4474","51"
"publicpolygonfeature:5:45495","ZIP Code 40206","country:us/state:ky/zip:40206","40206","9026","650","352","57","352","650","295","4048","328","14","57","0","0","32","218","135","57","1841","83","32","322","18","57","74","9026","4978","144"
"publicpolygonfeature:5:45500","ZIP Code 40207","country:us/state:ky/zip:40207","40207","10883","895","90","30","90","895","73","5168","471","38","17","31","2","70","89","22","30","3524","36","70","424","32","28","57","10883","5715","32"
"publicpolygonfeature:5:45508","ZIP Code 40208","country:us/state:ky/zip:40208","40208","4976","804","1072","130","1072","804","585","2431","476","223","487","0","106","418","307","14","130","1041","293","418","328","195","24","136","4976","2545","171"
"publicpolygonfeature:5:45512","ZIP Code 40209","country:us/state:ky/zip:40209","40209","187","89","0","0","0","89","0","131","89","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","187","56","0"
"publicpolygonfeature:5:45514","ZIP Code 40210","country:us/state:ky/zip:40210","40210","2596","536","102","63","102","536","58","1475","279","440","44","0","40","827","226","66","63","462","160","827","257","387","23","145","2596","1121","81"
"publicpolygonfeature:5:45516","ZIP Code 40052","country:us/state:ky/zip:40052","40052","219","0","69","0","69","0","36","79","0","0","33","0","0","0","0","0","0","0","0","0","0","0","0","0","219","140","0"
"publicpolygonfeature:5:45527","ZIP Code 40211","country:us/state:ky/zip:40211","40211","4746","503","141","11","141","503","126","2827","207","297","15","0","11","558","542","20","11","484","522","558","296","261","0","206","4746","1919","336"
"publicpolygonfeature:5:45530","ZIP Code 40212","country:us/state:ky/zip:40212","40212","3433","477","79","4","79","477","59","1610","349","136","20","1","0","441","97","8","4","536","88","441","128","305","4","85","3433","1823","12"
"publicpolygonfeature:5:45535","ZIP Code 40055","country:us/state:ky/zip:40055","40055","623","221","0","0","0","221","0","242","44","0","0","0","0","0","0","0","0","36","0","0","177","0","0","0","623","381","0"
"publicpolygonfeature:5:45542","ZIP Code 40056","country:us/state:ky/zip:40056","40056","1391","79","37","0","37","79","33","667","63","0","4","0","0","0","4","0","0","295","4","0","16","0","0","4","1391","724","0"
"publicpolygonfeature:5:45544","ZIP Code 40067","country:us/state:ky/zip:40067","40067","2316","308","115","0","115","308","39","1074","136","0","76","0","0","0","33","0","0","401","33","0","172","0","0","19","2316","1242","14"
"publicpolygonfeature:5:45551","ZIP Code 40218","country:us/state:ky/zip:40218","40218","13220","1641","166","0","166","1641","90","5897","1137","0","76","0","0","164","145","64","0","2034","81","164","504","164","0","49","13220","7323","96"
"publicpolygonfeature:5:45667","ZIP Code 40003","country:us/state:ky/zip:40003","40003","717","69","0","0","0","69","0","336","32","0","0","0","0","0","0","0","0","97","0","0","37","0","0","0","717","381","0"
"publicpolygonfeature:5:45669","ZIP Code 40007","country:us/state:ky/zip:40007","40007","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","23","23","0"
"publicpolygonfeature:5:45670","ZIP Code 40004","country:us/state:ky/zip:40004","40004","12160","1376","104","0","104","1376","94","5988","594","0","10","0","0","0","345","0","0","841","345","0","782","0","0","205","12160","6172","140"
"publicpolygonfeature:5:45671","ZIP Code 40010","country:us/state:ky/zip:40010","40010","371","51","0","0","0","51","0","217","20","0","0","0","0","0","0","0","0","68","0","0","31","0","0","0","371","154","0"
"publicpolygonfeature:5:45672","ZIP Code 40008","country:us/state:ky/zip:40008","40008","1590","147","41","0","41","147","41","833","91","0","0","0","0","8","19","0","0","106","19","8","56","8","0","12","1590","757","7"
