"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","13939","1899","700","79","700","1899","281","6575","1162","358","419","57","8","685","758","223","79","2835","478","685","737","327","71","431","13939","7364","327"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","12606","2074","366","0","366","2074","105","5780","958","130","261","115","0","433","736","122","0","3863","499","433","1116","303","0","226","12606","6826","510"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","24211","4414","474","31","474","4414","275","11756","2121","170","199","131","31","516","633","160","31","4606","342","516","2293","346","0","443","24211","12455","190"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","10936","1183","169","4","169","1183","94","5305","479","110","75","17","0","161","215","53","4","2336","145","161","704","51","4","142","10936","5631","73"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","17166","2266","299","64","299","2266","129","7480","1055","153","170","13","0","348","467","112","64","2309","342","348","1211","195","64","365","17166","9686","102"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","28744","3224","238","124","238","3224","135","14419","1628","304","103","58","0","432","803","157","124","3770","588","432","1596","128","124","514","28744","14325","289"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","16490","2722","229","74","229","2722","129","7226","1549","122","100","7","0","153","117","70","74","2217","40","153","1173","31","74","100","16490","9264","17"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","24094","3050","104","2","104","3050","41","10536","1583","62","63","13","0","135","222","78","2","3556","131","135","1467","73","2","29","24094","13558","193"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","3924","453","49","12","49","453","25","1406","217","21","24","15","12","48","120","17","12","1798","88","48","236","27","0","41","3924","2518","79"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","15863","2396","599","361","599","2396","267","6545","993","372","332","134","175","1192","1171","408","361","3686","629","1192","1403","820","186","822","15863","9318","349"
"publicpolygonfeature:5:39385","ZIP Code 33021","country:us/state:fl/zip:33021","33021","16944","2027","462","99","462","2027","244","7052","971","111","218","40","20","272","1091","309","99","3227","742","272","1056","161","79","594","16944","9892","497"
"publicpolygonfeature:5:39392","ZIP Code 33023","country:us/state:fl/zip:33023","33023","26648","3421","358","58","358","3421","176","12784","1699","812","182","0","11","1222","775","231","58","2539","544","1222","1722","410","47","398","26648","13864","377"
"publicpolygonfeature:5:39419","ZIP Code 33024","country:us/state:fl/zip:33024","33024","28014","4677","284","15","284","4677","137","13276","2036","167","147","101","15","295","1034","274","15","3811","659","295","2641","128","0","622","28014","14738","412"
"publicpolygonfeature:5:39425","ZIP Code 33025","country:us/state:fl/zip:33025","33025","31315","3737","464","92","464","3737","274","15752","2098","337","190","27","9","661","488","273","92","5060","188","661","1639","324","83","215","31315","15563","273"
"publicpolygonfeature:5:39437","ZIP Code 33026","country:us/state:fl/zip:33026","33026","11574","1173","60","25","60","1173","0","5480","674","0","60","0","25","0","188","26","25","2435","162","0","499","0","0","119","11574","6094","69"
"publicpolygonfeature:5:39438","ZIP Code 33027","country:us/state:fl/zip:33027","33027","24242","1822","195","65","195","1822","53","11407","1056","325","142","0","42","430","621","48","65","4478","573","430","766","105","23","380","24242","12835","241"
"publicpolygonfeature:5:39439","ZIP Code 33028","country:us/state:fl/zip:33028","33028","10681","1729","38","0","38","1729","0","4952","779","52","38","0","0","52","203","0","0","2153","203","52","950","0","0","176","10681","5729","27"
"publicpolygonfeature:5:39445","ZIP Code 33029","country:us/state:fl/zip:33029","33029","15094","2373","188","40","188","2373","98","7009","1347","47","90","29","23","91","274","0","40","5561","245","91","1026","44","17","199","15094","8085","75"
"publicpolygonfeature:5:39605","ZIP Code 33160","country:us/state:fl/zip:33160","33160","11473","1378","458","29","458","1378","247","5947","487","402","211","19","15","655","804","256","29","4818","529","655","891","253","14","607","11473","5526","197"
"publicpolygonfeature:5:39623","ZIP Code 33161","country:us/state:fl/zip:33161","33161","17515","2031","684","40","684","2031","294","7777","1070","1277","390","8","19","1926","865","460","40","2188","397","1926","961","649","21","422","17515","9738","443"
"publicpolygonfeature:5:39641","ZIP Code 33162","country:us/state:fl/zip:33162","33162","14034","2533","158","102","158","2533","93","6834","1230","697","65","120","30","1334","759","157","102","1698","482","1334","1303","637","72","424","14034","7200","335"
"publicpolygonfeature:5:39827","ZIP Code 33165","country:us/state:fl/zip:33165","33165","19319","2342","158","61","158","2342","91","9998","1204","201","67","46","0","307","348","128","61","3221","174","307","1138","106","61","142","19319","9321","206"
"publicpolygonfeature:5:39831","ZIP Code 33166","country:us/state:fl/zip:33166","33166","10483","1820","400","130","400","1820","241","4713","789","71","159","0","0","103","230","64","130","2689","166","103","1031","32","130","158","10483","5770","72"
"publicpolygonfeature:5:39860","ZIP Code 33167","country:us/state:fl/zip:33167","33167","8159","894","32","14","32","894","0","3616","503","349","32","0","4","642","298","206","14","635","92","642","391","293","10","179","8159","4543","119"
"publicpolygonfeature:5:39890","ZIP Code 33168","country:us/state:fl/zip:33168","33168","7569","665","45","0","45","665","37","3516","253","276","8","0","0","442","336","309","0","814","27","442","412","166","0","242","7569","4053","94"
"publicpolygonfeature:5:39895","ZIP Code 33169","country:us/state:fl/zip:33169","33169","14534","1804","210","11","210","1804","109","7376","855","267","101","0","0","833","654","370","11","2042","284","833","949","566","11","229","14534","7158","425"
"publicpolygonfeature:5:41403","ZIP Code 33030","country:us/state:fl/zip:33030","33030","11079","3465","141","191","141","3465","63","4843","698","4","78","79","0","124","384","30","191","1162","275","124","2767","120","191","299","11079","6236","85"
"publicpolygonfeature:5:41411","ZIP Code 33031","country:us/state:fl/zip:33031","33031","2461","131","10","26","10","131","10","696","86","3","0","38","26","26","61","0","26","294","23","26","45","23","0","38","2461","1765","23"
"publicpolygonfeature:5:41416","ZIP Code 33032","country:us/state:fl/zip:33032","33032","21671","4009","146","43","146","4009","70","9287","2408","277","76","61","20","744","428","70","43","4040","297","744","1601","467","23","249","21671","12384","179"
"publicpolygonfeature:5:41430","ZIP Code 33035","country:us/state:fl/zip:33035","33035","7045","804","0","0","0","804","0","3438","625","0","0","61","0","78","138","14","0","548","63","78","179","78","0","130","7045","3607","8"
"publicpolygonfeature:5:41513","ZIP Code 33170","country:us/state:fl/zip:33170","33170","5890","1069","74","107","74","1069","25","2720","549","57","49","0","44","172","37","8","107","228","29","172","520","115","63","29","5890","3170","8"
"publicpolygonfeature:5:41519","ZIP Code 33172","country:us/state:fl/zip:33172","33172","16588","1912","47","77","47","1912","28","8268","772","278","19","14","31","621","420","170","77","2539","236","621","1140","343","46","220","16588","8320","200"
