"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","14574","2516","155","56","155","2516","128","6990","1521","180","27","0","30","364","400","173","56","3166","227","364","995","184","26","139","14574","7584","261"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","7291","1040","456","211","456","1040","172","3441","779","171","284","0","42","469","315","54","211","2288","261","469","261","298","169","129","7291","3850","186"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","14656","2698","3","0","3","2698","0","6526","1192","9","3","0","0","60","90","27","0","2624","63","60","1506","51","0","48","14656","8130","42"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","8161","756","79","0","79","756","46","3691","439","0","33","0","0","0","0","0","0","4047","0","0","317","0","0","0","8161","4470","0"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","1122","137","0","0","0","137","0","468","93","0","0","0","0","0","16","0","0","263","16","0","44","0","0","16","1122","654","0"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","128","0","0","0","0","0","0","60","0","0","0","0","0","0","0","0","0","27","0","0","0","0","0","0","128","68","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","559","85","0","0","0","85","0","242","63","0","0","0","0","0","4","0","0","44","4","0","22","0","0","4","559","317","0"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","307","3","0","0","0","3","0","124","0","1","0","0","0","54","0","0","0","87","0","54","3","53","0","0","307","183","0"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","2142","194","38","0","38","194","13","975","34","0","25","0","0","0","3","0","0","367","3","0","160","0","0","3","2142","1167","0"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","703","92","20","0","20","92","20","306","49","0","0","0","0","0","12","0","0","18","12","0","43","0","0","12","703","397","0"
"publicpolygonfeature:5:44529","ZIP Code 37013","country:us/state:tn/zip:37013","37013","38948","6141","253","0","253","6141","125","16587","2722","426","128","0","0","846","388","0","0","7781","388","846","3419","420","0","225","38948","22361","163"
"publicpolygonfeature:5:44530","ZIP Code 37014","country:us/state:tn/zip:37014","37014","1041","92","0","0","0","92","0","368","44","0","0","0","0","0","0","0","0","361","0","0","48","0","0","0","1041","673","0"
"publicpolygonfeature:5:44532","ZIP Code 37015","country:us/state:tn/zip:37015","37015","7336","728","18","0","18","728","18","2995","460","0","0","40","0","0","192","0","0","1104","152","0","268","0","0","152","7336","4341","40"
"publicpolygonfeature:5:44533","ZIP Code 37020","country:us/state:tn/zip:37020","37020","1626","100","99","0","99","100","71","688","66","0","28","0","0","0","36","0","0","572","36","0","34","0","0","0","1626","938","36"
"publicpolygonfeature:5:44535","ZIP Code 37022","country:us/state:tn/zip:37022","37022","2202","207","0","0","0","207","0","1005","35","11","0","0","0","11","47","0","0","327","47","11","172","0","0","39","2202","1197","8"
