"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","905","77","0","0","0","77","0","502","64","0","0","0","0","0","0","0","0","165","0","0","13","0","0","0","905","403","0"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","7038","237","703","37","703","237","492","3238","237","20","211","0","0","110","161","0","37","2462","161","110","0","90","37","120","7038","3800","41"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","1661","135","30","0","30","135","6","722","70","0","24","0","0","4","32","0","0","325","32","4","65","4","0","21","1661","939","11"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","1584","98","26","10","26","98","15","644","47","11","11","0","0","11","65","0","10","497","65","11","51","0","10","57","1584","940","8"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","16212","2439","23","0","23","2439","0","7135","1484","0","23","42","0","24","421","12","0","2336","367","24","955","24","0","404","16212","9077","17"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","9528","459","145","167","145","459","57","4625","237","3","88","11","144","103","237","63","167","3814","163","103","222","100","23","97","9528","4903","140"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","8900","254","206","72","206","254","69","3949","166","0","137","0","0","70","93","21","72","3381","72","70","88","70","72","84","8900","4951","9"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","6026","941","84","74","84","941","69","2667","406","442","15","0","7","708","158","63","74","896","95","708","535","266","67","35","6026","3359","123"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","10456","793","69","154","69","793","39","4966","206","77","30","28","70","150","219","11","154","3025","180","150","587","73","84","56","10456","5490","163"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","12631","3149","287","190","287","3149","252","6045","1276","211","35","10","115","576","177","28","190","2098","139","576","1873","365","75","132","12631","6586","45"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","18709","2486","258","24","258","2486","67","9625","1315","415","191","0","0","949","994","426","24","2920","568","949","1171","534","24","514","18709","9084","480"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","8648","2071","191","73","191","2071","65","3926","926","209","126","0","20","431","369","185","73","1246","184","431","1145","222","53","108","8648","4722","261"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","12850","1879","629","57","629","1879","90","6488","863","125","539","21","33","183","283","87","57","2471","175","183","1016","58","24","118","12850","6362","165"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","13117","3261","182","27","182","3261","74","6322","1709","186","108","0","0","487","546","211","27","2246","335","487","1552","301","27","188","13117","6795","358"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","13305","1528","78","0","78","1528","33","5949","925","50","45","20","0","124","268","42","0","2855","206","124","603","74","0","187","13305","7356","81"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","3411","218","182","12","182","218","56","1332","34","7","126","0","0","16","0","0","12","1780","0","16","184","9","12","0","3411","2079","0"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","14024","1674","196","12","196","1674","120","5995","780","44","76","0","4","183","261","10","12","2837","251","183","894","139","8","167","14024","8029","94"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","18719","3102","323","0","323","3102","134","9313","2003","627","189","0","0","1395","949","243","0","2906","706","1395","1099","768","0","613","18719","9406","336"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","11176","1085","296","36","296","1085","177","4801","460","41","119","0","36","101","311","102","36","2892","209","101","625","60","0","217","11176","6375","94"
