"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","1716","283","9","0","9","283","0","928","78","35","9","0","0","41","34","13","0","315","21","41","205","6","0","24","1716","788","10"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","9068","1040","134","20","134","1040","75","4430","622","206","59","0","7","680","266","0","20","4354","266","680","418","474","13","196","9068","4638","70"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","2847","289","126","15","126","289","77","1407","216","88","49","0","7","149","46","21","15","691","25","149","73","61","8","25","2847","1440","21"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","513","0","9","0","9","0","9","145","0","0","0","0","0","0","61","0","0","12","61","0","0","0","0","0","513","368","61"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","7500","786","244","0","244","786","79","3604","332","250","165","0","0","431","55","0","0","2462","55","431","454","181","0","32","7500","3896","23"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","4949","539","34","0","34","539","34","2484","261","0","0","0","0","17","17","0","0","530","17","17","278","17","0","17","4949","2465","0"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","2415","161","38","0","38","161","0","1212","62","16","38","0","0","27","39","0","0","322","39","27","99","11","0","0","2415","1203","39"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","173","29","0","0","0","29","0","55","0","0","0","0","0","0","0","0","0","0","0","0","29","0","0","0","173","118","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","5750","358","155","0","155","358","75","2721","105","102","80","0","0","202","79","0","0","877","79","202","253","100","0","18","5750","3029","61"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","4307","545","28","18","28","545","10","2147","261","176","18","0","0","255","52","0","18","679","52","255","284","79","18","14","4307","2160","38"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","23","0","11","0","11","0","11","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","23","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","16140","1500","235","12","235","1500","188","8124","680","284","47","0","12","656","330","98","12","3233","232","656","820","372","0","288","16140","8016","42"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","6859","1653","287","0","287","1653","242","2836","1036","0","45","12","0","0","168","0","0","674","156","0","617","0","0","104","6859","4023","64"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","13515","1304","151","93","151","1304","73","6421","700","244","78","6","40","636","171","0","93","2428","165","636","604","392","53","119","13515","7094","52"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","355","9","6","0","6","9","6","204","2","0","0","0","0","0","14","14","0","107","0","0","7","0","0","8","355","151","6"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","974","26","0","0","0","26","0","439","15","12","0","0","0","12","0","0","0","338","0","12","11","0","0","0","974","535","0"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","17985","2400","547","0","547","2400","315","8782","977","355","232","0","0","816","659","387","0","2242","272","816","1423","461","0","287","17985","9203","372"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","2959","114","9","0","9","114","9","1272","93","54","0","0","0","149","0","0","0","627","0","149","21","95","0","0","2959","1687","0"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","261","0","0","0","0","0","0","166","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","261","95","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","689","53","2","28","2","53","1","349","7","17","1","0","28","50","31","0","28","178","31","50","46","33","0","31","689","340","0"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","1771","73","15","0","15","73","5","705","45","11","10","0","0","47","0","0","0","308","0","47","28","36","0","0","1771","1066","0"
