"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","5200","1071","59","28","59","1071","59","2508","389","218","0","65","0","313","143","10","28","477","68","313","682","95","28","121","5200","2692","22"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","444","19","158","46","158","19","138","214","0","0","20","0","7","12","89","0","46","151","89","12","19","12","39","89","444","230","0"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","10991","3386","648","134","648","3386","475","4832","1443","698","173","26","31","1596","257","0","134","665","231","1596","1943","898","103","142","10991","6159","115"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","1026","202","79","0","79","202","44","419","51","42","35","0","0","82","43","33","0","87","10","82","151","40","0","0","1026","607","43"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","4277","1147","57","0","57","1147","46","1879","430","346","11","0","0","652","52","17","0","541","35","652","717","306","0","32","4277","2398","20"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","14007","3509","206","0","206","3509","123","6756","1484","172","83","28","0","328","297","53","0","1044","216","328","2025","156","0","261","14007","7251","36"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","11873","2616","716","25","716","2616","349","5361","1349","516","367","96","0","698","809","366","25","2182","347","698","1267","182","25","565","11873","6512","244"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","14558","1822","334","14","334","1822","185","6574","862","62","149","0","0","308","186","97","14","4313","89","308","960","246","14","123","14558","7984","63"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","9626","2535","184","11","184","2535","98","4457","791","188","86","5","0","505","305","24","11","1197","276","505","1744","317","11","127","9626","5169","178"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","9323","896","353","0","353","896","161","4405","546","140","192","13","0","315","316","0","0","1305","303","315","350","175","0","172","9323","4918","144"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","8654","1719","117","0","117","1719","21","3654","1178","38","96","0","0","178","107","43","0","1253","64","178","541","140","0","95","8654","5000","12"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","19559","3200","587","38","587","3200","363","9245","1539","391","224","0","17","534","533","219","38","4983","314","534","1661","143","21","345","19559","10314","188"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","9652","2604","164","8","164","2604","0","3997","1164","50","164","6","0","124","136","0","8","794","130","124","1440","74","8","85","9652","5655","51"
"publicpolygonfeature:5:59629","ZIP Code 78243","country:us/state:tx/zip:78243","78243","23","13","32","0","32","13","21","0","0","0","11","0","0","0","24","0","0","134","24","0","13","0","0","0","23","23","24"
"publicpolygonfeature:5:59668","ZIP Code 78002","country:us/state:tx/zip:78002","78002","2273","387","0","0","0","387","0","753","150","0","0","15","0","0","125","0","0","107","110","0","237","0","0","15","2273","1520","110"
"publicpolygonfeature:5:59669","ZIP Code 78003","country:us/state:tx/zip:78003","78003","3000","362","34","0","34","362","15","1506","169","0","19","0","0","0","107","0","0","278","107","0","193","0","0","54","3000","1494","53"
"publicpolygonfeature:5:59670","ZIP Code 78004","country:us/state:tx/zip:78004","78004","143","46","0","0","0","46","0","67","46","0","0","0","0","0","0","0","0","98","0","0","0","0","0","0","143","76","0"
"publicpolygonfeature:5:59672","ZIP Code 78008","country:us/state:tx/zip:78008","78008","0","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","7","34","0","0","0","0","34","0","0","0"
"publicpolygonfeature:5:59673","ZIP Code 78006","country:us/state:tx/zip:78006","78006","13310","1382","132","0","132","1382","89","5641","742","0","43","34","0","0","328","0","0","4350","294","0","640","0","0","147","13310","7669","181"
"publicpolygonfeature:5:59675","ZIP Code 78009","country:us/state:tx/zip:78009","78009","3133","514","92","0","92","514","59","1037","354","1","33","0","0","1","65","0","0","420","65","1","160","0","0","43","3133","2096","22"
"publicpolygonfeature:5:59677","ZIP Code 78015","country:us/state:tx/zip:78015","78015","7003","791","26","0","26","791","0","3004","431","0","26","0","0","0","144","0","0","3356","144","0","360","0","0","33","7003","3999","111"
"publicpolygonfeature:5:59678","ZIP Code 78011","country:us/state:tx/zip:78011","78011","531","78","0","0","0","78","0","252","7","0","0","0","0","0","45","0","0","32","45","0","71","0","0","45","531","279","0"
"publicpolygonfeature:5:59679","ZIP Code 78012","country:us/state:tx/zip:78012","78012","85","11","0","0","0","11","0","34","3","0","0","0","0","12","0","0","0","0","0","12","8","12","0","0","85","51","0"
"publicpolygonfeature:5:59680","ZIP Code 78016","country:us/state:tx/zip:78016","78016","3640","251","170","0","170","251","125","1607","61","0","45","0","0","0","18","0","0","812","18","0","190","0","0","18","3640","2033","0"
"publicpolygonfeature:5:59681","ZIP Code 78013","country:us/state:tx/zip:78013","78013","1488","257","97","0","97","257","50","630","32","0","47","0","0","0","21","0","0","414","21","0","225","0","0","21","1488","858","0"
"publicpolygonfeature:5:59686","ZIP Code 78121","country:us/state:tx/zip:78121","78121","6022","765","12","0","12","765","0","2794","343","0","12","16","0","0","79","0","0","1268","63","0","422","0","0","45","6022","3228","34"
"publicpolygonfeature:5:59688","ZIP Code 78023","country:us/state:tx/zip:78023","78023","8914","1452","200","0","200","1452","34","3930","791","0","166","23","0","43","157","0","0","3264","134","43","661","43","0","81","8914","4984","76"
"publicpolygonfeature:5:59694","ZIP Code 78026","country:us/state:tx/zip:78026","78026","2345","269","50","12","50","269","25","1022","97","0","25","45","0","0","45","0","12","322","0","0","172","0","12","45","2345","1323","0"
