"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","2775","330","2512","207","2512","330","1222","1502","182","1301","1290","0","22","2401","510","116","207","4391","394","2401","148","1100","185","209","2775","1273","301"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","9097","2593","255","163","255","2593","69","3886","1255","1570","186","4","0","3116","174","52","163","3041","118","3116","1338","1546","163","82","9097","5211","92"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","1203","360","1520","200","1520","360","720","484","259","662","800","30","30","1336","113","21","200","2802","62","1336","101","674","170","65","1203","719","48"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","9560","1217","164","0","164","1217","67","4004","558","431","97","9","0","917","463","56","0","6072","398","917","659","486","0","258","9560","5556","205"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","7005","1156","570","52","570","1156","265","3491","543","364","305","20","43","992","119","6","52","3638","93","992","613","628","9","82","7005","3514","37"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","10278","2472","614","89","614","2472","427","4283","946","281","187","0","25","1055","275","91","89","3421","184","1055","1526","774","64","132","10278","5995","143"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","2882","411","84","31","84","411","61","1180","243","86","23","0","19","204","23","0","31","2181","23","204","168","118","12","8","2882","1702","15"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","1668","413","181","220","181","413","92","790","196","291","89","23","25","626","65","0","220","2904","42","626","217","335","195","28","1668","878","37"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","14191","2327","728","318","728","2327","344","6932","1253","391","384","0","10","812","234","123","318","4084","111","812","1074","421","308","122","14191","7259","112"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","304","121","667","54","667","121","397","132","15","274","270","0","11","344","51","0","54","844","51","344","106","70","43","28","304","172","23"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","16671","4552","717","391","717","4552","280","7099","2259","4690","437","222","79","9167","1348","113","391","7471","1013","9167","2293","4477","312","655","16671","9572","693"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","119","24","0","0","0","24","0","44","24","0","0","0","0","0","0","0","0","13","0","0","0","0","0","0","119","75","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","1228","189","103","13","103","189","29","409","90","19","74","0","13","46","39","6","13","1107","33","46","99","27","0","15","1228","819","24"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","4321","768","1105","880","1105","768","519","1608","364","1788","586","94","291","4468","738","147","880","9212","497","4468","404","2680","589","468","4321","2713","270"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","4420","1031","1446","553","1446","1031","745","2050","583","2003","701","41","176","3860","1044","338","553","7320","665","3860","448","1857","377","518","4420","2370","526"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","9109","1681","665","526","665","1681","321","4604","701","1934","344","10","135","3411","292","91","526","5833","191","3411","980","1477","391","142","9109","4505","150"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","13408","3339","887","101","887","3339","486","5442","1645","1705","401","73","41","3120","591","77","101","3505","441","3120","1694","1415","60","335","13408","7966","256"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","19496","4111","569","100","569","4111","213","8783","2352","2041","356","42","18","3648","787","91","100","5799","654","3648","1759","1607","82","431","19496","10713","356"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","4756","824","2114","1501","2114","824","1023","1961","502","2323","1091","193","413","5148","654","105","1501","9338","356","5148","322","2825","1088","339","4756","2795","315"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","6445","973","1276","684","1276","973","489","3079","526","2429","787","67","267","4648","634","184","684","7883","383","4648","447","2219","417","344","6445","3366","290"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","7203","850","274","68","274","850","129","3352","380","222","145","3","13","650","112","0","68","4630","109","650","470","428","55","48","7203","3851","64"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","846","396","0","0","0","396","0","320","223","110","0","12","0","174","32","0","0","762","20","174","173","64","0","12","846","526","20"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","11059","907","898","171","898","907","442","4707","537","534","456","121","30","1054","507","46","171","6125","340","1054","370","520","141","298","11059","6352","209"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","3954","372","296","61","296","372","153","2061","160","34","143","0","22","54","114","0","61","1804","114","54","212","20","39","62","3954","1893","52"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","561","71","66","0","66","71","31","368","0","0","35","0","0","0","0","0","0","302","0","0","71","0","0","0","561","193","0"
"publicpolygonfeature:5:63550","ZIP Code 94025","country:us/state:ca/zip:94025","94025","9784","1105","391","1552","391","1105","184","4060","483","205","207","38","659","387","252","29","1552","6787","185","387","622","182","893","152","9784","5724","100"
"publicpolygonfeature:5:63551","ZIP Code 94028","country:us/state:ca/zip:94028","94028","1263","54","65","56","65","54","38","535","0","0","27","0","0","26","0","0","56","1215","0","26","54","26","56","0","1263","728","0"
"publicpolygonfeature:5:63552","ZIP Code 94030","country:us/state:ca/zip:94030","94030","6620","903","152","43","152","903","79","3183","482","400","73","20","0","838","162","44","43","2494","98","838","421","438","43","88","6620","3437","74"
"publicpolygonfeature:5:63553","ZIP Code 94037","country:us/state:ca/zip:94037","94037","796","145","0","0","0","145","0","212","145","0","0","0","0","0","100","0","0","420","100","0","0","0","0","100","796","584","0"
"publicpolygonfeature:5:63554","ZIP Code 94038","country:us/state:ca/zip:94038","94038","834","55","2","23","2","55","2","432","34","0","0","0","23","34","13","0","23","335","13","34","21","34","0","13","834","402","0"
"publicpolygonfeature:5:63557","ZIP Code 94044","country:us/state:ca/zip:94044","94044","12352","1394","251","48","251","1394","124","5560","897","305","127","127","21","748","428","97","48","4694","204","748","497","443","27","283","12352","6792","145"
"publicpolygonfeature:5:63558","ZIP Code 94060","country:us/state:ca/zip:94060","94060","429","227","6","0","6","227","0","209","122","0","6","0","0","0","0","0","0","147","0","0","105","0","0","0","429","220","0"
"publicpolygonfeature:5:63559","ZIP Code 94061","country:us/state:ca/zip:94061","94061","11273","1785","304","330","304","1785","140","4624","1037","224","164","0","45","356","220","8","330","4539","212","356","748","132","285","78","11273","6649","142"
"publicpolygonfeature:5:63560","ZIP Code 94121","country:us/state:ca/zip:94121","94121","7519","1716","938","709","938","1716","401","3562","1107","1590","537","131","325","3356","520","69","709","7378","320","3356","609","1766","384","310","7519","3957","210"
"publicpolygonfeature:5:63561","ZIP Code 94062","country:us/state:ca/zip:94062","94062","6854","575","240","171","240","575","113","3342","382","191","127","0","90","302","15","0","171","4633","15","302","193","111","81","10","6854","3512","5"
"publicpolygonfeature:5:63562","ZIP Code 94122","country:us/state:ca/zip:94122","94122","10319","2111","2141","736","2141","2111","890","4636","1053","2787","1251","176","211","4832","1057","59","736","8210","822","4832","1058","2045","525","573","10319","5683","484"
"publicpolygonfeature:5:63563","ZIP Code 94070","country:us/state:ca/zip:94070","94070","8288","660","182","253","182","660","83","3796","318","283","99","8","147","491","385","7","253","5635","370","491","342","208","106","188","8288","4492","197"
"publicpolygonfeature:5:63564","ZIP Code 94074","country:us/state:ca/zip:94074","94074","68","11","0","0","0","11","0","35","11","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","68","33","0"
"publicpolygonfeature:5:63565","ZIP Code 94080","country:us/state:ca/zip:94080","94080","21225","4031","650","277","650","4031","349","9708","1916","1060","301","60","77","1916","538","142","277","6071","336","1916","2115","856","200","225","21225","11517","313"
"publicpolygonfeature:5:63570","ZIP Code 94102","country:us/state:ca/zip:94102","94102","2892","223","3956","1125","3956","223","2410","1178","91","2000","1546","156","253","5620","645","194","1125","4526","295","5620","132","3620","872","413","2892","1714","232"
"publicpolygonfeature:5:63571","ZIP Code 94103","country:us/state:ca/zip:94103","94103","3550","701","3190","1070","3190","701","1940","1360","418","1979","1250","28","278","5211","1051","152","1070","6287","871","5211","283","3232","792","629","3550","2190","422"
"publicpolygonfeature:5:63572","ZIP Code 94104","country:us/state:ca/zip:94104","94104","13","0","80","0","80","0","64","0","0","28","16","0","0","55","0","0","0","28","0","55","0","27","0","0","13","13","0"
"publicpolygonfeature:5:63573","ZIP Code 94105","country:us/state:ca/zip:94105","94105","1301","97","3774","258","3774","97","2140","441","48","586","1634","31","81","1109","211","75","258","3842","105","1109","49","523","177","83","1301","860","128"
"publicpolygonfeature:5:63574","ZIP Code 94107","country:us/state:ca/zip:94107","94107","4322","632","3518","867","3518","632","1990","1801","431","1817","1528","111","239","3286","949","312","867","7230","526","3286","201","1469","628","642","4322","2521","307"
"publicpolygonfeature:5:63575","ZIP Code 94108","country:us/state:ca/zip:94108","94108","848","191","1808","14","1808","191","913","426","61","624","895","13","0","936","164","21","14","1792","130","936","130","312","14","96","848","422","68"
"publicpolygonfeature:5:63576","ZIP Code 94109","country:us/state:ca/zip:94109","94109","5272","1128","7368","996","7368","1128","3537","2164","785","3456","3831","169","295","6797","1584","437","996","10884","978","6797","343","3341","701","916","5272","3108","668"
"publicpolygonfeature:5:63577","ZIP Code 94110","country:us/state:ca/zip:94110","94110","10874","2004","1963","2629","1963","2004","1125","4727","1297","3614","838","244","886","7791","841","223","2629","13134","374","7791","707","4177","1743","362","10874","6147","479"
"publicpolygonfeature:5:63578","ZIP Code 94123","country:us/state:ca/zip:94123","94123","3889","935","546","620","546","935","282","1495","527","1145","264","36","115","2174","581","221","620","6848","324","2174","408","1029","505","321","3889","2394","260"
"publicpolygonfeature:5:63579","ZIP Code 94124","country:us/state:ca/zip:94124","94124","7535","2028","346","268","346","2028","168","3558","858","1301","178","91","105","2382","286","99","268","2209","96","2382","1170","1081","163","174","7535","3977","112"
"publicpolygonfeature:5:63580","ZIP Code 94127","country:us/state:ca/zip:94127","94127","3976","442","130","165","130","442","53","1523","235","711","77","24","69","1252","74","12","165","3612","38","1252","207","541","96","38","3976","2453","36"
"publicpolygonfeature:5:63581","ZIP Code 94128","country:us/state:ca/zip:94128","94128","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63582","ZIP Code 94129","country:us/state:ca/zip:94129","94129","929","104","121","132","121","104","71","462","62","38","50","0","53","114","28","0","132","601","28","114","42","76","79","10","929","467","18"
"publicpolygonfeature:5:63583","ZIP Code 94130","country:us/state:ca/zip:94130","94130","403","77","104","38","104","77","21","135","18","232","83","0","0","349","55","6","38","229","49","349","59","117","38","26","403","268","29"
"publicpolygonfeature:5:63584","ZIP Code 94131","country:us/state:ca/zip:94131","94131","5349","924","426","453","426","924","167","2370","516","1014","259","98","245","2489","384","114","453","6572","172","2489","408","1475","208","219","5349","2979","165"
"publicpolygonfeature:5:63585","ZIP Code 94132","country:us/state:ca/zip:94132","94132","5437","1189","937","160","937","1189","400","2472","566","988","537","46","27","1703","253","101","160","3084","106","1703","623","715","133","159","5437","2965","94"
"publicpolygonfeature:5:63586","ZIP Code 94303","country:us/state:ca/zip:94303","94303","14084","2258","302","899","302","2258","133","6738","1067","332","169","70","229","419","730","36","899","4980","624","419","1191","87","670","341","14084","7346","389"
"publicpolygonfeature:5:63590","ZIP Code 94401","country:us/state:ca/zip:94401","94401","11250","1657","354","113","354","1657","182","4296","802","689","172","21","38","962","423","34","113","3880","368","962","855","273","75","248","11250","6954","175"
"publicpolygonfeature:5:63592","ZIP Code 94402","country:us/state:ca/zip:94402","94402","7368","620","425","74","425","620","150","3553","307","168","275","0","9","346","185","10","74","3771","175","346","313","178","65","60","7368","3815","125"
"publicpolygonfeature:5:63593","ZIP Code 94403","country:us/state:ca/zip:94403","94403","12996","1523","702","87","702","1523","431","6073","871","530","271","0","0","1370","723","40","87","5971","683","1370","652","840","87","443","12996","6923","280"
"publicpolygonfeature:5:63594","ZIP Code 94404","country:us/state:ca/zip:94404","94404","9656","1340","370","159","370","1340","196","4412","719","205","174","10","23","509","211","37","159","6255","164","509","621","304","136","112","9656","5244","99"
"publicpolygonfeature:5:63595","ZIP Code 94501","country:us/state:ca/zip:94501","94501","14103","2273","1046","737","1046","2273","448","6946","1152","1506","598","84","235","3195","289","13","737","10288","192","3195","1121","1689","502","206","14103","7157","83"
"publicpolygonfeature:5:63596","ZIP Code 94502","country:us/state:ca/zip:94502","94502","2806","354","141","128","141","354","13","1332","226","233","128","0","5","633","56","18","128","2204","38","633","128","400","123","0","2806","1474","56"
"publicpolygonfeature:5:63598","ZIP Code 94509","country:us/state:ca/zip:94509","94509","20958","5522","407","51","407","5522","77","9932","2519","847","330","86","19","1617","378","0","51","2917","292","1617","3003","770","32","116","20958","11026","262"
"publicpolygonfeature:5:63599","ZIP Code 94505","country:us/state:ca/zip:94505","94505","4497","621","32","0","32","621","31","2020","276","15","1","11","0","15","114","0","0","1517","103","15","345","0","0","105","4497","2477","9"
"publicpolygonfeature:5:63600","ZIP Code 94506","country:us/state:ca/zip:94506","94506","5473","876","383","27","383","876","241","2160","345","104","142","0","0","348","163","0","27","4762","163","348","531","244","27","26","5473","3313","137"
"publicpolygonfeature:5:63601","ZIP Code 94507","country:us/state:ca/zip:94507","94507","3406","510","142","19","142","510","88","1277","295","71","54","9","0","145","93","0","19","2021","84","145","215","74","19","80","3406","2129","13"
"publicpolygonfeature:5:63605","ZIP Code 94511","country:us/state:ca/zip:94511","94511","299","42","0","0","0","42","0","27","20","0","0","0","0","0","0","0","0","59","0","0","22","0","0","0","299","272","0"
"publicpolygonfeature:5:63607","ZIP Code 94518","country:us/state:ca/zip:94518","94518","7855","1111","408","57","408","1111","326","4219","622","392","82","41","0","928","226","0","57","2500","185","928","489","536","57","173","7855","3636","53"
"publicpolygonfeature:5:63608","ZIP Code 94519","country:us/state:ca/zip:94519","94519","5735","757","70","0","70","757","66","2251","356","296","4","3","0","624","56","0","0","1745","53","624","401","328","0","28","5735","3484","28"
"publicpolygonfeature:5:63609","ZIP Code 94929","country:us/state:ca/zip:94929","94929","9","23","0","0","0","23","0","9","23","0","0","0","0","0","0","0","0","82","0","0","0","0","0","0","9","0","0"
"publicpolygonfeature:5:63610","ZIP Code 94513","country:us/state:ca/zip:94513","94513","20733","3064","959","74","959","3064","628","9054","1849","177","331","59","0","472","167","17","74","5564","91","472","1215","295","74","127","20733","11679","40"
"publicpolygonfeature:5:63611","ZIP Code 94514","country:us/state:ca/zip:94514","94514","642","104","56","0","56","104","29","299","24","2","27","0","0","2","0","0","0","26","0","2","80","0","0","0","642","343","0"
"publicpolygonfeature:5:63612","ZIP Code 94566","country:us/state:ca/zip:94566","94566","11962","1624","344","136","344","1624","209","5363","740","299","135","17","12","986","297","0","136","5969","280","986","884","687","124","195","11962","6599","102"
"publicpolygonfeature:5:63614","ZIP Code 94516","country:us/state:ca/zip:94516","94516","90","0","0","0","0","0","0","26","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0","90","64","0"
"publicpolygonfeature:5:63615","ZIP Code 94517","country:us/state:ca/zip:94517","94517","3649","359","89","17","89","359","55","1412","260","26","34","72","0","74","104","0","17","1114","32","74","99","48","17","104","3649","2237","0"
"publicpolygonfeature:5:63616","ZIP Code 94520","country:us/state:ca/zip:94520","94520","11440","2684","626","87","626","2684","350","4915","993","492","276","130","28","1196","567","72","87","2135","365","1196","1691","704","59","404","11440","6525","163"
"publicpolygonfeature:5:63617","ZIP Code 94521","country:us/state:ca/zip:94521","94521","12919","1734","260","223","260","1734","117","5942","905","375","143","0","138","948","332","33","223","4455","299","948","829","573","85","177","12919","6977","155"
"publicpolygonfeature:5:63618","ZIP Code 94523","country:us/state:ca/zip:94523","94523","9272","1971","493","115","493","1971","232","4091","1154","481","261","11","9","859","226","0","115","4615","215","859","817","378","106","116","9272","5181","110"
"publicpolygonfeature:5:63619","ZIP Code 94525","country:us/state:ca/zip:94525","94525","896","82","42","0","42","82","32","477","9","98","10","14","0","98","73","0","0","417","59","98","73","0","0","66","896","419","7"
"publicpolygonfeature:5:63621","ZIP Code 94526","country:us/state:ca/zip:94526","94526","7992","305","307","56","307","305","162","3423","140","154","145","24","0","477","82","0","56","5546","58","477","165","323","56","68","7992","4569","14"
"publicpolygonfeature:5:63622","ZIP Code 94528","country:us/state:ca/zip:94528","94528","221","73","43","0","43","73","43","53","48","40","0","0","0","40","0","0","0","31","0","40","25","0","0","0","221","168","0"
"publicpolygonfeature:5:63623","ZIP Code 94530","country:us/state:ca/zip:94530","94530","5500","796","377","193","377","796","144","2698","464","1016","233","54","31","2146","294","157","193","4447","83","2146","332","1130","162","191","5500","2802","103"
"publicpolygonfeature:5:63624","ZIP Code 94531","country:us/state:ca/zip:94531","94531","14632","2544","102","0","102","2544","28","7048","1565","442","74","16","0","986","200","0","0","3977","184","986","979","544","0","83","14632","7584","117"
"publicpolygonfeature:5:63628","ZIP Code 94536","country:us/state:ca/zip:94536","94536","20546","2537","474","62","474","2537","246","8829","1153","631","228","118","11","1141","284","21","62","10363","145","1141","1384","510","51","229","20546","11717","55"
"publicpolygonfeature:5:63630","ZIP Code 94538","country:us/state:ca/zip:94538","94538","19093","2780","553","200","553","2780","337","8407","1279","769","216","55","27","1572","696","59","200","10206","582","1572","1501","803","173","321","19093","10686","375"
"publicpolygonfeature:5:63631","ZIP Code 94539","country:us/state:ca/zip:94539","94539","12316","1792","139","111","139","1792","57","5228","830","266","82","20","22","710","265","5","111","10017","240","710","962","444","89","87","12316","7088","178"
"publicpolygonfeature:5:63632","ZIP Code 94541","country:us/state:ca/zip:94541","94541","21933","3801","380","250","380","3801","133","9610","1769","702","247","130","47","1280","791","43","250","4590","618","1280","2032","578","203","575","21933","12323","216"
"publicpolygonfeature:5:63633","ZIP Code 94542","country:us/state:ca/zip:94542","94542","4682","696","170","5","170","696","55","1947","285","175","115","0","0","307","48","15","5","1522","33","307","411","132","5","15","4682","2735","33"
"publicpolygonfeature:5:63634","ZIP Code 94544","country:us/state:ca/zip:94544","94544","25248","5282","497","116","497","5282","310","10737","2465","1190","187","62","42","1932","507","97","116","4657","348","1932","2817","742","74","188","25248","14511","319"
"publicpolygonfeature:5:63635","ZIP Code 94545","country:us/state:ca/zip:94545","94545","10430","2064","98","44","98","2064","26","4547","1131","137","72","13","35","328","254","0","44","2137","241","328","933","191","9","109","10430","5883","145"
"publicpolygonfeature:5:63636","ZIP Code 94546","country:us/state:ca/zip:94546","94546","13887","1713","400","177","400","1713","167","6567","1012","340","233","59","18","849","277","15","177","4843","203","849","701","509","159","182","13887","7320","95"
"publicpolygonfeature:5:63637","ZIP Code 94547","country:us/state:ca/zip:94547","94547","8117","880","51","21","51","880","17","4105","474","484","34","30","0","1170","217","0","21","2457","187","1170","406","686","21","82","8117","4012","135"
"publicpolygonfeature:5:63638","ZIP Code 94548","country:us/state:ca/zip:94548","94548","154","137","0","0","0","137","0","14","137","0","0","0","0","37","0","0","0","77","0","37","0","37","0","0","154","140","0"
"publicpolygonfeature:5:63640","ZIP Code 94549","country:us/state:ca/zip:94549","94549","5698","263","329","97","329","263","214","2582","133","544","115","0","6","1277","91","0","97","5363","91","1277","130","733","91","46","5698","3116","45"
"publicpolygonfeature:5:63641","ZIP Code 94551","country:us/state:ca/zip:94551","94551","12921","1705","100","113","100","1705","42","5571","596","229","58","12","32","406","186","0","113","4238","174","406","1109","177","81","36","12921","7350","150"
"publicpolygonfeature:5:63642","ZIP Code 94578","country:us/state:ca/zip:94578","94578","13596","2323","235","111","235","2323","88","5670","1242","1056","147","26","10","1949","434","49","111","1944","359","1949","1081","893","101","166","13596","7926","268"
"publicpolygonfeature:5:63643","ZIP Code 94550","country:us/state:ca/zip:94550","94550","15678","2033","185","345","185","2033","112","6936","965","375","73","157","104","680","428","21","345","5503","250","680","1068","305","241","288","15678","8742","140"
"publicpolygonfeature:5:63644","ZIP Code 94552","country:us/state:ca/zip:94552","94552","4394","392","65","23","65","392","29","2231","225","165","36","0","0","308","40","0","23","1586","40","308","167","143","23","33","4394","2163","7"
"publicpolygonfeature:5:63645","ZIP Code 94553","country:us/state:ca/zip:94553","94553","15500","1502","639","66","639","1502","116","6934","608","401","523","67","28","719","305","62","66","5035","176","719","894","318","38","176","15500","8566","129"
"publicpolygonfeature:5:63646","ZIP Code 94556","country:us/state:ca/zip:94556","94556","3101","408","243","12","243","408","116","1477","258","198","127","20","8","294","79","6","12","2770","53","294","150","96","4","76","3101","1624","3"
"publicpolygonfeature:5:63649","ZIP Code 94560","country:us/state:ca/zip:94560","94560","15578","2547","203","247","203","2547","102","6608","1201","393","101","86","86","1085","397","81","247","5992","230","1085","1346","692","161","202","15578","8970","195"
"publicpolygonfeature:5:63650","ZIP Code 94561","country:us/state:ca/zip:94561","94561","16501","1956","100","24","100","1956","48","7155","873","156","52","0","0","277","106","17","24","3779","89","277","1083","121","24","25","16501","9346","81"
"publicpolygonfeature:5:63651","ZIP Code 94563","country:us/state:ca/zip:94563","94563","3796","224","32","24","32","224","32","1680","137","417","0","89","0","1062","161","7","24","3444","65","1062","87","645","24","132","3796","2116","29"
"publicpolygonfeature:5:63652","ZIP Code 94564","country:us/state:ca/zip:94564","94564","5767","1058","62","37","62","1058","44","2594","475","278","18","29","37","482","80","30","37","1547","21","482","583","204","0","59","5767","3173","21"
"publicpolygonfeature:5:63653","ZIP Code 94565","country:us/state:ca/zip:94565","94565","32154","7412","261","41","261","7412","143","15001","3219","1511","118","30","0","2440","358","37","41","3856","291","2440","4193","929","41","200","32154","17153","158"
"publicpolygonfeature:5:63655","ZIP Code 94568","country:us/state:ca/zip:94568","94568","18110","2412","766","70","766","2412","588","8031","1089","741","178","42","14","1969","590","55","70","12718","493","1969","1323","1228","56","288","18110","10079","302"
"publicpolygonfeature:5:63656","ZIP Code 94569","country:us/state:ca/zip:94569","94569","40","0","10","18","10","0","10","10","0","0","0","0","0","0","0","0","18","32","0","0","0","0","18","0","40","30","0"
"publicpolygonfeature:5:63657","ZIP Code 94579","country:us/state:ca/zip:94579","94579","6395","1030","41","6","41","1030","0","3090","613","90","41","0","0","351","209","21","6","1783","188","351","417","261","6","61","6395","3305","148"
"publicpolygonfeature:5:63659","ZIP Code 94572","country:us/state:ca/zip:94572","94572","2680","429","52","55","52","429","50","1311","129","112","2","13","0","204","147","75","55","543","59","204","300","92","55","117","2680","1369","30"
"publicpolygonfeature:5:63661","ZIP Code 94580","country:us/state:ca/zip:94580","94580","10889","1752","87","18","87","1752","7","5088","844","404","80","0","0","718","182","109","18","1279","73","718","908","314","18","124","10889","5801","58"
"publicpolygonfeature:5:63662","ZIP Code 94582","country:us/state:ca/zip:94582","94582","11699","1245","305","11","305","1245","262","5327","620","380","43","40","0","956","285","0","11","8476","245","956","625","576","11","145","11699","6372","140"
"publicpolygonfeature:5:63664","ZIP Code 94575","country:us/state:ca/zip:94575","94575","48","10","155","0","155","10","75","41","0","6","80","0","0","6","13","6","0","65","7","6","10","0","0","1","48","7","12"
"publicpolygonfeature:5:63666","ZIP Code 94577","country:us/state:ca/zip:94577","94577","13735","2827","686","127","686","2827","375","6213","1473","1077","311","0","13","2341","283","101","127","4215","182","2341","1354","1264","114","127","13735","7522","156"
"publicpolygonfeature:5:63667","ZIP Code 94583","country:us/state:ca/zip:94583","94583","11738","798","309","124","309","798","146","5024","339","218","163","0","8","499","381","57","124","6119","324","499","459","281","116","163","11738","6714","218"
"publicpolygonfeature:5:63668","ZIP Code 94586","country:us/state:ca/zip:94586","94586","287","17","2","0","2","17","0","117","10","0","2","0","0","3","0","0","0","119","0","3","7","3","0","0","287","170","0"
