"feature id","feature label","shid","geoid","People Commuting to Work by Drive Alone (2020-2024)","People Commuting to Work by Drive Carpool (2020-2024)","People Commuting to Work by Walk (2020-2024)","People Commuting to Work by Bicycle (2020-2024)","Commute Transportation by Walk (2020-2024)","Commute Transportation by Drive Carpool (2020-2024)","Male Commuting to Work by Walk (2020-2024)","Female Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Drive Carpool (2020-2024)","Female Commuting to Work by Public Transit (2020-2024)","Female Commuting to Work by Walk (2020-2024)","Commute Transportation by Motorcycle (2020-2024)","Female Commuting to Work by Bicycle (2020-2024)","People Commuting to Work by Public Transit (2020-2024)","People Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Taxi or Ride Hailing Service (2020-2024)","Commute Transportation by Bicycle (2020-2024)","No Commute / Work From Home (2020-2024)","Commute Transportation by Other Transit (2020-2024)","Commute Transportation by Public Transit (2020-2024)","Male Commuting to Work by Drive Carpool (2020-2024)","Male Commuting to Work by Public Transit (2020-2024)","Male Commuting to Work by Bicycle (2020-2024)","Male Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)","Commute Transportation by Drive Alone (2020-2024)","Male Commuting to Work by Drive Alone (2020-2024)","Female Commuting to Work by Taxi, Ride Hailing Service, Motorcycle, or Other Means (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","9588","739","196","24","196","739","89","4633","430","0","107","0","11","0","136","0","24","5081","136","0","309","0","13","58","9588","4955","78"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","8803","619","33","73","33","619","0","3629","409","0","33","18","0","0","91","29","73","3734","44","0","210","0","73","34","8803","5174","57"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","8059","1231","89","62","89","1231","29","3206","743","25","60","49","0","26","77","0","62","2065","28","26","488","1","62","35","8059","4853","42"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","8011","1165","159","0","159","1165","16","3442","613","99","143","0","0","123","149","7","0","1735","142","123","552","24","0","0","8011","4569","149"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","7744","647","130","81","130","647","98","3677","322","173","32","27","0","205","151","0","81","1879","124","205","325","32","81","75","7744","4067","76"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","7734","483","47","0","47","483","29","3543","356","0","18","16","0","38","196","16","0","2484","164","38","127","38","0","59","7734","4191","137"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","80","0","0","0","0","0","0","41","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","80","39","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","90","68","0","0","0","68","0","16","0","0","0","0","0","0","0","0","0","365","0","0","68","0","0","0","90","74","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","7043","776","100","35","100","776","8","3346","483","60","92","40","0","76","240","47","35","1336","153","76","293","16","35","158","7043","3697","82"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","5775","625","153","26","153","625","128","2920","287","3","25","0","0","3","37","0","26","2267","37","3","338","0","26","20","5775","2855","17"
