"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:50937","ZIP Code 78749","country:us/state:tx/zip:78749","78749","1655","1064","394","212","155","191","425","897","223","749","177","192","126","17","234","59","344","532","819","0","0","0","38","279","26"
"publicpolygonfeature:5:50942","ZIP Code 78757","country:us/state:tx/zip:78757","78757","1179","744","395","261","249","25","285","631","704","718","54","100","0","0","146","141","127","406","330","0","0","0","80","79","30"
"publicpolygonfeature:5:57982","ZIP Code 78758","country:us/state:tx/zip:78758","78758","1697","1386","1080","276","98","201","188","970","648","552","579","338","123","0","518","993","400","1205","1418","0","113","0","324","66","233"
"publicpolygonfeature:5:59174","ZIP Code 76511","country:us/state:tx/zip:76511","76511","22","23","10","0","0","0","0","33","0","9","15","28","0","20","31","7","38","51","83","0","6","0","22","0","25"
"publicpolygonfeature:5:59180","ZIP Code 76527","country:us/state:tx/zip:76527","76527","96","74","0","0","0","7","4","199","0","9","23","9","0","11","18","15","24","90","103","52","0","0","19","15","5"
"publicpolygonfeature:5:59182","ZIP Code 76530","country:us/state:tx/zip:76530","76530","46","101","7","4","0","8","0","20","0","30","4","17","0","0","58","17","7","47","65","0","0","10","56","8","11"
"publicpolygonfeature:5:59187","ZIP Code 76537","country:us/state:tx/zip:76537","76537","533","332","41","7","0","125","47","299","0","397","167","193","33","17","321","112","284","389","627","0","23","0","162","34","106"
"publicpolygonfeature:5:59214","ZIP Code 76573","country:us/state:tx/zip:76573","76573","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:59218","ZIP Code 76574","country:us/state:tx/zip:76574","76574","478","306","19","47","97","131","20","362","12","266","118","165","69","19","311","321","122","453","987","13","34","0","115","124","164"
"publicpolygonfeature:5:59221","ZIP Code 76578","country:us/state:tx/zip:76578","76578","68","0","25","0","24","0","0","24","12","49","0","32","0","0","29","0","119","34","70","0","0","0","2","0","0"
"publicpolygonfeature:5:59938","ZIP Code 78602","country:us/state:tx/zip:78602","78602","1065","582","189","25","28","180","169","1115","217","263","271","623","111","103","347","406","419","1048","1314","0","24","34","41","80","169"
