"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:39808","ZIP Code 28209","country:us/state:nc/zip:28209","28209","1176","1020","83","229","102","190","179","476","318","833","186","87","0","0","249","20","263","533","893","0","8","44","49","11","102"
"publicpolygonfeature:5:40060","ZIP Code 28210","country:us/state:nc/zip:28210","28210","1811","1804","199","105","72","346","313","1178","324","702","113","459","4","0","541","554","419","1294","1745","0","299","3","245","131","453"
"publicpolygonfeature:5:40123","ZIP Code 28211","country:us/state:nc/zip:28211","28211","1307","946","165","134","35","169","271","641","319","600","83","133","0","0","247","143","402","1184","905","8","22","0","195","213","58"
"publicpolygonfeature:5:40131","ZIP Code 28212","country:us/state:nc/zip:28212","28212","781","532","80","10","32","180","79","553","214","337","231","407","286","17","589","814","558","664","2114","15","335","16","509","210","281"
"publicpolygonfeature:5:40641","ZIP Code 28077","country:us/state:nc/zip:28077","28077","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","0","0","0","0","0","24","0","0"
"publicpolygonfeature:5:40772","ZIP Code 28213","country:us/state:nc/zip:28213","28213","1391","965","447","62","109","410","19","935","153","545","531","366","70","83","766","423","466","936","2435","0","454","9","439","223","315"
"publicpolygonfeature:5:40960","ZIP Code 28226","country:us/state:nc/zip:28226","28226","1354","1403","286","119","84","399","390","877","284","559","124","97","46","29","400","139","335","990","952","0","0","10","125","29","111"
"publicpolygonfeature:5:41016","ZIP Code 27013","country:us/state:nc/zip:27013","27013","81","39","11","12","0","25","0","82","1","162","47","25","0","0","107","0","27","221","238","0","0","0","96","55","3"
"publicpolygonfeature:5:41042","ZIP Code 28081","country:us/state:nc/zip:28081","28081","507","341","86","82","91","95","159","878","101","467","120","329","2","28","427","284","218","620","1359","0","121","10","376","43","128"
"publicpolygonfeature:5:41046","ZIP Code 28083","country:us/state:nc/zip:28083","28083","812","372","123","14","31","111","62","609","81","500","99","300","12","40","294","144","117","808","1253","8","4","78","400","59","182"
"publicpolygonfeature:5:41047","ZIP Code 27054","country:us/state:nc/zip:27054","27054","62","71","0","0","0","20","0","69","0","0","0","72","0","0","22","0","24","10","107","0","0","0","0","0","0"
"publicpolygonfeature:5:41049","ZIP Code 28098","country:us/state:nc/zip:28098","28098","57","27","29","0","0","10","12","105","3","37","132","12","15","0","16","0","12","128","291","16","0","0","63","30","16"
"publicpolygonfeature:5:41053","ZIP Code 28101","country:us/state:nc/zip:28101","28101","24","40","3","3","0","19","0","10","0","32","2","5","0","0","6","2","3","12","21","0","0","0","19","0","0"
"publicpolygonfeature:5:41054","ZIP Code 28102","country:us/state:nc/zip:28102","28102","0","0","0","0","0","0","0","0","0","2","0","0","0","1","0","0","0","2","0","0","0","0","1","0","0"
"publicpolygonfeature:5:41144","ZIP Code 28270","country:us/state:nc/zip:28270","28270","1316","1030","321","88","18","358","162","851","238","523","69","157","11","7","240","55","296","1038","841","0","20","54","106","4","124"
"publicpolygonfeature:5:41147","ZIP Code 28273","country:us/state:nc/zip:28273","28273","1609","1154","401","40","80","174","67","650","168","658","229","1124","120","44","991","439","655","1290","2720","0","243","13","595","290","753"
"publicpolygonfeature:5:41153","ZIP Code 28277","country:us/state:nc/zip:28277","28277","3084","2458","1257","153","261","380","286","1862","807","1269","428","482","44","0","944","116","685","1898","1990","0","14","28","235","148","222"
"publicpolygonfeature:5:41194","ZIP Code 28012","country:us/state:nc/zip:28012","28012","647","567","193","102","55","244","163","601","105","597","117","138","22","40","246","179","201","542","739","0","0","7","559","76","191"
"publicpolygonfeature:5:41199","ZIP Code 28278","country:us/state:nc/zip:28278","28278","1562","1567","413","114","43","211","110","811","259","760","150","209","21","0","244","212","329","1327","1357","0","0","52","251","20","114"
"publicpolygonfeature:5:41204","ZIP Code 28280","country:us/state:nc/zip:28280","28280","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41208","ZIP Code 28282","country:us/state:nc/zip:28282","28282","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41400","ZIP Code 28006","country:us/state:nc/zip:28006","28006","0","98","0","0","0","0","0","31","0","15","7","32","0","0","0","4","0","0","71","0","0","0","0","0","16"
"publicpolygonfeature:5:41401","ZIP Code 28007","country:us/state:nc/zip:28007","28007","7","0","0","0","0","0","0","14","2","3","5","9","1","0","20","3","4","13","11","0","0","0","81","7","0"
"publicpolygonfeature:5:41404","ZIP Code 28016","country:us/state:nc/zip:28016","28016","211","295","26","0","13","11","16","185","20","93","47","124","1","0","83","105","59","373","501","0","0","0","180","12","103"
"publicpolygonfeature:5:41412","ZIP Code 28021","country:us/state:nc/zip:28021","28021","275","25","11","0","20","66","6","467","15","232","123","91","50","8","193","89","100","267","653","0","0","28","130","0","27"
"publicpolygonfeature:5:41413","ZIP Code 28023","country:us/state:nc/zip:28023","28023","123","78","0","14","0","10","0","530","16","203","133","128","0","0","201","196","162","603","792","20","0","38","158","13","8"
"publicpolygonfeature:5:41414","ZIP Code 28025","country:us/state:nc/zip:28025","28025","1298","582","278","60","36","328","93","1216","191","1404","396","531","309","163","730","256","578","1271","2566","58","0","62","970","211","450"
"publicpolygonfeature:5:41415","ZIP Code 28033","country:us/state:nc/zip:28033","28033","15","10","27","0","0","0","17","90","0","0","0","25","0","0","25","73","0","48","161","0","0","0","80","0","0"
"publicpolygonfeature:5:41417","ZIP Code 28027","country:us/state:nc/zip:28027","28027","2363","1145","958","76","267","643","140","1840","248","1401","332","615","144","54","1074","543","365","2141","3022","47","253","133","541","303","868"
"publicpolygonfeature:5:41418","ZIP Code 28031","country:us/state:nc/zip:28031","28031","1099","1085","199","98","327","232","141","819","215","579","228","132","4","0","433","33","244","877","879","0","0","0","54","97","86"
"publicpolygonfeature:5:41419","ZIP Code 28032","country:us/state:nc/zip:28032","28032","85","45","0","0","6","0","9","60","18","85","20","31","0","0","139","0","15","54","105","0","11","0","16","0","0"
"publicpolygonfeature:5:41420","ZIP Code 28034","country:us/state:nc/zip:28034","28034","368","131","52","14","30","89","151","287","46","268","661","235","0","0","163","269","111","424","1052","0","8","0","365","14","169"
"publicpolygonfeature:5:41421","ZIP Code 28036","country:us/state:nc/zip:28036","28036","798","600","112","9","32","127","81","653","204","350","55","74","7","16","136","53","218","650","746","0","19","0","0","15","186"
"publicpolygonfeature:5:41422","ZIP Code 28054","country:us/state:nc/zip:28054","28054","880","367","146","63","29","91","42","985","83","659","518","542","78","0","518","193","336","1090","2005","32","127","119","536","44","343"
"publicpolygonfeature:5:41423","ZIP Code 28037","country:us/state:nc/zip:28037","28037","937","735","215","44","38","181","56","698","159","503","222","189","55","0","443","6","215","413","897","0","0","20","76","28","18"
"publicpolygonfeature:5:41424","ZIP Code 28039","country:us/state:nc/zip:28039","28039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:41425","ZIP Code 28072","country:us/state:nc/zip:28072","28072","6","0","0","0","0","0","0","35","0","16","0","0","0","0","6","0","30","13","73","0","0","0","15","0","19"
"publicpolygonfeature:5:41429","ZIP Code 28075","country:us/state:nc/zip:28075","28075","884","451","262","90","0","133","65","426","147","469","103","17","131","45","184","189","140","249","842","48","22","18","57","20","0"
"publicpolygonfeature:5:41432","ZIP Code 28052","country:us/state:nc/zip:28052","28052","585","280","35","34","23","228","38","582","32","389","306","331","11","3","759","236","273","1024","1303","25","12","116","389","96","250"
"publicpolygonfeature:5:41433","ZIP Code 28056","country:us/state:nc/zip:28056","28056","902","547","159","70","134","242","50","1017","120","788","428","317","49","0","458","542","411","797","1469","0","34","0","266","210","137"
"publicpolygonfeature:5:41434","ZIP Code 28071","country:us/state:nc/zip:28071","28071","58","0","45","0","0","11","0","110","12","63","0","10","90","0","8","0","0","71","110","0","0","0","0","25","59"
"publicpolygonfeature:5:41435","ZIP Code 28078","country:us/state:nc/zip:28078","28078","2734","2506","806","132","354","396","236","1755","471","1618","606","545","35","17","767","266","448","1949","2506","48","72","76","410","187","136"
