"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:44954","ZIP Code 43766","country:us/state:oh/zip:43766","43766","23","0","0","0","0","17","0","31","0","2","34","2","42","0","8","3","0","18","43","0","0","0","4","5","28"
"publicpolygonfeature:5:45247","ZIP Code 43003","country:us/state:oh/zip:43003","43003","35","15","28","31","0","0","0","182","0","66","26","85","0","0","70","19","42","117","168","0","0","0","35","74","51"
"publicpolygonfeature:5:45253","ZIP Code 43004","country:us/state:oh/zip:43004","43004","721","829","426","25","275","145","52","581","0","988","203","436","20","0","156","118","141","564","1491","0","0","0","368","13","530"
"publicpolygonfeature:5:45301","ZIP Code 43207","country:us/state:oh/zip:43207","43207","806","717","329","17","65","154","96","369","159","360","476","915","74","50","563","365","516","947","2498","0","73","0","691","147","464"
"publicpolygonfeature:5:45308","ZIP Code 43209","country:us/state:oh/zip:43209","43209","1067","756","159","10","95","418","183","927","226","529","95","305","26","0","297","50","176","641","904","6","0","16","105","104","117"
"publicpolygonfeature:5:45314","ZIP Code 43210","country:us/state:oh/zip:43210","43210","132","27","9","21","12","22","0","200","46","0","77","40","126","0","492","19","266","289","425","0","0","0","7","12","9"
"publicpolygonfeature:5:45328","ZIP Code 43211","country:us/state:oh/zip:43211","43211","267","101","91","0","72","159","0","184","27","32","273","387","17","10","661","255","210","339","854","0","61","0","306","55","176"
"publicpolygonfeature:5:45336","ZIP Code 43212","country:us/state:oh/zip:43212","43212","1342","845","205","219","251","206","236","708","282","1381","202","181","108","10","288","59","158","549","531","14","0","0","48","28","89"
"publicpolygonfeature:5:45340","ZIP Code 43213","country:us/state:oh/zip:43213","43213","956","489","65","4","15","106","32","435","78","304","248","503","98","66","686","372","191","902","1535","37","7","19","611","197","584"
"publicpolygonfeature:5:45395","ZIP Code 43214","country:us/state:oh/zip:43214","43214","1105","775","244","96","136","237","203","948","263","996","186","176","0","0","343","48","195","501","801","0","29","0","140","21","140"
"publicpolygonfeature:5:46144","ZIP Code 43215","country:us/state:oh/zip:43215","43215","1027","1006","172","116","126","297","102","437","313","606","65","151","129","0","386","100","161","321","587","0","0","0","30","82","146"
"publicpolygonfeature:5:46148","ZIP Code 43217","country:us/state:oh/zip:43217","43217","4","33","0","0","0","5","0","0","0","21","9","58","4","5","52","16","4","66","76","0","7","0","11","0","116"
"publicpolygonfeature:5:46151","ZIP Code 43219","country:us/state:oh/zip:43219","43219","611","823","90","97","7","359","98","452","59","372","110","765","38","0","489","203","337","845","1128","0","19","0","284","97","391"
"publicpolygonfeature:5:46155","ZIP Code 43220","country:us/state:oh/zip:43220","43220","742","628","295","86","165","165","124","1004","317","935","105","217","42","0","350","31","203","649","852","0","0","0","214","11","80"
"publicpolygonfeature:5:46158","ZIP Code 43232","country:us/state:oh/zip:43232","43232","899","676","396","0","125","215","46","568","151","311","232","1569","117","44","526","299","177","849","2102","11","52","35","502","111","1084"
"publicpolygonfeature:5:46185","ZIP Code 43235","country:us/state:oh/zip:43235","43235","1748","1014","412","92","479","239","137","1341","412","1122","336","307","148","0","884","395","325","958","1344","9","0","0","366","47","181"
"publicpolygonfeature:5:46188","ZIP Code 43240","country:us/state:oh/zip:43240","43240","357","336","136","0","0","0","71","113","0","77","0","0","0","0","38","0","37","312","178","0","0","0","0","102","168"
"publicpolygonfeature:5:46242","ZIP Code 43320","country:us/state:oh/zip:43320","43320","6","10","0","0","0","0","0","7","0","126","7","0","1","0","12","2","7","13","122","0","0","0","9","5","5"
"publicpolygonfeature:5:46245","ZIP Code 43321","country:us/state:oh/zip:43321","43321","22","4","0","0","0","0","0","3","0","0","0","9","0","0","11","1","0","16","7","0","0","0","0","0","2"
"publicpolygonfeature:5:46299","ZIP Code 43103","country:us/state:oh/zip:43103","43103","327","213","108","39","0","35","18","211","90","217","140","126","11","0","187","23","82","146","640","0","0","0","43","68","155"
"publicpolygonfeature:5:46342","ZIP Code 43008","country:us/state:oh/zip:43008","43008","44","41","8","0","0","12","0","13","0","36","56","5","0","0","48","0","40","184","74","0","0","12","60","6","17"
"publicpolygonfeature:5:46360","ZIP Code 43204","country:us/state:oh/zip:43204","43204","920","837","155","56","101","161","351","416","216","517","307","619","262","32","774","246","419","805","1447","0","76","75","429","155","1002"
"publicpolygonfeature:5:46372","ZIP Code 43205","country:us/state:oh/zip:43205","43205","426","220","126","7","74","131","24","291","153","336","122","221","103","28","354","71","44","194","373","0","0","0","105","56","108"
"publicpolygonfeature:5:46374","ZIP Code 43206","country:us/state:oh/zip:43206","43206","1138","894","165","53","139","256","119","465","144","741","61","261","51","18","387","167","241","470","492","0","45","12","203","109","234"
"publicpolygonfeature:5:46379","ZIP Code 43001","country:us/state:oh/zip:43001","43001","203","42","9","0","12","80","14","25","41","37","11","46","6","0","21","28","32","16","113","5","0","0","4","1","8"
"publicpolygonfeature:5:46380","ZIP Code 43002","country:us/state:oh/zip:43002","43002","113","23","18","0","0","16","0","34","0","59","9","0","0","0","33","0","0","13","51","0","0","0","0","0","0"
"publicpolygonfeature:5:46381","ZIP Code 43011","country:us/state:oh/zip:43011","43011","249","84","22","0","2","3","7","147","86","97","45","86","0","0","44","9","58","68","309","0","0","0","80","24","27"
"publicpolygonfeature:5:46382","ZIP Code 43013","country:us/state:oh/zip:43013","43013","10","10","147","0","0","2","0","38","0","7","27","32","0","0","7","18","0","3","118","3","0","0","7","0","0"
"publicpolygonfeature:5:46384","ZIP Code 43015","country:us/state:oh/zip:43015","43015","1924","1477","364","41","81","657","83","1356","252","1285","549","488","145","59","786","256","838","1282","2242","16","12","0","352","91","172"
"publicpolygonfeature:5:46386","ZIP Code 43016","country:us/state:oh/zip:43016","43016","1586","1303","577","130","213","562","288","915","237","1368","309","202","101","0","296","43","441","780","1568","17","7","0","72","38","139"
"publicpolygonfeature:5:46387","ZIP Code 43017","country:us/state:oh/zip:43017","43017","1458","1178","390","96","390","173","193","1386","213","1128","209","67","119","9","421","121","210","530","1344","0","10","24","114","26","47"
"publicpolygonfeature:5:46388","ZIP Code 43019","country:us/state:oh/zip:43019","43019","51","49","0","0","0","70","0","196","6","107","168","114","0","0","164","43","88","377","284","22","0","0","71","0","71"
"publicpolygonfeature:5:46389","ZIP Code 43021","country:us/state:oh/zip:43021","43021","673","320","137","19","40","101","13","365","40","555","114","68","15","0","109","29","106","348","457","0","0","0","12","25","103"
"publicpolygonfeature:5:46391","ZIP Code 43023","country:us/state:oh/zip:43023","43023","414","229","103","9","52","25","57","615","85","321","65","124","10","0","96","0","221","169","780","13","0","0","65","49","53"
"publicpolygonfeature:5:46392","ZIP Code 43025","country:us/state:oh/zip:43025","43025","169","81","7","0","4","16","9","102","0","103","44","99","4","0","74","5","37","78","321","0","7","0","53","0","53"
"publicpolygonfeature:5:46393","ZIP Code 43026","country:us/state:oh/zip:43026","43026","1910","1606","561","265","207","529","313","1826","462","2292","409","788","183","89","537","66","356","1616","2275","0","11","5","585","147","247"
"publicpolygonfeature:5:46395","ZIP Code 43029","country:us/state:oh/zip:43029","43029","16","6","41","0","0","0","0","17","0","0","0","0","0","0","8","0","0","0","12","0","0","0","0","0","4"
"publicpolygonfeature:5:46396","ZIP Code 43030","country:us/state:oh/zip:43030","43030","5","0","8","0","0","0","0","0","0","8","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46397","ZIP Code 43031","country:us/state:oh/zip:43031","43031","275","370","45","16","22","90","0","467","57","420","250","201","20","19","143","13","207","187","531","6","0","44","127","0","41"
"publicpolygonfeature:5:46398","ZIP Code 43032","country:us/state:oh/zip:43032","43032","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46399","ZIP Code 43033","country:us/state:oh/zip:43033","43033","2","0","0","0","1","5","0","2","0","4","2","3","0","0","12","0","2","12","17","0","0","0","0","8","10"
"publicpolygonfeature:5:46400","ZIP Code 43035","country:us/state:oh/zip:43035","43035","867","1185","628","99","138","129","182","1063","242","1022","330","478","42","31","223","121","452","1006","731","0","29","21","142","0","307"
"publicpolygonfeature:5:46401","ZIP Code 43036","country:us/state:oh/zip:43036","43036","5","0","0","0","0","1","0","8","0","2","14","11","0","0","6","3","6","5","8","0","0","0","0","0","1"
"publicpolygonfeature:5:46403","ZIP Code 43044","country:us/state:oh/zip:43044","43044","155","82","0","0","0","23","1","76","11","134","36","85","2","0","18","19","108","34","227","0","0","1","48","7","33"
"publicpolygonfeature:5:46404","ZIP Code 43040","country:us/state:oh/zip:43040","43040","1019","1014","207","184","80","180","172","894","80","582","302","413","30","200","337","177","235","688","2219","9","46","60","486","55","264"
"publicpolygonfeature:5:46405","ZIP Code 43045","country:us/state:oh/zip:43045","43045","19","20","0","0","0","4","0","9","2","2","2","26","3","12","4","7","13","57","111","0","1","0","46","2","14"
"publicpolygonfeature:5:46406","ZIP Code 43046","country:us/state:oh/zip:43046","43046","101","16","16","0","0","7","23","43","10","51","5","12","9","0","34","0","11","48","104","0","0","0","21","8","51"
"publicpolygonfeature:5:46407","ZIP Code 43062","country:us/state:oh/zip:43062","43062","881","481","234","74","60","102","169","584","190","546","147","321","11","42","406","155","241","922","1605","10","14","0","287","89","184"
"publicpolygonfeature:5:46409","ZIP Code 43054","country:us/state:oh/zip:43054","43054","1217","642","203","85","28","126","156","684","322","672","64","53","0","8","147","37","297","833","1277","0","0","0","38","161","0"
"publicpolygonfeature:5:46410","ZIP Code 43071","country:us/state:oh/zip:43071","43071","11","0","58","0","0","2","0","83","0","45","11","4","0","0","42","1","0","64","21","0","0","0","0","0","38"
"publicpolygonfeature:5:46411","ZIP Code 43055","country:us/state:oh/zip:43055","43055","1193","1063","150","28","72","232","129","1077","190","646","605","602","101","33","1432","523","483","1918","2686","86","12","18","781","135","561"
"publicpolygonfeature:5:46413","ZIP Code 43056","country:us/state:oh/zip:43056","43056","388","315","62","0","9","208","68","208","19","471","242","129","19","93","140","63","175","380","680","0","8","17","213","21","123"
"publicpolygonfeature:5:46415","ZIP Code 43061","country:us/state:oh/zip:43061","43061","165","126","18","23","2","8","0","125","0","76","45","19","0","0","132","49","35","238","178","0","0","0","10","12","4"
"publicpolygonfeature:5:46416","ZIP Code 43064","country:us/state:oh/zip:43064","43064","491","385","241","9","75","85","61","468","73","572","97","174","7","0","102","56","103","380","593","0","0","5","69","55","60"
"publicpolygonfeature:5:46417","ZIP Code 43065","country:us/state:oh/zip:43065","43065","1421","1434","698","88","178","246","269","1280","246","1182","136","211","85","0","326","227","579","987","1492","0","43","10","146","91","53"
"publicpolygonfeature:5:46418","ZIP Code 43066","country:us/state:oh/zip:43066","43066","17","63","0","0","0","0","0","87","0","3","0","0","0","0","10","54","0","0","73","0","0","0","0","27","0"
"publicpolygonfeature:5:46419","ZIP Code 43067","country:us/state:oh/zip:43067","43067","24","18","62","0","26","0","20","36","0","0","11","37","0","0","9","45","17","9","56","0","0","0","0","0","37"
"publicpolygonfeature:5:46420","ZIP Code 43068","country:us/state:oh/zip:43068","43068","1571","1045","279","42","89","318","177","902","276","974","672","934","61","0","638","641","405","813","2955","0","70","51","622","118","941"
"publicpolygonfeature:5:46422","ZIP Code 43074","country:us/state:oh/zip:43074","43074","604","303","107","13","0","225","35","410","13","433","106","220","33","10","246","81","167","427","741","0","0","12","138","80","157"
"publicpolygonfeature:5:46423","ZIP Code 43076","country:us/state:oh/zip:43076","43076","266","212","50","0","0","50","0","94","31","206","87","87","20","10","72","80","122","108","367","0","10","0","132","72","6"
"publicpolygonfeature:5:46424","ZIP Code 43077","country:us/state:oh/zip:43077","43077","8","1","0","0","0","0","2","0","0","0","1","1","0","0","2","0","2","18","3","0","0","0","2","0","5"
"publicpolygonfeature:5:46426","ZIP Code 43080","country:us/state:oh/zip:43080","43080","150","130","2","0","0","0","0","205","3","101","46","51","4","0","30","33","43","51","251","0","0","0","126","18","3"
"publicpolygonfeature:5:46427","ZIP Code 43081","country:us/state:oh/zip:43081","43081","2137","2048","799","116","170","473","199","1921","447","1867","669","715","134","0","711","143","548","1222","2991","4","43","5","457","132","299"
"publicpolygonfeature:5:46428","ZIP Code 43082","country:us/state:oh/zip:43082","43082","1153","683","345","78","120","151","129","950","347","1015","133","319","55","0","249","36","123","962","763","19","20","4","158","20","110"
"publicpolygonfeature:5:46430","ZIP Code 43085","country:us/state:oh/zip:43085","43085","1135","630","119","52","126","153","168","959","260","655","63","207","12","17","410","89","202","382","1049","0","0","0","59","1","29"
"publicpolygonfeature:5:46432","ZIP Code 43102","country:us/state:oh/zip:43102","43102","111","68","15","5","0","8","0","62","0","16","70","27","0","0","63","70","57","42","122","0","0","4","2","40","21"
"publicpolygonfeature:5:46433","ZIP Code 43105","country:us/state:oh/zip:43105","43105","142","141","65","0","0","73","0","188","33","193","84","83","0","0","137","0","28","217","422","0","0","7","102","7","65"
"publicpolygonfeature:5:46435","ZIP Code 43107","country:us/state:oh/zip:43107","43107","63","41","23","0","0","5","7","102","17","18","63","28","0","4","38","8","39","122","137","0","25","0","35","0","28"
"publicpolygonfeature:5:46436","ZIP Code 43109","country:us/state:oh/zip:43109","43109","1","0","0","0","0","0","4","0","0","0","3","2","0","0","0","0","0","2","6","0","0","0","0","0","0"
"publicpolygonfeature:5:46437","ZIP Code 43119","country:us/state:oh/zip:43119","43119","941","529","193","35","194","106","56","719","144","772","201","553","66","10","582","242","228","543","997","70","12","26","323","122","220"
"publicpolygonfeature:5:46438","ZIP Code 43110","country:us/state:oh/zip:43110","43110","1137","989","403","30","137","396","16","1096","304","929","735","704","7","3","628","158","445","717","1881","0","19","38","418","307","297"
"publicpolygonfeature:5:46439","ZIP Code 43111","country:us/state:oh/zip:43111","43111","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","10","0","0"
"publicpolygonfeature:5:46440","ZIP Code 43112","country:us/state:oh/zip:43112","43112","85","29","2","13","0","24","10","145","3","60","38","120","0","15","65","173","21","144","147","0","0","0","81","8","31"
"publicpolygonfeature:5:46442","ZIP Code 43113","country:us/state:oh/zip:43113","43113","534","170","106","0","33","318","73","312","101","366","365","190","13","7","280","182","98","480","921","9","33","0","216","59","111"
"publicpolygonfeature:5:46443","ZIP Code 43115","country:us/state:oh/zip:43115","43115","75","0","0","0","2","2","0","9","0","22","16","25","0","0","13","214","0","11","59","0","0","0","5","1","0"
"publicpolygonfeature:5:46444","ZIP Code 43116","country:us/state:oh/zip:43116","43116","66","61","14","0","7","0","8","115","7","64","9","10","22","8","56","20","16","69","66","0","0","0","18","3","41"
"publicpolygonfeature:5:46445","ZIP Code 43117","country:us/state:oh/zip:43117","43117","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46446","ZIP Code 43123","country:us/state:oh/zip:43123","43123","2350","1381","360","131","346","378","333","1380","214","1536","559","771","271","113","789","159","447","1346","3258","8","151","9","590","210","598"
"publicpolygonfeature:5:46447","ZIP Code 43125","country:us/state:oh/zip:43125","43125","303","151","87","0","4","285","11","356","89","271","134","145","39","0","190","31","85","297","493","44","42","26","214","158","195"
"publicpolygonfeature:5:46448","ZIP Code 43126","country:us/state:oh/zip:43126","43126","1","0","0","2","0","0","0","1","6","0","5","4","0","0","7","0","8","13","12","0","0","0","10","0","0"
"publicpolygonfeature:5:46449","ZIP Code 43127","country:us/state:oh/zip:43127","43127","0","0","0","0","0","0","0","0","18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:46450","ZIP Code 43130","country:us/state:oh/zip:43130","43130","1461","1118","84","20","0","508","95","1006","231","957","393","1003","34","51","1054","114","508","1006","2498","22","46","95","415","236","527"
