"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:49363","ZIP Code 80206","country:us/state:co/zip:80206","80206","1589","990","209","256","284","302","450","651","361","1110","111","74","24","4","237","86","168","570","455","25","15","0","60","91","71"
"publicpolygonfeature:5:49399","ZIP Code 80207","country:us/state:co/zip:80207","80207","1155","303","61","70","62","358","197","668","265","547","109","404","0","9","138","108","185","234","444","8","0","0","66","10","31"
"publicpolygonfeature:5:54224","ZIP Code 80123","country:us/state:co/zip:80123","80123","1342","1030","251","276","97","419","212","1047","347","936","203","499","135","23","445","85","519","1110","1672","0","65","45","99","82","248"
"publicpolygonfeature:5:54261","ZIP Code 80124","country:us/state:co/zip:80124","80124","945","641","373","141","126","204","149","540","134","472","260","159","24","28","143","50","129","768","436","0","7","0","111","7","36"
"publicpolygonfeature:5:55559","ZIP Code 80209","country:us/state:co/zip:80209","80209","1358","1285","500","123","157","241","271","498","377","1030","150","93","0","10","218","11","306","791","514","0","0","3","85","24","68"
"publicpolygonfeature:5:55648","ZIP Code 80210","country:us/state:co/zip:80210","80210","1907","1219","358","290","269","351","357","1078","525","906","197","405","43","6","353","135","527","873","872","13","22","32","124","22","36"
"publicpolygonfeature:5:55661","ZIP Code 80211","country:us/state:co/zip:80211","80211","2208","2014","631","344","280","485","492","816","636","1774","256","133","110","23","391","207","192","1127","959","28","47","0","111","10","38"
"publicpolygonfeature:5:57224","ZIP Code 80219","country:us/state:co/zip:80219","80219","1272","758","162","30","146","343","125","830","415","383","252","754","136","19","1133","1004","735","1298","2175","0","44","23","528","126","365"
"publicpolygonfeature:5:57244","ZIP Code 80220","country:us/state:co/zip:80220","80220","1763","1128","301","143","163","300","513","842","382","981","106","349","0","44","252","328","423","665","823","15","12","12","178","62","107"
"publicpolygonfeature:5:57249","ZIP Code 80221","country:us/state:co/zip:80221","80221","1093","838","125","156","148","215","124","566","138","524","284","444","45","21","618","553","338","833","1779","88","36","0","182","35","175"
"publicpolygonfeature:5:57257","ZIP Code 80222","country:us/state:co/zip:80222","80222","979","706","219","45","74","113","91","609","316","563","175","151","37","5","238","301","383","612","868","7","0","0","19","66","57"
"publicpolygonfeature:5:57292","ZIP Code 80231","country:us/state:co/zip:80231","80231","1025","688","173","50","395","409","125","908","402","598","442","308","27","36","515","54","392","1026","1456","0","0","63","268","269","64"
"publicpolygonfeature:5:57329","ZIP Code 80232","country:us/state:co/zip:80232","80232","592","567","158","102","9","116","164","528","89","344","270","288","43","61","251","112","214","736","730","0","13","19","59","9","164"
"publicpolygonfeature:5:57438","ZIP Code 80233","country:us/state:co/zip:80233","80233","1043","919","234","293","71","280","63","766","226","1114","223","963","29","106","591","235","409","1202","2349","0","70","75","509","214","288"
"publicpolygonfeature:5:57456","ZIP Code 80234","country:us/state:co/zip:80234","80234","1114","621","134","82","105","323","79","528","130","358","210","403","133","0","589","142","394","586","1248","0","0","13","268","27","236"
"publicpolygonfeature:5:57463","ZIP Code 80235","country:us/state:co/zip:80235","80235","347","232","37","0","27","67","36","316","86","54","89","157","41","0","144","47","204","231","317","0","5","0","37","33","70"
"publicpolygonfeature:5:57489","ZIP Code 80236","country:us/state:co/zip:80236","80236","352","202","74","121","21","79","24","230","22","326","62","272","139","11","239","120","175","662","546","0","0","13","48","13","53"
"publicpolygonfeature:5:57492","ZIP Code 80237","country:us/state:co/zip:80237","80237","714","791","187","50","102","205","79","696","264","387","55","307","99","17","408","60","272","463","880","59","0","0","14","16","132"
"publicpolygonfeature:5:57499","ZIP Code 80238","country:us/state:co/zip:80238","80238","1552","698","260","26","240","359","319","614","373","797","94","372","18","17","327","0","314","566","694","0","31","0","67","94","146"
