"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:47377","ZIP Code 46151","country:us/state:in/zip:46151","46151","637","268","109","40","95","137","122","457","144","508","193","321","41","56","320","177","299","845","1313","0","11","27","497","223","103"
"publicpolygonfeature:5:47551","ZIP Code 46001","country:us/state:in/zip:46001","46001","230","98","20","17","70","106","0","269","80","210","112","316","7","0","123","76","50","184","461","0","0","0","150","1","49"
"publicpolygonfeature:5:47552","ZIP Code 46011","country:us/state:in/zip:46011","46011","273","197","54","48","4","91","62","430","57","226","155","246","5","18","132","128","93","288","766","0","8","26","98","15","87"
"publicpolygonfeature:5:47553","ZIP Code 46240","country:us/state:in/zip:46240","46240","811","538","182","128","55","84","98","629","186","463","77","166","7","9","164","76","109","324","1087","0","16","1","146","26","45"
"publicpolygonfeature:5:47559","ZIP Code 46012","country:us/state:in/zip:46012","46012","301","327","38","113","5","163","12","323","86","238","165","564","25","23","359","156","119","497","890","0","36","15","130","68","81"
"publicpolygonfeature:5:47560","ZIP Code 46013","country:us/state:in/zip:46013","46013","340","114","26","10","0","132","59","226","83","295","204","308","0","27","351","140","192","374","900","0","80","11","163","86","84"
"publicpolygonfeature:5:47561","ZIP Code 46016","country:us/state:in/zip:46016","46016","267","59","35","0","0","50","13","119","51","21","84","366","23","0","481","243","85","228","480","20","0","12","470","71","302"
"publicpolygonfeature:5:47562","ZIP Code 46017","country:us/state:in/zip:46017","46017","60","15","0","12","0","124","1","62","0","102","95","132","0","0","36","71","49","222","211","0","34","0","79","20","20"
"publicpolygonfeature:5:47563","ZIP Code 46030","country:us/state:in/zip:46030","46030","16","76","3","0","0","7","5","91","3","166","60","29","0","0","24","9","0","32","112","8","4","0","12","0","14"
"publicpolygonfeature:5:47564","ZIP Code 46268","country:us/state:in/zip:46268","46268","787","459","130","109","112","268","70","527","123","350","389","449","0","53","428","430","169","381","1474","0","0","42","646","91","240"
"publicpolygonfeature:5:47565","ZIP Code 46031","country:us/state:in/zip:46031","46031","30","42","10","0","0","9","0","97","2","58","9","33","0","2","54","5","17","46","127","6","2","0","5","4","37"
"publicpolygonfeature:5:47566","ZIP Code 46032","country:us/state:in/zip:46032","46032","1843","1863","358","110","385","151","238","890","606","1558","161","225","36","38","416","76","228","1459","1824","0","0","9","98","23","228"
"publicpolygonfeature:5:47567","ZIP Code 46033","country:us/state:in/zip:46033","46033","1238","1156","427","58","208","365","247","1071","399","1041","165","154","14","0","696","101","320","628","1174","0","0","34","124","173","47"
"publicpolygonfeature:5:47568","ZIP Code 46034","country:us/state:in/zip:46034","46034","203","125","19","0","65","73","29","295","57","216","52","35","0","25","105","63","77","87","484","0","0","0","148","0","0"
"publicpolygonfeature:5:47569","ZIP Code 46035","country:us/state:in/zip:46035","46035","0","21","3","8","0","0","1","11","0","20","9","14","0","0","5","11","0","22","39","0","0","0","68","0","16"
"publicpolygonfeature:5:47571","ZIP Code 46036","country:us/state:in/zip:46036","46036","228","109","1","0","0","79","0","167","10","81","75","194","0","0","232","58","145","162","484","13","0","0","453","13","95"
"publicpolygonfeature:5:47572","ZIP Code 46037","country:us/state:in/zip:46037","46037","1353","1198","254","170","141","237","178","1152","205","1552","417","313","0","0","354","155","283","1841","1121","0","0","0","288","45","96"
"publicpolygonfeature:5:47573","ZIP Code 46038","country:us/state:in/zip:46038","46038","1530","1316","327","82","152","473","214","1308","196","1158","313","193","11","0","669","21","614","783","1444","0","17","14","163","42","212"
"publicpolygonfeature:5:47575","ZIP Code 46040","country:us/state:in/zip:46040","46040","403","281","351","0","66","59","0","357","88","634","58","124","0","10","173","154","84","306","600","0","27","0","56","67","23"
"publicpolygonfeature:5:47577","ZIP Code 46044","country:us/state:in/zip:46044","46044","64","32","22","0","3","12","2","49","13","39","17","30","0","0","32","14","29","81","130","0","3","2","20","4","12"
"publicpolygonfeature:5:47578","ZIP Code 46045","country:us/state:in/zip:46045","46045","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","43","0"
"publicpolygonfeature:5:47579","ZIP Code 46047","country:us/state:in/zip:46047","46047","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47580","ZIP Code 46048","country:us/state:in/zip:46048","46048","27","6","8","0","0","24","0","37","3","28","29","28","5","5","36","14","7","16","47","0","0","0","15","17","0"
"publicpolygonfeature:5:47581","ZIP Code 46049","country:us/state:in/zip:46049","46049","0","2","0","0","0","0","11","14","0","15","0","12","0","1","13","1","0","12","21","0","0","23","2","2","1"
"publicpolygonfeature:5:47582","ZIP Code 46278","country:us/state:in/zip:46278","46278","177","182","86","0","271","54","55","142","80","301","28","228","0","5","91","59","55","110","144","0","0","0","47","8","9"
"publicpolygonfeature:5:47583","ZIP Code 46050","country:us/state:in/zip:46050","46050","27","16","2","0","3","5","0","32","1","78","2","14","0","0","49","11","0","36","136","0","16","1","2","6","38"
"publicpolygonfeature:5:47584","ZIP Code 46051","country:us/state:in/zip:46051","46051","121","29","57","0","0","6","0","34","0","85","7","63","7","12","48","32","11","133","159","0","0","0","0","0","19"
"publicpolygonfeature:5:47585","ZIP Code 46052","country:us/state:in/zip:46052","46052","547","312","33","30","0","101","108","622","110","709","94","132","89","0","366","135","170","572","1251","0","18","0","212","36","213"
"publicpolygonfeature:5:47587","ZIP Code 46055","country:us/state:in/zip:46055","46055","540","462","149","110","56","100","56","348","10","396","202","280","0","0","197","220","101","288","518","0","30","0","147","49","0"
"publicpolygonfeature:5:47588","ZIP Code 46056","country:us/state:in/zip:46056","46056","55","48","10","15","2","0","0","21","2","7","27","42","6","0","34","0","19","67","63","0","0","0","11","17","22"
"publicpolygonfeature:5:47591","ZIP Code 46060","country:us/state:in/zip:46060","46060","1078","890","290","159","117","224","94","1423","426","1269","427","554","58","14","864","95","633","823","1847","0","78","14","165","81","219"
"publicpolygonfeature:5:47593","ZIP Code 46062","country:us/state:in/zip:46062","46062","1420","750","249","16","57","199","84","1331","268","1240","173","418","64","22","504","82","363","974","1837","0","60","0","161","124","118"
"publicpolygonfeature:5:47594","ZIP Code 46063","country:us/state:in/zip:46063","46063","1","0","0","0","3","1","0","6","0","8","3","0","0","0","1","6","0","0","12","0","0","0","0","0","0"
"publicpolygonfeature:5:47595","ZIP Code 46064","country:us/state:in/zip:46064","46064","351","250","82","10","22","52","26","445","95","459","194","82","53","3","239","110","116","194","670","0","22","0","83","23","141"
"publicpolygonfeature:5:47597","ZIP Code 46068","country:us/state:in/zip:46068","46068","15","10","10","9","5","9","0","83","0","87","36","3","32","0","17","0","6","49","130","0","3","0","32","9","1"
"publicpolygonfeature:5:47598","ZIP Code 46069","country:us/state:in/zip:46069","46069","142","80","45","0","6","44","0","222","137","153","70","83","0","0","135","58","148","95","244","0","0","23","14","37","41"
"publicpolygonfeature:5:47599","ZIP Code 46070","country:us/state:in/zip:46070","46070","36","15","3","10","0","6","4","14","3","53","17","9","0","0","21","11","14","78","116","0","0","3","19","11","58"
"publicpolygonfeature:5:47600","ZIP Code 46071","country:us/state:in/zip:46071","46071","52","40","14","3","18","12","4","50","0","47","25","39","3","0","57","10","19","79","70","2","0","4","37","22","61"
"publicpolygonfeature:5:47601","ZIP Code 46072","country:us/state:in/zip:46072","46072","145","179","7","52","15","28","2","273","26","115","55","108","25","0","65","82","96","200","248","0","0","0","69","0","32"
"publicpolygonfeature:5:47602","ZIP Code 46074","country:us/state:in/zip:46074","46074","1507","1321","215","0","245","148","240","1232","134","1447","393","472","14","0","390","352","570","1447","1816","32","59","0","154","54","304"
"publicpolygonfeature:5:47603","ZIP Code 46075","country:us/state:in/zip:46075","46075","486","234","45","47","93","146","53","224","16","220","173","75","0","0","152","0","77","112","474","0","0","0","31","0","31"
"publicpolygonfeature:5:47604","ZIP Code 46076","country:us/state:in/zip:46076","46076","19","8","0","9","0","4","1","40","57","11","6","16","0","0","9","18","8","49","137","0","0","0","80","9","16"
"publicpolygonfeature:5:47605","ZIP Code 46077","country:us/state:in/zip:46077","46077","1277","941","176","64","228","112","211","1047","260","1646","287","72","49","0","163","48","290","842","710","0","0","0","65","55","61"
"publicpolygonfeature:5:47606","ZIP Code 46103","country:us/state:in/zip:46103","46103","2","8","0","0","0","0","0","6","0","3","7","0","0","0","7","4","2","4","29","0","0","0","2","2","13"
"publicpolygonfeature:5:47610","ZIP Code 46106","country:us/state:in/zip:46106","46106","119","471","16","0","0","65","4","235","68","187","101","84","0","0","61","35","55","101","426","46","45","7","19","16","11"
"publicpolygonfeature:5:47611","ZIP Code 46107","country:us/state:in/zip:46107","46107","245","149","56","7","31","281","96","163","17","55","89","95","39","10","147","49","162","340","543","0","30","0","53","147","171"
"publicpolygonfeature:5:47612","ZIP Code 46110","country:us/state:in/zip:46110","46110","7","0","0","0","0","0","0","13","0","16","23","0","0","0","0","0","0","21","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47613","ZIP Code 46111","country:us/state:in/zip:46111","46111","6","0","0","0","0","0","0","0","0","1","17","6","0","0","0","0","4","28","28","0","0","0","1","0","28"
"publicpolygonfeature:5:47614","ZIP Code 46118","country:us/state:in/zip:46118","46118","91","91","0","25","0","7","0","129","31","39","31","93","0","0","91","3","30","61","219","0","0","0","149","28","48"
"publicpolygonfeature:5:47615","ZIP Code 46112","country:us/state:in/zip:46112","46112","1366","799","245","140","124","211","374","1618","248","1534","251","606","36","0","714","132","343","634","1790","0","12","31","260","85","319"
"publicpolygonfeature:5:47616","ZIP Code 46113","country:us/state:in/zip:46113","46113","356","308","21","0","38","115","0","173","120","410","335","192","12","64","152","0","84","459","896","17","0","0","425","155","132"
"publicpolygonfeature:5:47618","ZIP Code 46117","country:us/state:in/zip:46117","46117","18","0","8","0","0","0","0","45","0","24","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0"
"publicpolygonfeature:5:47619","ZIP Code 46280","country:us/state:in/zip:46280","46280","261","237","8","47","10","192","106","174","143","194","64","53","26","9","167","137","93","79","265","0","0","0","26","0","7"
"publicpolygonfeature:5:47621","ZIP Code 46124","country:us/state:in/zip:46124","46124","133","148","11","0","0","50","47","62","0","102","65","94","0","0","135","26","90","203","250","0","0","0","158","0","63"
"publicpolygonfeature:5:47622","ZIP Code 46121","country:us/state:in/zip:46121","46121","172","124","16","0","7","20","1","94","2","102","109","151","0","0","25","3","20","68","131","0","0","0","75","8","64"
"publicpolygonfeature:5:47623","ZIP Code 46122","country:us/state:in/zip:46122","46122","384","350","52","61","20","108","17","471","46","308","259","305","0","38","99","126","87","220","908","0","11","0","117","18","75"
"publicpolygonfeature:5:47624","ZIP Code 46123","country:us/state:in/zip:46123","46123","1084","1376","445","31","91","619","77","1475","63","929","516","341","158","140","360","23","314","702","2297","0","0","0","235","20","351"
"publicpolygonfeature:5:47625","ZIP Code 46125","country:us/state:in/zip:46125","46125","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47626","ZIP Code 46290","country:us/state:in/zip:46290","46290","0","0","0","0","0","0","0","0","12","0","0","0","0","0","0","0","0","0","16","0","0","0","0","0","0"
"publicpolygonfeature:5:47627","ZIP Code 46126","country:us/state:in/zip:46126","46126","84","43","0","0","45","41","24","152","0","50","42","63","4","0","69","37","8","37","91","0","0","0","53","0","83"
"publicpolygonfeature:5:47630","ZIP Code 46142","country:us/state:in/zip:46142","46142","715","653","100","51","124","152","50","1150","222","903","129","226","141","0","416","151","156","906","1359","0","11","49","117","121","299"
"publicpolygonfeature:5:47631","ZIP Code 46130","country:us/state:in/zip:46130","46130","12","66","0","22","0","24","17","41","0","65","0","54","25","0","0","29","73","40","102","0","0","0","18","9","0"
"publicpolygonfeature:5:47632","ZIP Code 46131","country:us/state:in/zip:46131","46131","947","462","115","105","72","248","158","806","262","582","366","522","7","0","494","250","275","653","1198","8","0","12","399","167","288"
"publicpolygonfeature:5:47634","ZIP Code 46149","country:us/state:in/zip:46149","46149","0","38","0","0","0","0","2","26","6","43","46","19","8","0","8","12","136","6","94","0","0","0","0","0","0"
"publicpolygonfeature:5:47638","ZIP Code 46140","country:us/state:in/zip:46140","46140","944","596","176","48","98","174","107","1122","195","847","392","497","26","33","770","117","396","1100","2212","16","10","0","303","110","422"
"publicpolygonfeature:5:47639","ZIP Code 46143","country:us/state:in/zip:46143","46143","1892","1072","327","193","250","338","133","1258","335","1607","404","810","11","29","575","172","421","1198","2624","0","22","106","415","147","443"
"publicpolygonfeature:5:47640","ZIP Code 46144","country:us/state:in/zip:46144","46144","13","0","0","0","0","0","0","0","0","0","19","0","0","0","0","0","0","0","10","0","0","0","0","0","0"
"publicpolygonfeature:5:47642","ZIP Code 46147","country:us/state:in/zip:46147","46147","90","31","10","0","31","8","0","73","8","25","20","44","0","16","47","3","32","12","76","0","0","10","11","2","28"
"publicpolygonfeature:5:47644","ZIP Code 46157","country:us/state:in/zip:46157","46157","92","96","11","17","6","17","40","88","5","58","32","40","4","0","74","0","57","82","256","0","0","0","39","15","35"
"publicpolygonfeature:5:47645","ZIP Code 46158","country:us/state:in/zip:46158","46158","416","223","100","30","17","186","18","657","26","397","209","232","8","35","319","73","216","519","951","0","19","0","214","92","281"
"publicpolygonfeature:5:47647","ZIP Code 46160","country:us/state:in/zip:46160","46160","122","82","17","0","44","45","5","74","25","178","34","97","7","0","67","6","49","121","343","0","4","0","102","0","47"
"publicpolygonfeature:5:47648","ZIP Code 46161","country:us/state:in/zip:46161","46161","54","52","0","0","0","6","0","33","28","5","45","75","0","0","29","16","12","43","233","9","0","0","35","10","3"
"publicpolygonfeature:5:47649","ZIP Code 46162","country:us/state:in/zip:46162","46162","10","0","0","0","0","0","15","0","0","0","0","0","0","0","24","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:47650","ZIP Code 46163","country:us/state:in/zip:46163","46163","319","409","147","0","105","84","37","408","86","427","128","127","3","10","211","0","125","313","419","0","42","14","30","8","51"
"publicpolygonfeature:5:47651","ZIP Code 46164","country:us/state:in/zip:46164","46164","63","41","7","23","0","30","4","13","6","71","91","50","0","21","56","28","67","135","171","0","2","0","108","2","27"
"publicpolygonfeature:5:47652","ZIP Code 46165","country:us/state:in/zip:46165","46165","41","0","0","0","7","0","0","54","0","2","20","19","0","0","14","8","9","54","129","0","0","0","44","2","6"
"publicpolygonfeature:5:47653","ZIP Code 46166","country:us/state:in/zip:46166","46166","56","7","5","0","0","30","0","68","0","32","16","31","0","4","40","21","39","65","70","0","0","0","42","16","10"
"publicpolygonfeature:5:47654","ZIP Code 46167","country:us/state:in/zip:46167","46167","150","38","14","0","0","48","8","288","0","304","0","34","0","0","23","28","14","47","316","0","0","0","0","69","41"
"publicpolygonfeature:5:47655","ZIP Code 46182","country:us/state:in/zip:46182","46182","35","54","0","12","0","8","0","35","9","54","12","62","0","0","11","6","41","24","104","0","0","0","25","17","0"
"publicpolygonfeature:5:47656","ZIP Code 46168","country:us/state:in/zip:46168","46168","834","497","157","38","90","347","157","1035","16","608","335","409","67","0","305","105","247","644","1616","0","13","15","387","279","319"
"publicpolygonfeature:5:47659","ZIP Code 46183","country:us/state:in/zip:46183","46183","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","0","0"
"publicpolygonfeature:5:47660","ZIP Code 46184","country:us/state:in/zip:46184","46184","131","166","37","0","0","41","0","475","110","209","129","117","32","0","296","151","126","376","538","0","0","24","191","10","107"
"publicpolygonfeature:5:47664","ZIP Code 46186","country:us/state:in/zip:46186","46186","21","10","4","0","8","2","0","12","2","13","12","5","2","2","24","4","19","3","95","0","0","0","18","0","24"
"publicpolygonfeature:5:47665","ZIP Code 46201","country:us/state:in/zip:46201","46201","609","341","46","22","49","302","120","705","346","361","164","302","103","19","656","209","147","693","1027","0","17","0","336","69","224"
"publicpolygonfeature:5:47666","ZIP Code 46176","country:us/state:in/zip:46176","46176","534","275","44","85","73","215","104","358","92","567","218","396","0","0","539","339","354","554","1085","0","0","0","409","141","216"
"publicpolygonfeature:5:47667","ZIP Code 46180","country:us/state:in/zip:46180","46180","6","14","12","0","0","0","0","3","0","40","4","28","0","0","22","8","2","15","47","0","0","0","0","0","0"
"publicpolygonfeature:5:47668","ZIP Code 46181","country:us/state:in/zip:46181","46181","140","35","16","3","0","0","55","98","4","113","28","97","4","0","38","4","60","38","293","0","0","0","0","23","6"
"publicpolygonfeature:5:47669","ZIP Code 46229","country:us/state:in/zip:46229","46229","612","722","25","40","62","333","129","324","367","497","258","481","9","25","194","142","94","459","1425","22","0","0","455","223","287"
"publicpolygonfeature:5:47670","ZIP Code 46202","country:us/state:in/zip:46202","46202","890","542","245","35","309","180","93","610","246","671","35","141","2","0","422","21","128","369","896","4","21","0","152","75","162"
"publicpolygonfeature:5:47671","ZIP Code 46203","country:us/state:in/zip:46203","46203","886","614","156","94","175","315","191","641","284","660","237","504","31","12","443","367","233","699","1807","0","131","33","237","85","295"
"publicpolygonfeature:5:47672","ZIP Code 46204","country:us/state:in/zip:46204","46204","532","603","89","103","172","0","179","122","222","524","55","67","0","0","115","0","97","180","208","0","0","0","10","53","0"
