"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:35000","ZIP Code 33009","country:us/state:fl/zip:33009","33009","1269","439","208","45","89","111","145","546","311","413","228","662","199","58","667","869","546","1238","1803","0","43","0","212","254","412"
"publicpolygonfeature:5:35288","ZIP Code 33010","country:us/state:fl/zip:33010","33010","548","171","0","14","28","184","53","510","93","537","250","1183","214","24","630","800","357","1108","1209","62","19","80","512","183","300"
"publicpolygonfeature:5:36789","ZIP Code 33012","country:us/state:fl/zip:33012","33012","968","643","34","66","138","359","95","1068","286","974","352","1745","36","55","663","1213","562","2193","3520","52","153","18","927","333","503"
"publicpolygonfeature:5:36822","ZIP Code 33013","country:us/state:fl/zip:33013","33013","411","211","42","30","17","83","48","362","89","443","281","929","39","9","439","628","485","600","1180","2","11","15","420","240","121"
"publicpolygonfeature:5:36951","ZIP Code 33014","country:us/state:fl/zip:33014","33014","1250","667","146","32","93","190","378","531","135","686","347","696","43","55","574","769","440","928","1659","42","51","0","438","51","241"
"publicpolygonfeature:5:36956","ZIP Code 33015","country:us/state:fl/zip:33015","33015","2115","1829","133","14","114","258","217","1270","303","883","293","771","173","74","819","1605","751","2145","4020","12","61","145","480","287","381"
"publicpolygonfeature:5:36968","ZIP Code 33016","country:us/state:fl/zip:33016","33016","703","648","21","21","69","126","231","849","76","559","248","974","134","32","428","674","533","1335","1707","31","67","25","294","234","369"
"publicpolygonfeature:5:36976","ZIP Code 33018","country:us/state:fl/zip:33018","33018","1624","1081","30","74","78","247","248","1003","251","1044","321","847","48","146","811","553","613","1641","2810","20","60","169","389","213","327"
"publicpolygonfeature:5:39367","ZIP Code 33019","country:us/state:fl/zip:33019","33019","420","252","34","53","24","75","27","229","129","193","111","25","13","35","50","34","170","374","428","0","0","0","19","86","0"
"publicpolygonfeature:5:39380","ZIP Code 33020","country:us/state:fl/zip:33020","33020","937","456","112","49","107","201","611","783","167","415","215","773","77","11","749","644","425","1547","2021","15","151","89","163","297","210"
