"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:44336","ZIP Code 37207","country:us/state:tn/zip:37207","37207","1248","643","211","16","60","73","398","1122","461","517","298","468","126","35","603","730","219","1012","1662","0","102","49","494","183","275"
"publicpolygonfeature:5:44347","ZIP Code 37208","country:us/state:tn/zip:37208","37208","807","651","124","62","55","234","78","426","248","562","107","299","53","0","891","69","319","448","599","0","33","0","214","94","44"
"publicpolygonfeature:5:44416","ZIP Code 37086","country:us/state:tn/zip:37086","37086","939","544","100","30","0","205","22","546","167","664","384","531","18","37","430","373","284","624","1444","0","31","71","827","380","521"
"publicpolygonfeature:5:44432","ZIP Code 37135","country:us/state:tn/zip:37135","37135","801","656","82","26","0","246","168","831","64","776","118","67","45","35","301","68","241","850","451","77","16","0","81","20","104"
"publicpolygonfeature:5:44485","ZIP Code 37060","country:us/state:tn/zip:37060","37060","57","61","3","0","0","0","1","34","13","41","21","51","1","0","60","0","33","38","214","0","0","0","5","18","30"
"publicpolygonfeature:5:44489","ZIP Code 37140","country:us/state:tn/zip:37140","37140","45","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26","0","0","0","0","0","0"
"publicpolygonfeature:5:44501","ZIP Code 37141","country:us/state:tn/zip:37141","37141","67","19","4","15","0","8","0","7","0","16","0","28","0","3","2","0","32","50","48","0","0","0","14","2","18"
"publicpolygonfeature:5:44523","ZIP Code 37016","country:us/state:tn/zip:37016","37016","6","0","0","0","0","0","0","14","0","34","2","12","4","0","6","0","0","32","16","0","0","0","1","0","2"
"publicpolygonfeature:5:44527","ZIP Code 37010","country:us/state:tn/zip:37010","37010","122","57","0","3","14","10","0","325","0","191","58","16","0","6","15","14","27","77","257","0","0","0","20","0","5"
"publicpolygonfeature:5:44528","ZIP Code 37012","country:us/state:tn/zip:37012","37012","33","8","0","4","0","0","0","20","4","3","19","17","0","25","7","0","16","35","138","0","0","0","21","29","8"
"publicpolygonfeature:5:44529","ZIP Code 37013","country:us/state:tn/zip:37013","37013","2100","1962","480","110","229","537","101","2119","572","1085","960","1568","48","44","1377","1011","796","1831","5555","0","456","150","1567","299","576"
"publicpolygonfeature:5:44530","ZIP Code 37014","country:us/state:tn/zip:37014","37014","95","39","15","7","0","0","0","39","0","88","14","12","0","0","33","0","16","106","73","0","0","0","55","13","0"
"publicpolygonfeature:5:44532","ZIP Code 37015","country:us/state:tn/zip:37015","37015","320","403","153","16","47","90","20","338","0","327","77","177","0","11","301","227","138","497","865","0","93","0","252","12","40"
"publicpolygonfeature:5:44533","ZIP Code 37020","country:us/state:tn/zip:37020","37020","168","117","5","21","2","39","12","150","43","114","2","22","0","0","120","0","26","46","192","0","16","0","51","13","4"
"publicpolygonfeature:5:44535","ZIP Code 37022","country:us/state:tn/zip:37022","37022","95","66","66","0","35","89","0","45","10","108","101","73","0","13","23","38","97","76","245","0","0","0","23","35","23"
"publicpolygonfeature:5:44537","ZIP Code 37031","country:us/state:tn/zip:37031","37031","130","65","14","0","0","14","23","56","14","62","10","91","9","0","78","24","48","74","253","0","0","0","50","11","7"
"publicpolygonfeature:5:44538","ZIP Code 37025","country:us/state:tn/zip:37025","37025","71","107","116","0","0","22","0","127","61","31","43","110","0","0","86","55","244","344","431","0","0","0","182","0","7"
"publicpolygonfeature:5:44539","ZIP Code 37026","country:us/state:tn/zip:37026","37026","17","0","0","7","0","0","0","18","0","35","8","0","0","0","48","0","16","83","77","0","0","0","9","0","0"
"publicpolygonfeature:5:44542","ZIP Code 37027","country:us/state:tn/zip:37027","37027","2252","1645","400","131","231","349","302","1395","508","1665","431","166","120","0","464","11","616","1857","1297","0","150","15","160","32","72"
