"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:39476","ZIP Code 32798","country:us/state:fl/zip:32798","32798","30","28","20","0","0","33","0","28","52","140","17","0","0","0","0","38","49","96","121","0","0","0","15","0","0"
"publicpolygonfeature:5:39865","ZIP Code 32801","country:us/state:fl/zip:32801","32801","835","512","124","148","47","203","215","281","334","620","62","49","0","0","306","0","100","394","373","0","0","0","16","74","16"
"publicpolygonfeature:5:41020","ZIP Code 34737","country:us/state:fl/zip:34737","34737","102","36","21","0","9","11","2","74","14","130","6","37","0","16","26","198","24","61","144","0","20","0","17","0","25"
"publicpolygonfeature:5:41026","ZIP Code 34756","country:us/state:fl/zip:34756","34756","160","83","14","0","0","30","20","66","51","85","0","4","0","0","179","3","8","93","169","0","0","0","22","0","22"
"publicpolygonfeature:5:41035","ZIP Code 34758","country:us/state:fl/zip:34758","34758","574","372","72","51","7","271","0","839","365","317","307","980","235","114","667","864","342","1053","1894","0","81","0","321","170","335"
"publicpolygonfeature:5:42179","ZIP Code 32803","country:us/state:fl/zip:32803","32803","1268","702","268","21","288","110","305","550","303","459","235","87","3","24","281","45","314","815","846","0","12","0","0","164","7"
"publicpolygonfeature:5:42277","ZIP Code 32804","country:us/state:fl/zip:32804","32804","1088","472","235","82","156","63","122","519","362","481","205","121","5","34","178","63","272","638","539","0","22","0","64","14","34"
"publicpolygonfeature:5:42303","ZIP Code 32805","country:us/state:fl/zip:32805","32805","307","133","36","64","11","61","74","276","132","102","229","287","0","22","199","526","204","500","540","0","0","18","151","94","339"
"publicpolygonfeature:5:42308","ZIP Code 32806","country:us/state:fl/zip:32806","32806","847","757","85","104","78","410","130","786","266","566","198","156","33","4","437","97","151","800","853","0","31","0","60","135","69"
"publicpolygonfeature:5:42464","ZIP Code 32807","country:us/state:fl/zip:32807","32807","552","494","177","81","39","115","226","760","151","391","376","558","105","14","699","549","584","1012","1442","114","91","62","263","96","190"
"publicpolygonfeature:5:42486","ZIP Code 32808","country:us/state:fl/zip:32808","32808","1108","772","202","31","0","393","39","440","144","375","570","1165","151","0","1512","1633","197","1926","2851","60","63","0","556","326","199"
"publicpolygonfeature:5:42510","ZIP Code 32809","country:us/state:fl/zip:32809","32809","351","349","120","13","19","61","144","148","51","98","42","344","19","0","658","611","159","612","1017","113","255","0","467","256","312"
"publicpolygonfeature:5:42583","ZIP Code 32810","country:us/state:fl/zip:32810","32810","757","802","216","84","33","141","196","1013","185","250","408","735","49","20","1077","281","508","895","1336","0","141","22","300","123","369"
"publicpolygonfeature:5:42590","ZIP Code 32811","country:us/state:fl/zip:32811","32811","639","569","41","127","21","185","121","583","303","356","524","612","155","160","552","605","299","1223","1668","0","53","0","323","537","367"
"publicpolygonfeature:5:42669","ZIP Code 32812","country:us/state:fl/zip:32812","32812","1172","463","167","53","46","133","108","483","325","525","152","423","0","0","530","349","381","850","1761","0","83","0","259","149","208"
"publicpolygonfeature:5:42672","ZIP Code 32814","country:us/state:fl/zip:32814","32814","319","381","81","9","8","44","172","255","55","258","0","67","0","0","185","0","36","321","56","0","0","0","0","119","0"
"publicpolygonfeature:5:42694","ZIP Code 32817","country:us/state:fl/zip:32817","32817","664","617","50","110","150","207","58","879","190","440","333","263","37","46","825","156","424","1254","1152","0","102","0","519","75","144"
"publicpolygonfeature:5:42739","ZIP Code 32818","country:us/state:fl/zip:32818","32818","784","452","83","54","0","352","243","1409","107","570","489","1890","268","68","1612","831","906","1680","2017","10","82","22","409","290","478"
"publicpolygonfeature:5:42754","ZIP Code 32819","country:us/state:fl/zip:32819","32819","782","466","163","86","14","101","133","366","447","538","274","119","9","17","658","137","289","921","786","0","78","0","0","144","38"
"publicpolygonfeature:5:42764","ZIP Code 32820","country:us/state:fl/zip:32820","32820","226","162","133","70","24","11","14","468","136","224","0","225","0","0","16","13","0","169","471","0","43","0","0","30","0"
"publicpolygonfeature:5:42777","ZIP Code 32821","country:us/state:fl/zip:32821","32821","646","522","91","0","65","62","135","373","406","329","214","262","82","0","827","423","339","801","1504","0","0","24","215","16","184"
"publicpolygonfeature:5:42802","ZIP Code 32822","country:us/state:fl/zip:32822","32822","1163","1149","215","52","39","232","190","1299","308","836","557","896","43","0","1174","1130","514","1341","3090","0","115","29","1165","577","512"
"publicpolygonfeature:5:42808","ZIP Code 32824","country:us/state:fl/zip:32824","32824","1792","871","202","29","198","356","55","840","197","680","389","508","70","153","699","1364","461","1547","2800","0","42","118","388","385","285"
"publicpolygonfeature:5:42878","ZIP Code 32825","country:us/state:fl/zip:32825","32825","1476","1433","399","144","159","512","132","1356","195","931","797","869","32","28","1150","311","785","1562","3371","33","73","67","694","341","151"
"publicpolygonfeature:5:42906","ZIP Code 32826","country:us/state:fl/zip:32826","32826","575","231","140","142","73","277","76","740","288","214","145","165","88","0","971","162","195","629","1180","8","111","0","37","60","87"
"publicpolygonfeature:5:42986","ZIP Code 32827","country:us/state:fl/zip:32827","32827","418","404","231","132","15","0","36","260","47","835","65","236","0","0","200","126","94","436","779","0","0","0","71","43","270"
"publicpolygonfeature:5:43058","ZIP Code 32828","country:us/state:fl/zip:32828","32828","1974","1749","237","297","484","362","130","1669","716","971","698","743","113","55","836","237","907","1800","2291","0","61","0","77","122","352"
"publicpolygonfeature:5:43065","ZIP Code 32829","country:us/state:fl/zip:32829","32829","685","552","91","32","18","162","75","624","180","314","195","84","18","0","270","36","217","389","1587","0","15","23","70","88","93"
"publicpolygonfeature:5:43100","ZIP Code 32830","country:us/state:fl/zip:32830","32830","70","0","0","0","3","0","0","2","0","45","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0"
"publicpolygonfeature:5:43105","ZIP Code 32831","country:us/state:fl/zip:32831","32831","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0"
"publicpolygonfeature:5:43116","ZIP Code 32832","country:us/state:fl/zip:32832","32832","1151","865","124","400","54","437","80","620","241","849","252","136","59","0","567","149","176","1285","1298","0","138","0","59","398","68"
"publicpolygonfeature:5:43119","ZIP Code 32833","country:us/state:fl/zip:32833","32833","281","370","69","0","36","33","18","269","38","107","89","65","120","0","12","60","99","204","390","0","0","0","42","48","97"
"publicpolygonfeature:5:43128","ZIP Code 32835","country:us/state:fl/zip:32835","32835","1286","679","323","190","43","132","276","904","246","881","147","577","119","127","707","1244","557","1342","1704","0","176","16","265","33","219"
"publicpolygonfeature:5:43161","ZIP Code 32836","country:us/state:fl/zip:32836","32836","596","449","364","26","40","14","43","168","299","443","77","184","140","0","295","201","343","650","843","0","127","0","25","62","93"
"publicpolygonfeature:5:43165","ZIP Code 32837","country:us/state:fl/zip:32837","32837","1103","1077","585","44","48","270","174","804","231","756","354","470","37","19","1266","487","960","1845","2008","0","174","0","126","589","368"
"publicpolygonfeature:5:43169","ZIP Code 32839","country:us/state:fl/zip:32839","32839","894","386","300","127","78","317","123","497","46","539","250","404","112","0","2143","1113","516","2182","2612","21","98","11","458","203","218"
"publicpolygonfeature:5:43226","ZIP Code 32102","country:us/state:fl/zip:32102","32102","21","10","0","0","0","0","0","0","0","0","45","0","0","0","38","11","0","9","74","0","0","0","10","31","47"
"publicpolygonfeature:5:43249","ZIP Code 32159","country:us/state:fl/zip:32159","32159","268","124","137","0","45","144","82","111","104","359","170","296","0","0","439","145","233","801","960","0","11","3","188","38","156"
"publicpolygonfeature:5:43412","ZIP Code 32714","country:us/state:fl/zip:32714","32714","1116","746","193","40","103","91","221","882","327","859","261","474","0","99","539","419","728","919","2565","0","118","0","132","159","170"
"publicpolygonfeature:5:43419","ZIP Code 32701","country:us/state:fl/zip:32701","32701","515","349","173","47","52","631","46","442","165","352","195","314","89","14","549","237","193","768","1404","0","13","24","89","35","115"
"publicpolygonfeature:5:43422","ZIP Code 32702","country:us/state:fl/zip:32702","32702","64","0","0","11","0","11","0","5","0","5","14","2","0","0","15","46","51","54","164","0","0","0","0","0","0"
"publicpolygonfeature:5:43444","ZIP Code 32703","country:us/state:fl/zip:32703","32703","1427","1221","220","181","100","391","204","889","187","1065","424","822","54","10","547","539","374","2015","3238","317","9","30","221","67","241"
"publicpolygonfeature:5:43445","ZIP Code 32707","country:us/state:fl/zip:32707","32707","761","1062","153","29","73","215","159","1223","273","693","320","340","0","0","693","274","252","1084","2262","26","14","17","171","80","248"
"publicpolygonfeature:5:43446","ZIP Code 32708","country:us/state:fl/zip:32708","32708","1413","931","167","56","94","151","172","1798","215","913","425","311","18","6","656","317","427","723","1974","0","0","18","206","78","43"
"publicpolygonfeature:5:43447","ZIP Code 32735","country:us/state:fl/zip:32735","32735","91","11","6","4","0","44","0","72","0","18","78","176","0","29","138","7","13","69","255","0","31","0","0","0","30"
"publicpolygonfeature:5:43448","ZIP Code 32709","country:us/state:fl/zip:32709","32709","40","27","18","0","0","12","14","62","8","44","0","0","0","0","11","0","0","10","78","0","0","0","0","36","0"
"publicpolygonfeature:5:43449","ZIP Code 32712","country:us/state:fl/zip:32712","32712","1350","1090","274","66","66","160","107","918","337","876","265","259","130","27","696","426","262","1401","2078","113","173","34","145","159","85"
"publicpolygonfeature:5:43451","ZIP Code 32720","country:us/state:fl/zip:32720","32720","774","395","85","16","0","74","23","783","58","459","320","206","23","51","639","315","510","1022","1553","25","42","43","203","25","249"
"publicpolygonfeature:5:43453","ZIP Code 32726","country:us/state:fl/zip:32726","32726","739","263","12","23","12","23","26","710","43","104","209","653","94","18","470","188","338","483","1451","74","0","0","51","36","171"
"publicpolygonfeature:5:43454","ZIP Code 32730","country:us/state:fl/zip:32730","32730","76","52","34","11","8","83","54","156","10","135","33","15","14","0","198","238","44","160","208","0","17","0","21","0","50"
"publicpolygonfeature:5:43455","ZIP Code 32732","country:us/state:fl/zip:32732","32732","233","184","41","0","0","123","0","108","71","93","60","13","27","0","0","37","122","28","179","0","0","0","0","26","0"
"publicpolygonfeature:5:43456","ZIP Code 32736","country:us/state:fl/zip:32736","32736","358","145","57","0","0","207","0","167","0","113","32","71","0","14","29","32","123","174","729","0","8","0","38","31","108"
"publicpolygonfeature:5:43457","ZIP Code 32751","country:us/state:fl/zip:32751","32751","1062","625","123","68","29","80","162","670","194","449","137","208","0","0","270","21","185","530","967","21","65","0","74","52","13"
"publicpolygonfeature:5:43460","ZIP Code 32746","country:us/state:fl/zip:32746","32746","1237","803","734","99","165","271","220","554","404","1139","277","457","21","0","444","133","886","1280","2535","0","25","25","213","88","166"
"publicpolygonfeature:5:43461","ZIP Code 32750","country:us/state:fl/zip:32750","32750","742","563","86","0","175","154","151","567","79","363","144","165","0","45","363","68","143","808","1082","0","18","0","129","307","118"
"publicpolygonfeature:5:43463","ZIP Code 32757","country:us/state:fl/zip:32757","32757","753","597","96","21","54","224","12","950","72","377","179","412","27","29","299","299","245","605","1448","47","44","0","47","42","110"
"publicpolygonfeature:5:43466","ZIP Code 32765","country:us/state:fl/zip:32765","32765","2017","1539","266","147","60","241","293","1796","667","1150","393","530","141","19","962","121","290","1445","2405","0","19","22","126","194","51"
"publicpolygonfeature:5:43467","ZIP Code 32766","country:us/state:fl/zip:32766","32766","494","348","61","26","43","107","17","362","118","456","63","67","10","0","201","54","183","345","637","0","0","0","34","25","49"
"publicpolygonfeature:5:43468","ZIP Code 32767","country:us/state:fl/zip:32767","32767","58","35","33","0","0","0","0","98","8","25","0","64","0","0","46","22","15","94","162","0","0","0","10","3","0"
"publicpolygonfeature:5:43470","ZIP Code 32771","country:us/state:fl/zip:32771","32771","1617","1515","551","116","49","331","284","1214","403","1054","346","584","232","82","931","280","543","1648","2746","21","86","41","358","143","162"
"publicpolygonfeature:5:43471","ZIP Code 32773","country:us/state:fl/zip:32773","32773","577","544","231","29","130","115","63","726","136","529","315","406","12","36","471","254","271","1327","1171","0","57","0","242","163","44"
"publicpolygonfeature:5:43472","ZIP Code 32776","country:us/state:fl/zip:32776","32776","278","60","20","15","0","82","0","373","49","135","114","40","0","0","329","12","47","439","730","84","0","14","200","46","22"
"publicpolygonfeature:5:43473","ZIP Code 32778","country:us/state:fl/zip:32778","32778","321","462","36","35","73","153","39","364","303","543","183","200","0","30","436","35","44","229","923","14","48","83","87","0","31"
