"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:34186","ZIP Code 08029","country:us/state:nj/zip:08029","08029","67","50","14","0","41","9","63","174","15","50","20","45","83","45","78","0","62","93","220","0","0","0","94","0","27"
"publicpolygonfeature:5:34855","ZIP Code 08003","country:us/state:nj/zip:08003","08003","1075","779","87","14","105","223","235","1027","101","938","124","119","20","0","399","84","289","537","1068","19","0","0","48","31","49"
"publicpolygonfeature:5:34869","ZIP Code 08065","country:us/state:nj/zip:08065","08065","333","172","25","0","0","53","33","82","66","120","42","66","0","0","170","54","33","281","609","0","19","0","90","27","67"
"publicpolygonfeature:5:34888","ZIP Code 08001","country:us/state:nj/zip:08001","08001","13","12","0","0","0","0","0","0","0","0","16","0","0","0","18","16","0","0","82","0","0","0","0","61","0"
"publicpolygonfeature:5:34889","ZIP Code 08002","country:us/state:nj/zip:08002","08002","687","523","64","0","73","175","136","451","149","733","265","282","62","0","215","35","184","571","921","0","107","0","159","128","0"
"publicpolygonfeature:5:34898","ZIP Code 08004","country:us/state:nj/zip:08004","08004","413","197","9","16","23","0","38","288","11","306","92","194","29","0","134","0","112","364","719","17","11","0","34","0","54"
"publicpolygonfeature:5:34901","ZIP Code 08007","country:us/state:nj/zip:08007","08007","104","60","94","0","44","21","106","294","18","89","0","69","0","12","49","0","88","160","175","0","0","0","118","0","52"
"publicpolygonfeature:5:34903","ZIP Code 08014","country:us/state:nj/zip:08014","08014","0","0","0","0","0","0","35","0","0","0","0","0","0","0","0","0","0","20","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34904","ZIP Code 08009","country:us/state:nj/zip:08009","08009","216","56","9","33","109","82","29","487","0","284","178","139","0","75","315","35","151","431","745","0","0","0","123","29","78"
"publicpolygonfeature:5:34905","ZIP Code 08010","country:us/state:nj/zip:08010","08010","114","150","70","0","0","90","101","355","85","276","14","209","30","0","119","27","189","196","457","0","0","107","163","85","163"
"publicpolygonfeature:5:34906","ZIP Code 08011","country:us/state:nj/zip:08011","08011","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34907","ZIP Code 08012","country:us/state:nj/zip:08012","08012","903","827","37","15","45","222","208","1107","222","867","522","442","66","18","696","323","622","1191","2107","0","80","21","246","236","197"
"publicpolygonfeature:5:34909","ZIP Code 08015","country:us/state:nj/zip:08015","08015","226","92","66","0","213","111","86","589","106","167","128","311","111","0","344","197","165","231","585","0","0","0","72","65","597"
"publicpolygonfeature:5:34910","ZIP Code 08016","country:us/state:nj/zip:08016","08016","1075","617","266","0","107","303","175","830","188","780","246","438","19","63","370","40","289","896","1715","0","12","0","150","223","255"
"publicpolygonfeature:5:34911","ZIP Code 08019","country:us/state:nj/zip:08019","08019","7","15","4","0","0","0","9","9","12","72","5","0","0","0","3","0","8","48","9","1","0","0","20","2","5"
"publicpolygonfeature:5:34912","ZIP Code 08020","country:us/state:nj/zip:08020","08020","171","34","61","17","0","0","0","66","32","60","71","0","0","0","41","0","29","30","69","0","0","0","0","0","0"
"publicpolygonfeature:5:34913","ZIP Code 08021","country:us/state:nj/zip:08021","08021","1203","524","177","112","100","275","202","997","133","795","362","1111","128","65","845","167","521","1246","2047","0","61","0","325","492","417"
"publicpolygonfeature:5:34914","ZIP Code 08022","country:us/state:nj/zip:08022","08022","243","319","72","0","9","16","10","119","8","245","143","36","0","9","88","37","40","92","407","0","0","0","8","63","0"
"publicpolygonfeature:5:34915","ZIP Code 08023","country:us/state:nj/zip:08023","08023","0","0","0","0","0","0","0","21","0","0","0","19","0","0","52","0","27","45","21","0","0","0","0","0","0"
"publicpolygonfeature:5:34916","ZIP Code 08026","country:us/state:nj/zip:08026","08026","99","27","11","2","0","8","6","68","7","21","12","17","0","0","49","2","12","42","169","0","0","0","33","2","4"
"publicpolygonfeature:5:34917","ZIP Code 08027","country:us/state:nj/zip:08027","08027","115","84","36","0","8","51","12","155","21","30","78","0","0","11","23","42","24","77","217","0","0","0","7","0","0"
"publicpolygonfeature:5:34918","ZIP Code 08028","country:us/state:nj/zip:08028","08028","536","262","49","27","26","181","25","819","36","431","181","225","7","21","543","137","291","698","1055","0","9","0","30","82","119"
"publicpolygonfeature:5:34919","ZIP Code 08030","country:us/state:nj/zip:08030","08030","217","131","40","20","5","32","49","270","53","128","31","285","56","24","167","30","222","349","455","0","0","0","75","91","111"
"publicpolygonfeature:5:34920","ZIP Code 08031","country:us/state:nj/zip:08031","08031","175","265","54","9","26","28","55","244","105","77","95","173","24","29","286","0","86","156","571","0","0","0","126","39","46"
"publicpolygonfeature:5:34921","ZIP Code 08033","country:us/state:nj/zip:08033","08033","653","347","99","28","166","173","255","736","233","590","37","43","32","23","70","25","71","304","350","0","0","0","5","0","23"
"publicpolygonfeature:5:34922","ZIP Code 08034","country:us/state:nj/zip:08034","08034","517","338","193","17","98","160","357","634","183","731","114","147","0","0","204","113","169","369","623","0","0","0","101","7","38"
"publicpolygonfeature:5:34923","ZIP Code 08035","country:us/state:nj/zip:08035","08035","282","255","20","39","45","57","53","228","73","323","35","46","21","0","116","6","44","93","324","0","0","0","0","0","0"
"publicpolygonfeature:5:34924","ZIP Code 08036","country:us/state:nj/zip:08036","08036","114","42","117","0","21","19","37","174","50","119","156","15","0","0","126","47","20","285","221","0","0","20","0","0","0"
"publicpolygonfeature:5:34926","ZIP Code 08037","country:us/state:nj/zip:08037","08037","389","397","17","50","37","250","52","704","58","279","77","436","48","0","517","103","168","491","826","31","44","0","199","51","64"
"publicpolygonfeature:5:34927","ZIP Code 08038","country:us/state:nj/zip:08038","08038","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","4","31","2","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34928","ZIP Code 08039","country:us/state:nj/zip:08039","08039","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34929","ZIP Code 08041","country:us/state:nj/zip:08041","08041","15","9","3","0","6","9","5","0","0","16","0","0","0","0","0","0","5","0","34","0","0","0","6","7","0"
"publicpolygonfeature:5:34930","ZIP Code 08042","country:us/state:nj/zip:08042","08042","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:34931","ZIP Code 08043","country:us/state:nj/zip:08043","08043","626","588","301","33","165","230","188","578","123","859","244","418","22","15","279","23","275","687","1099","0","0","10","30","19","86"
"publicpolygonfeature:5:34932","ZIP Code 08045","country:us/state:nj/zip:08045","08045","28","25","6","6","0","11","0","40","0","181","52","82","16","0","51","0","13","76","87","0","0","0","7","0","12"
"publicpolygonfeature:5:34933","ZIP Code 08046","country:us/state:nj/zip:08046","08046","736","616","105","59","29","310","129","602","108","444","202","1073","114","37","231","169","287","763","1796","0","14","0","282","98","286"
"publicpolygonfeature:5:34934","ZIP Code 08048","country:us/state:nj/zip:08048","08048","476","238","89","14","69","38","23","452","47","231","102","37","27","0","216","13","128","355","466","0","5","0","39","9","72"
