"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:57629","ZIP Code 78219","country:us/state:tx/zip:78219","78219","232","125","29","0","0","16","65","240","0","71","109","560","6","0","260","246","83","237","647","0","51","0","180","115","145"
"publicpolygonfeature:5:58177","ZIP Code 78205","country:us/state:tx/zip:78205","78205","26","0","0","7","0","0","0","100","0","23","0","0","0","0","0","0","0","70","0","0","0","0","17","0","0"
"publicpolygonfeature:5:58190","ZIP Code 78207","country:us/state:tx/zip:78207","78207","547","215","55","0","0","68","37","369","30","23","95","970","70","85","944","1042","242","992","1249","93","84","26","413","160","328"
"publicpolygonfeature:5:58193","ZIP Code 78208","country:us/state:tx/zip:78208","78208","7","9","17","0","0","11","15","79","0","42","0","30","0","0","52","61","25","4","158","0","0","0","43","34","63"
"publicpolygonfeature:5:59270","ZIP Code 78220","country:us/state:tx/zip:78220","78220","58","27","0","0","17","99","80","119","34","16","69","234","41","0","204","382","171","438","667","1","5","23","112","31","197"
"publicpolygonfeature:5:59326","ZIP Code 78221","country:us/state:tx/zip:78221","78221","675","307","79","0","0","197","71","728","9","198","438","894","32","22","1015","402","460","885","1842","75","55","76","396","93","209"
"publicpolygonfeature:5:59515","ZIP Code 78229","country:us/state:tx/zip:78229","78229","470","434","202","12","372","185","50","455","268","791","346","618","148","0","969","192","239","1060","1964","0","42","17","34","73","188"
"publicpolygonfeature:5:59551","ZIP Code 78230","country:us/state:tx/zip:78230","78230","1015","1027","212","93","107","660","125","1041","344","686","191","574","0","42","482","144","378","1080","1771","0","26","93","57","64","53"
"publicpolygonfeature:5:59570","ZIP Code 78237","country:us/state:tx/zip:78237","78237","403","321","0","5","15","37","39","491","41","78","136","914","7","23","850","464","279","899","1234","8","11","28","409","155","111"
"publicpolygonfeature:5:59575","ZIP Code 78238","country:us/state:tx/zip:78238","78238","316","426","188","10","0","61","52","534","83","199","193","361","49","52","855","393","128","513","1399","88","0","0","178","118","175"
"publicpolygonfeature:5:59593","ZIP Code 78239","country:us/state:tx/zip:78239","78239","530","245","117","60","6","16","52","664","137","148","70","334","100","74","599","286","296","598","1261","40","45","21","114","37","28"
"publicpolygonfeature:5:59596","ZIP Code 78240","country:us/state:tx/zip:78240","78240","1429","835","551","21","186","408","241","1181","455","1169","886","1026","106","12","1311","400","210","1000","2446","0","116","50","324","93","68"
"publicpolygonfeature:5:59623","ZIP Code 78242","country:us/state:tx/zip:78242","78242","323","263","5","0","17","165","38","420","39","164","133","661","21","9","616","549","216","761","983","15","59","68","110","57","284"
