"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:61229","ZIP Code 94133","country:us/state:ca/zip:94133","94133","1056","881","326","180","134","86","291","388","212","313","23","505","34","0","290","136","146","621","938","0","6","0","125","113","48"
"publicpolygonfeature:5:61462","ZIP Code 94134","country:us/state:ca/zip:94134","94134","614","594","155","52","244","84","82","559","259","503","243","652","43","76","349","713","614","817","1493","15","33","22","155","134","178"
"publicpolygonfeature:5:63101","ZIP Code 94158","country:us/state:ca/zip:94158","94158","540","651","264","19","463","30","82","491","168","399","57","69","0","0","72","26","0","110","141","0","0","0","98","0","17"
"publicpolygonfeature:5:63105","ZIP Code 94555","country:us/state:ca/zip:94555","94555","1304","722","1458","284","418","142","22","586","113","443","130","298","44","21","276","71","235","402","781","0","0","32","146","0","112"
"publicpolygonfeature:5:63344","ZIP Code 94596","country:us/state:ca/zip:94596","94596","1090","747","191","153","188","219","196","390","265","767","3","238","27","53","184","24","243","664","720","62","0","0","76","93","16"
"publicpolygonfeature:5:63365","ZIP Code 94063","country:us/state:ca/zip:94063","94063","708","260","327","104","368","63","126","569","209","374","290","588","73","0","395","936","231","533","1018","67","0","3","277","177","201"
"publicpolygonfeature:5:63377","ZIP Code 94065","country:us/state:ca/zip:94065","94065","514","306","358","40","166","61","34","251","55","235","33","62","0","19","75","0","136","130","235","0","0","0","71","6","0"
"publicpolygonfeature:5:63384","ZIP Code 94707","country:us/state:ca/zip:94707","94707","422","259","137","75","197","56","175","609","156","285","21","80","6","0","12","16","42","141","226","0","0","0","117","0","0"
"publicpolygonfeature:5:63393","ZIP Code 94066","country:us/state:ca/zip:94066","94066","1252","1218","391","71","368","199","228","746","269","747","273","635","9","23","359","529","453","953","1974","50","4","29","248","177","188"
"publicpolygonfeature:5:63398","ZIP Code 94111","country:us/state:ca/zip:94111","94111","93","96","95","0","21","0","61","22","33","20","15","96","5","0","36","0","15","186","233","0","0","0","52","0","0"
"publicpolygonfeature:5:63405","ZIP Code 94112","country:us/state:ca/zip:94112","94112","2020","1623","811","67","377","389","213","1381","476","791","578","1716","148","16","1082","1183","1197","1423","2659","69","11","15","606","104","298"
"publicpolygonfeature:5:63439","ZIP Code 94021","country:us/state:ca/zip:94021","94021","41","13","12","0","0","0","0","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"publicpolygonfeature:5:63449","ZIP Code 94027","country:us/state:ca/zip:94027","94027","344","113","50","11","13","28","14","65","105","70","12","17","0","0","22","14","55","92","131","8","0","0","0","1","0"
"publicpolygonfeature:5:63453","ZIP Code 94114","country:us/state:ca/zip:94114","94114","1860","1342","836","368","468","145","420","744","520","762","94","161","57","0","94","67","158","541","381","0","0","0","33","57","56"
"publicpolygonfeature:5:63455","ZIP Code 94115","country:us/state:ca/zip:94115","94115","2069","1333","663","211","277","159","366","682","617","763","101","256","113","22","186","90","305","785","923","0","0","0","23","38","70"
"publicpolygonfeature:5:63458","ZIP Code 94116","country:us/state:ca/zip:94116","94116","1319","1135","485","221","375","130","185","929","614","1139","221","691","30","36","434","238","206","996","1368","7","0","0","205","14","129"
"publicpolygonfeature:5:63490","ZIP Code 94014","country:us/state:ca/zip:94014","94014","1081","867","105","117","25","153","77","435","296","1003","452","1002","85","13","755","730","542","787","1804","77","0","4","501","120","324"
"publicpolygonfeature:5:63510","ZIP Code 94015","country:us/state:ca/zip:94015","94015","1495","1407","387","330","292","354","171","998","349","1318","472","1572","130","0","1024","456","412","1677","3316","0","0","19","220","232","572"
"publicpolygonfeature:5:63515","ZIP Code 94117","country:us/state:ca/zip:94117","94117","2194","1593","907","374","281","154","260","966","608","1269","46","77","33","10","333","79","225","641","1005","0","0","0","17","46","9"
"publicpolygonfeature:5:63528","ZIP Code 94118","country:us/state:ca/zip:94118","94118","1771","1305","656","201","352","404","363","1093","618","763","295","247","68","0","416","204","384","875","1196","0","0","0","142","23","59"
"publicpolygonfeature:5:63543","ZIP Code 94002","country:us/state:ca/zip:94002","94002","1192","717","487","145","405","79","86","622","627","623","57","80","18","0","240","29","343","380","394","0","0","15","63","93","18"
"publicpolygonfeature:5:63544","ZIP Code 94005","country:us/state:ca/zip:94005","94005","197","116","92","0","57","0","14","51","24","95","0","109","15","0","95","0","41","20","157","0","0","0","13","0","0"
"publicpolygonfeature:5:63545","ZIP Code 94010","country:us/state:ca/zip:94010","94010","1945","1373","449","121","407","162","396","678","211","739","134","226","9","17","350","135","210","717","812","0","39","0","114","204","50"
"publicpolygonfeature:5:63546","ZIP Code 94019","country:us/state:ca/zip:94019","94019","691","138","48","17","15","18","127","357","188","153","27","236","26","9","237","185","218","297","437","17","8","0","21","0","28"
"publicpolygonfeature:5:63547","ZIP Code 94020","country:us/state:ca/zip:94020","94020","166","9","153","0","56","14","0","61","12","46","0","7","0","0","0","0","14","10","36","0","0","0","0","0","0"
