"feature id","feature label","shid","geoid","Female Employed in Management Occupation (2020-2024)","Female Employed in Business and Finance Occupation (2020-2024)","Female Employed in Computer and Mathematical Occupation (2020-2024)","Female Employed in Architecture and Engineering Occupation (2020-2024)","Female Employed in Life, Physical, and Social Science Occupation (2020-2024)","Female Employed in Community and Social Service Occupation (2020-2024)","Female Employed in Legal Occupation (2020-2024)","Female Employed in Education, Training and Library Occupation (2020-2024)","Female Employed in Arts, Design, Entertainment, Sports and Media Occupation (2020-2024)","Female Employed in Health Diagnosis and Treating Practitioners Occupation (2020-2024)","Female Employed in Health Technologist and Technicians Occupation (2020-2024)","Female Employed in Healthcare Support Occupation (2020-2024)","Female Employed in Fire Fighting and Prevention Occupation (2020-2024)","Female Employed in Law Enforcement Occupation (2020-2024)","Female Employed in Food Preparation and Serving Occupation (2020-2024)","Female Employed in Building, Grounds Cleaning, and Maintenance Occupation (2020-2024)","Female Employed in Personal Care and Service Occupation (2020-2024)","Female Employed in Sales Occupation (2020-2024)","Female Employed in Office and Administrative Support Occupation (2020-2024)","Female Employed in Farming, Fishing and Forestry Occupation (2020-2024)","Female Employed in Construction and Extraction Occupation (2020-2024)","Female Employed in Installation, Maintenance, and Repair Occupation (2020-2024)","Female Employed in Production Occupation (2020-2024)","Female Employed in Transportation Occupation (2020-2024)","Female Employed in Material Moving Occupation (2020-2024)"
"publicpolygonfeature:5:38396","ZIP Code 33626","country:us/state:fl/zip:33626","33626","999","1191","175","11","95","247","150","503","244","832","185","204","5","50","295","155","291","829","1080","0","21","6","27","39","26"
"publicpolygonfeature:5:38411","ZIP Code 33629","country:us/state:fl/zip:33629","33629","854","720","181","0","38","115","586","395","281","854","97","50","0","0","173","69","205","847","615","0","0","0","34","57","31"
"publicpolygonfeature:5:39990","ZIP Code 33634","country:us/state:fl/zip:33634","33634","314","296","75","40","87","15","80","114","278","212","161","517","0","0","187","345","169","535","1434","0","0","0","299","112","304"
"publicpolygonfeature:5:40399","ZIP Code 33635","country:us/state:fl/zip:33635","33635","414","468","205","73","43","141","82","259","155","164","107","492","95","12","374","220","429","546","613","33","129","4","166","94","43"
"publicpolygonfeature:5:40408","ZIP Code 34654","country:us/state:fl/zip:34654","34654","291","204","139","7","30","22","54","694","165","434","314","263","17","36","279","129","183","840","1201","18","43","0","43","4","20"
"publicpolygonfeature:5:40423","ZIP Code 34677","country:us/state:fl/zip:34677","34677","601","607","118","10","16","141","55","463","62","472","146","241","37","22","275","35","180","753","1047","0","43","0","184","69","15"
"publicpolygonfeature:5:40425","ZIP Code 34679","country:us/state:fl/zip:34679","34679","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","41","0","0","0","0","0","0"
"publicpolygonfeature:5:40426","ZIP Code 34681","country:us/state:fl/zip:34681","34681","16","0","87","0","0","0","0","18","0","0","0","0","0","0","0","0","0","62","56","0","0","0","0","0","0"
"publicpolygonfeature:5:40429","ZIP Code 34691","country:us/state:fl/zip:34691","34691","337","217","89","0","27","28","61","323","43","440","139","212","88","0","489","125","126","777","879","0","41","9","63","208","159"
"publicpolygonfeature:5:40464","ZIP Code 34695","country:us/state:fl/zip:34695","34695","634","400","15","7","45","29","83","380","117","559","143","258","6","0","375","30","109","410","681","0","0","0","68","84","49"
